fid,id,Trial,Row,Column,Combocode,MasonPlot#,Block,Entry,DAS,PLT COUNT,Yield,PeakStand,HACorrectedYield
34,2004,2501,7,4,25010704,704,2,30,13,83,2930.250384,0.782425864,2997.393305
35,2005,2501,7,5,25010705,705,2,2,13,72,2930.696706,0.775125628,3041.39467
36,2006,2501,8,1,25010801,801,2,11,13,87,2314.348497,0.704190341,2387.36265
37,2007,2501,8,2,25010802,802,2,15,13,67,2699.974073,0.832241153,2782.329317
38,2008,2501,8,3,25010803,803,2,9,13,78,2857.305214,0.652939413,3011.95445
39,2009,2501,8,4,25010804,804,2,19,13,80,3225.194882,0.784618325,3286.843416
40,2010,2501,8,5,25010805,805,2,17,13,84,2149.495583,0.641530532,2198.465243
41,2011,2501,9,1,25010901,901,2,6,13,80,3905.551373,0.810557649,4010.968509
42,2012,2501,9,2,25010902,902,2,26,13,92,2821.558623,0.728220809,2878.110453
43,2013,2501,9,3,25010903,903,2,8,13,70,2512.662402,0.730614809,2653.751474
44,2014,2501,9,4,25010904,904,2,5,13,82,2036.761331,0.737628359,2069.57825
45,2015,2501,9,5,25010905,905,2,25,13,73,2436.39879,0.59459091,2534.952556
46,2016,2501,10,1,25011001,1001,2,16,13,82,2241.155464,0.651805192,2311.64583
47,2017,2501,10,2,25011002,1002,2,7,13,88,2431.991166,0.667765937,2518.474204
48,2018,2501,10,3,25011003,1003,2,1,13,77,3479.095448,0.640976622,3672.043898
49,2019,2501,10,4,25011004,1004,2,12,13,96,2230.347849,0.729253707,2258.006484
50,2020,2501,10,5,25011005,1005,2,22,13,81,2971.280728,0.626632494,3152.159281
51,2021,2501,11,1,25011101,1101,2,10,13,87,2109.880689,0.609476812,2224.809512
52,2022,2501,11,2,25011102,1102,2,27,13,87,2095.245679,0.667775627,2128.059649
53,2023,2501,11,3,25011103,1103,2,24,13,63,2686.431967,0.701878254,2877.960244
54,2024,2501,11,4,25011104,1104,2,29,13,78,2575.649558,0.67187244,2635.846695
55,2025,2501,11,5,25011105,1105,2,18,13,77,2133.657528,0.521012755,2252.860173
56,2026,2501,12,1,25011201,1201,2,13,13,84,2539.600682,0.720690031,2574.225842
57,2027,2501,12,2,25011202,1202,2,3,13,77,2787.440153,0.756841645,2850.034316
58,2028,2501,12,3,25011203,1203,2,4,13,83,3309.006338,0.718267944,3489.568131
59,2029,2501,12,4,25011204,1204,2,28,13,72,2657.545132,0.631885087,2730.246203
60,2030,2501,12,5,25011205,1205,2,23,13,75,2516.709046,0.576469947,2846.252147
61,3001,2501,13,1,25011301,1301,3,12,13,71,2397.371807,0.774175044,2445.510013
62,3002,2501,13,2,25011302,1302,3,28,13,82,2774.460222,0.711157228,2808.189616
63,3003,2501,13,3,25011303,1303,3,5,13,73,2521.395525,0.665137239,2590.469034
64,3004,2501,13,4,25011304,1304,3,30,13,88,2855.379345,0.672263172,2909.737724
65,3005,2501,13,5,25011305,1305,3,10,13,95,2493.1884,0.653834603,2533.969486
66,3006,2501,14,1,25011401,1401,3,14,13,71,3092.515748,0.900305911,3140.771015
67,3007,2501,14,2,25011402,1402,3,7,13,72,2922.590023,0.871549865,2973.098171
68,3008,2501,14,3,25011403,1403,3,18,13,77,2516.370991,0.744414705,2637.36793
69,3009,2501,14,4,25011404,1404,3,4,13,82,2454.329004,0.758743072,2510.944482
70,3010,2501,14,5,25011405,1405,3,9,13,77,3346.199611,0.691377239,3407.059928
71,3011,2501,15,1,25011501,1501,3,6,13,79,3497.646534,0.701039081,3530.595844
72,3012,2501,15,2,25011502,1502,3,23,13,81,4040.77475,0.731895139,4126.436648
73,3013,2501,15,3,25011503,1503,3,21,13,70,2681.214567,0.740818497,2806.056622
74,3014,2501,15,4,25011504,1504,3,15,13,76,2398.328572,0.670428832,2439.278899
75,3015,2501,15,5,25011505,1505,3,24,13,68,2980.355747,0.773698555,3079.066808
76,3016,2501,16,1,25011601,1601,3,20,13,82,2414.168235,0.736477077,2463.425978
77,3017,2501,16,2,25011602,1602,3,11,13,90,2240.757874,0.699738191,2269.254878
78,3018,2501,16,3,25011603,1603,3,25,13,64,2636.690297,0.623180108,2764.576856
79,3019,2501,16,4,25011604,1604,3,27,13,80,2877.6244,0.766157879,2987.347239
80,3020,2501,16,5,25011605,1605,3,1,13,90,2914.114053,0.70392082,2968.381717
81,3021,2501,17,1,25011701,1701,3,16,13,75,2709.284329,0.720222817,2793.924001
82,3022,2501,17,2,25011702,1702,3,26,13,72,2927.747335,0.734436435,3005.028254
83,3023,2501,17,3,25011703,1703,3,2,13,59,3110.537402,0.78084287,3248.679558
84,3024,2501,17,4,25011704,1704,3,19,13,74,3121.350394,0.717004314,3182.670507
85,3025,2501,17,5,25011705,1705,3,3,13,75,3045.905944,0.753782293,3130.237079
86,3026,2501,18,1,25011801,1801,3,22,13,90,3802.077012,0.757858801,3891.521792
87,3027,2501,18,2,25011802,1802,3,13,13,74,2743.861629,0.766445482,2802.453603
88,3028,2501,18,3,25011803,1803,3,8,13,58,2909.808719,0.808361323,3006.300069
89,3029,2501,18,4,25011804,1804,3,17,13,82,1766.879585,0.686775891,1801.353042
90,3030,2501,18,5,25011805,1805,3,29,13,68,2921.782696,0.759011469,3092.465221
91,4001,2501,19,1,25011901,1901,4,16,13,81,2411.347945,0.666175186,2454.837577
92,4002,2501,19,2,25011902,1902,4,7,13,79,3537.513347,0.701207189,3601.448661
93,4003,2501,19,3,25011903,1903,4,22,13,86,3130.767957,0.639290102,3172.28103
94,4004,2501,19,4,25011904,1904,4,12,13,83,1906.704916,0.595708131,1935.204261
95,4005,2501,19,5,25011905,1905,4,1,13,81,3020.713583,0.545174482,3076.733722
96,4006,2501,20,1,25012001,2001,4,20,13,84,3217.70314,0.619777045,3284.388186
97,4007,2501,20,2,25012002,2002,4,21,13,80,2341.175341,0.63293245,2396.740797
98,4008,2501,20,3,25012003,2003,4,2,13,71,3459.584646,0.791831609,3528.592404
99,4009,2501,20,4,25012004,2004,4,14,13,65,2882.803534,0.731222386,2959.397809
100,4010,2501,20,5,25012005,2005,4,30,13,79,2390.812344,0.783667896,2452.728483
101,4011,2501,21,1,25012101,2101,4,8,13,69,2888.931582,0.756888877,3005.104491
102,4012,2501,21,2,25012102,2102,4,6,13,77,2796.343384,0.583601374,2893.001767
103,4013,2501,21,3,25012103,2103,4,26,13,81,2305.023238,0.680338613,2360.043015
104,4014,2501,21,4,25012104,2104,4,25,13,70,2102.902295,0.536623986,2164.283626
105,4015,2501,21,5,25012105,2105,4,5,13,73,2278.344728,0.623572383,2331.641827
106,4016,2501,22,1,25012201,2201,4,19,13,77,2822.477434,0.716946098,2894.866238
107,4017,2501,22,2,25012202,2202,4,17,13,83,1698.426037,0.617502726,1728.707807
108,4018,2501,22,3,25012203,2203,4,15,13,64,2321.030344,0.71322445,2408.301647
109,4019,2501,22,4,25012204,2204,4,9,13,81,2457.192865,0.668323185,2515.604667
110,4020,2501,22,5,25012205,2205,4,11,13,86,1785.500096,0.593711585,1823.318349
111,4021,2501,23,1,25012301,2301,4,18,13,80,2151.989197,0.530960427,2204.051508
112,4022,2501,23,2,25012302,2302,4,29,13,80,2715.146798,0.742606701,2780.474933
113,4023,2501,23,3,25012303,2303,4,27,13,79,2537.28961,0.710549307,2598.673357
114,4024,2501,23,4,25012304,2304,4,24,13,69,2268.439601,0.724123801,2353.196184
115,4025,2501,23,5,25012305,2305,4,10,13,79,2277.895717,0.689686246,2337.061287
116,4026,2501,24,1,25012401,2401,4,3,13,83,2925.180118,0.831822154,2980.043202
117,4027,2501,24,2,25012402,2402,4,23,13,96,3280.815945,0.774500969,3318.557758
118,4028,2501,24,3,25012403,2403,4,28,13,77,2457.192865,0.725976509,2507.465573
119,4029,2501,24,4,25012404,2404,4,13,13,76,2527.72465,0.779158021,2576.471109
120,4030,2501,24,5,25012405,2405,4,4,13,74,2702.955012,0.772959393,2779.866719
121,1001,2502,1,1,25020101,101,1,35,13,83,2554.977854,0.745666002,2613.129962
122,1002,2502,1,2,25020102,102,1,5,13,69,1877.931703,0.75946469,1945.742947
123,1003,2502,1,3,25020103,103,1,30,13,83,2321.849746,0.774707874,2367.152026
124,1004,2502,1,4,25020104,104,1,8,13,73,2150.501488,0.685048385,2224.159073
125,1005,2502,1,5,25020105,105,1,1,13,81,2507.106803,0.726848313,2656.332434
126,1007,2502,2,1,25020201,201,1,10,13,84,2025.010323,0.625085208,2061.265146
127,1008,2502,2,2,25020202,202,1,25,13,89,2500.475898,0.614269332,2542.22386
128,1009,2502,2,3,25020203,203,1,29,13,73,2288.403514,0.661186816,2359.178438
129,1010,2502,2,4,25020204,204,1,21,13,116,2479.224289,0.738075085,2522.672669
130,1011,2502,2,5,25020205,205,1,36,13,167,2620.922652,0.658157694,2635.718726
131,1013,2502,3,1,25020301,301,1,34,13,77,2161.963655,0.629346997,2234.546394
132,1014,2502,3,2,25020302,302,1,11,13,84,2058.128505,0.61662213,2103.091251
133,1015,2502,3,3,25020303,303,1,16,13,90,3049.955048,0.586814924,3088.401752
134,1016,2502,3,4,25020304,304,1,32,13,81,3044.601522,0.609413753,3209.316857
135,1017,2502,3,5,25020305,305,1,18,13,91,2636.191281,0.662641407,2691.079232
136,1019,2502,4,1,25020401,401,1,12,13,77,2750.242702,0.807033831,2898.473293
137,1020,2502,4,2,25020402,402,1,28,13,83,2518.499016,0.710716041,2637.18458
138,1021,2502,4,3,25020403,403,1,20,13,85,2341.22729,0.74784318,2381.556603
139,1022,2502,4,4,25020404,404,1,17,13,95,2577.556064,0.760083012,2692.28204
140,1023,2502,4,5,25020405,405,1,31,13,96,2662.406376,0.686563089,2712.08367
141,1025,2502,5,1,25020501,501,1,4,13,76,3166.35798,0.849707826,3322.595736
142,1026,2502,5,2,25020502,502,1,7,13,76,3082.456789,0.740819614,3235.609523
143,1027,2502,5,3,25020503,503,1,9,13,67,3617.744959,0.760474136,3841.888995
144,1028,2502,5,4,25020504,504,1,22,13,81,3289.174621,0.769119454,3539.13641
145,1029,2502,5,5,25020505,505,1,24,13,79,2868.164538,0.771899156,2988.658716
146,1031,2502,6,1,25020601,601,1,19,13,79,2574.870799,0.893206269,2692.0509
147,1032,2502,6,2,25020602,602,1,26,13,78,3402.653351,0.8033154,3535.130538
148,1033,2502,6,3,25020603,603,1,15,13,76,2618.14855,0.70657309,2693.66404
149,1034,2502,6,4,25020604,604,1,6,13,71,3141.613573,0.730095868,3353.258733
150,1035,2502,6,5,25020605,605,1,23,13,71,3070.166843,0.822724666,3183.603798
151,1037,2502,7,1,25020701,701,2,18,13,73,3037.683071,0.835982738,3278.835435
152,1038,2502,7,2,25020702,702,2,8,13,78,2794.248512,0.748586413,2905.397837
153,1039,2502,7,3,25020703,703,2,12,13,72,2151.989197,0.740436786,2217.129968
154,1040,2502,7,4,25020704,704,2,26,13,78,2839.627905,0.791217194,2972.353707
155,1041,2502,7,5,25020705,705,2,14,13,71,2488.357548,0.77667968,2569.613671
156,1043,2502,8,1,25020801,801,2,33,13,79,2907.809271,0.72898523,3071.855042
157,1044,2502,8,2,25020802,802,2,34,13,75,2942.167227,0.768667923,3066.247988
158,1045,2502,8,3,25020803,803,2,24,13,84,3039.973905,0.752137219,3157.081899
159,1046,2502,8,4,25020804,804,2,5,13,77,2747.34204,0.818633608,2909.168725
160,1047,2502,8,5,25020805,805,2,29,13,74,2638.154167,0.88144527,2774.438656
161,1049,2502,9,1,25020901,901,2,27,13,66,2882.803534,0.800589713,3057.795861
162,1050,2502,9,2,25020902,902,2,21,13,78,2286.277127,0.845231593,2508.773167
163,1051,2502,9,3,25020903,903,2,32,13,74,2860.10217,0.82636542,2963.267209
164,1052,2502,9,4,25020904,904,2,7,13,88,3183.998464,0.718214091,3388.939527
165,1053,2502,9,5,25020905,905,2,19,13,83,2322.31136,0.851292692,2431.738948
166,1055,2502,10,1,25021001,1001,2,30,13,83,2759.814312,0.768579466,2805.578561
167,1056,2502,10,2,25021002,1002,2,17,13,82,2102.902295,0.750873649,2287.563442
168,1057,2502,10,3,25021003,1003,2,16,13,74,2684.307087,0.747309478,2793.636815
169,1058,2502,10,4,25021004,1004,2,23,13,76,2482.077252,0.70499099,2670.800796
170,1059,2502,10,5,25021005,1005,2,9,13,81,3037.416075,0.80130569,3180.666354
171,1061,2502,11,1,25021101,1101,2,22,13,81,2217.787354,0.595284819,2346.034322
172,1062,2502,11,2,25021102,1102,2,1,13,78,2364.796668,0.661922678,2538.333835
173,1063,2502,11,3,25021103,1103,2,31,13,84,2287.635827,0.565838628,2339.360071
174,1064,2502,11,4,25021104,1104,2,25,13,76,2065.247503,0.564856527,2159.718199
175,1065,2502,11,5,25021105,1105,2,15,13,72,2160.080181,0.638401746,2261.702397
176,1067,2502,12,1,25021201,1201,2,6,13,72,2195.954628,0.673112113,2312.993508
177,1068,2502,12,2,25021202,1202,2,4,13,82,2302.355387,0.69105358,2468.264972
178,1069,2502,12,3,25021203,1203,2,10,13,78,2409.050173,0.624750772,2480.807575
179,1070,2502,12,4,25021204,1204,2,35,13,78,2174.879873,0.637407286,2333.923015
180,1071,2502,12,5,25021205,1205,2,13,13,76,1834.723209,0.655098029,1935.740778
181,1073,2502,13,1,25021301,1301,3,21,13,74,2712.684367,0.736977176,2802.913029
182,1074,2502,13,2,25021302,1302,3,3,13,74,2567.927621,0.802053467,2647.052117
183,1075,2502,13,3,25021303,1303,3,36,13,86,2658.314529,0.719352373,2717.608342
184,1076,2502,13,4,25021304,1304,3,10,13,84,2656.377905,0.684848485,2715.982791
185,1077,2502,13,5,25021305,1305,3,29,13,86,1810.279936,0.630476347,1853.210541
186,1079,2502,14,1,25021401,1401,3,35,13,85,2766.289226,0.780616981,2837.662653
187,1080,2502,14,2,25021402,1402,3,27,13,74,3129.327996,0.820470119,3205.094548
188,1081,2502,14,3,25021403,1403,3,1,13,82,3075.197835,0.875430163,3140.275633
189,1082,2502,14,4,25021404,1404,3,8,13,81,3267.907864,0.762220766,3454.215509
190,1083,2502,14,5,25021405,1405,3,30,13,83,2534.530752,0.79442366,2593.044646
191,1085,2502,15,1,25021501,1501,3,17,13,75,2625.369599,0.745219624,2753.438856
192,1086,2502,15,2,25021502,1502,3,20,13,74,2697.040738,0.774634812,2802.464523
193,1087,2502,15,3,25021503,1503,3,31,13,87,2715.410841,0.588193612,2791.265706
194,1088,2502,15,4,25021504,1504,3,2,13,70,2822.477434,0.717000164,2910.429538
195,1089,2502,15,5,25021505,1505,3,28,13,76,2325.164322,0.692049821,2383.550826
196,1091,2502,16,1,25021601,1601,3,32,13,76,3311.702708,0.828174939,3392.016012
197,1092,2502,16,2,25021602,1602,3,13,13,80,3135.767717,0.780857455,3177.171826
198,1093,2502,16,3,25021603,1603,3,16,13,70,3569.848521,0.806216371,3634.435686
199,1094,2502,16,4,25021604,1604,3,34,13,87,2825.338679,0.745338393,2884.81119
200,1095,2502,16,5,25021605,1605,3,18,13,80,2450.660131,0.771091574,2503.641703
201,1097,2502,17,1,25021701,1701,3,19,13,71,2234.91449,0.767844465,2320.570139
202,1098,2502,17,2,25021702,1702,3,26,13,80,3328.807039,0.790146384,3384.009601
203,1099,2502,17,3,25021703,1703,3,23,13,77,2672.588055,0.757653549,2725.900696
204,1100,2502,17,4,25021704,1704,3,6,13,77,2740.671092,0.722945851,2813.649665
205,1101,2502,17,5,25021705,1705,3,33,13,89,2879.309302,0.617653485,2932.820908
206,1103,2502,18,1,25021801,1801,3,22,13,76,2624.895717,0.688982935,2707.096399
207,1104,2502,18,2,25021802,1802,3,7,13,72,2916.560015,0.742423415,2991.760289
208,1105,2502,18,3,25021803,1803,3,24,13,75,2207.507922,0.614399257,2273.352348
209,1106,2502,18,4,25021804,1804,3,4,13,68,2833.619743,0.647636989,2901.309743
210,1107,2502,18,5,25021805,1805,3,9,13,71,3233.094248,0.651632631,3351.86322
211,1109,2502,19,1,25021901,1901,4,30,13,77,2164.457269,0.497614829,2216.159305
212,1110,2502,19,2,25021902,1902,4,17,13,74,2264.774198,0.52993759,2338.862768
213,1111,2502,19,3,25021903,1903,4,36,13,74,2731.535121,0.505764042,2784.416967
214,1112,2502,19,4,25021904,1904,4,9,13,67,2747.317697,0.517749863,2846.998447
215,1113,2502,19,5,25021905,1905,4,16,13,76,2732.322835,0.474257992,2791.650366
216,1115,2502,20,1,25022001,2001,4,27,13,79,2602.410505,0.518664154,2638.917844
217,1116,2502,20,2,25022002,2002,4,21,13,78,1753.231299,0.68559882,1783.298581
218,1117,2502,20,3,25022003,2003,4,19,13,71,2539.829652,0.642411189,2674.361757
219,1118,2502,20,4,25022004,2004,4,32,13,79,2583.322379,0.609560992,2636.126591
220,1119,2502,20,5,25022005,2005,4,7,13,79,2254.162906,0.668623222,2306.374131
221,1121,2502,21,1,25022101,2101,4,11,13,78,2196.867198,0.748819177,2257.097045
222,1122,2502,21,2,25022102,2102,4,31,13,76,2897.049213,0.683493502,2971.301974
223,1123,2502,21,3,25022103,2103,4,25,13,97,2843.550653,0.690703072,2871.815523
224,1124,2502,21,4,25022104,2104,4,15,13,68,3586.208301,0.621290305,3791.53533
225,1125,2502,21,5,25022105,2105,4,1,13,79,2132.91269,0.716602949,2178.375757
226,1127,2502,22,1,25022201,2201,4,35,13,76,2756.823987,0.6554257,2816.998265
227,1128,2502,22,2,25022202,2202,4,4,13,66,2942.167227,0.73883002,3049.144011
228,1129,2502,22,3,25022203,2203,4,13,13,81,2750.486461,0.674412889,2799.783637
229,1130,2502,22,4,25022204,2204,4,10,13,81,2612.472705,0.627680205,2653.584302
230,1131,2502,22,5,25022205,2205,4,6,13,74,2326.739245,0.659167235,2388.829747
231,1133,2502,23,1,25022301,2301,4,34,13,86,1703.286729,0.559814613,1752.017757
232,1134,2502,23,2,25022302,2302,4,5,13,77,2039.248272,0.665392283,2083.371735
233,1135,2502,23,3,25022303,2303,4,33,13,98,2637.361244,0.624231998,2686.126013
234,1136,2502,23,4,25022304,2304,4,20,13,68,2181.979547,0.743870475,2238.989823
235,1137,2502,23,5,25022305,2305,4,29,13,81,2268.598905,0.733868545,2305.065883
236,1139,2502,24,1,25022401,2401,4,12,13,70,2314.439793,0.742935925,2431.954874
237,1140,2502,24,2,25022402,2402,4,26,13,83,2484.930214,0.72843686,2544.428674
238,1141,2502,24,3,25022403,2403,4,8,13,70,2700.096505,0.764355733,2905.975023
239,1142,2502,24,4,25022404,2404,4,18,13,73,2512.662402,0.838843539,2558.838188
240,1143,2502,24,5,25022405,2405,4,3,13,82,2377.737469,0.825640465,2417.615388
241,1006,2502,1,6,25020106,106,1,27,13,81,2223.362301,0.759140431,2267.922139
242,1012,2502,2,6,25020206,206,1,3,13,100,2375.15748,0.754799421,2406.606353
243,1018,2502,3,6,25020306,306,1,13,13,81,1943.175533,0.63800905,2031.83331
244,1024,2502,4,6,25020406,406,1,2,13,79,2526.588583,0.748043733,2621.82786
245,1030,2502,5,6,25020506,506,1,14,13,72,2314.37308,0.730309154,2471.650073
246,1036,2502,6,6,25020606,606,1,33,13,80,2637.306799,0.737056253,2820.743008
247,1042,2502,7,6,25020706,706,2,3,13,76,2585.710774,0.832172607,2697.472404
248,1048,2502,8,6,25020806,806,2,20,13,80,2712.330229,0.90321964,2847.362913
249,1054,2502,9,6,25020906,906,2,2,13,74,2750.177165,0.81580313,2976.045249
250,1060,2502,10,6,25021006,1006,2,36,13,78,2518.629537,0.785647971,2640.645435
251,1066,2502,11,6,25021106,1106,2,11,13,82,2363.334838,0.701195872,2502.791939
252,1072,2502,12,6,25021206,1206,2,28,13,85,1964.409449,0.658987432,2160.523537
253,1078,2502,13,6,25021306,1306,3,25,13,96,2249.42006,0.584470897,2319.602135
254,1084,2502,14,6,25021406,1406,3,5,13,75,2571.594488,0.779834548,2678.414717
255,1090,2502,15,6,25021506,1506,3,12,13,73,2256.92875,0.705750886,2331.108894
256,1096,2502,16,6,25021606,1606,3,11,13,75,2596.246639,0.732865491,2658.960954
257,1102,2502,17,6,25021706,1706,3,15,13,70,2261.30603,0.622001744,2351.353679
258,1108,2502,18,6,25021806,1806,3,14,13,66,1904.733772,0.653379502,1961.806054
259,1114,2502,19,6,25021906,1906,4,23,13,74,2521.108292,0.506952017,2591.048563
260,1120,2502,20,6,25022006,2006,4,2,13,71,2202.613357,0.683734119,2253.250507
261,1126,2502,21,6,25022106,2106,4,22,13,77,2291.441425,0.664736885,2350.700625
262,1132,2502,22,6,25022206,2206,4,28,13,80,2067.668619,0.711605168,2112.840624
263,1138,2502,23,6,25022306,2306,4,24,13,83,2245.037642,0.67900729,2287.776834
264,1144,2502,24,6,25022406,2406,4,14,13,70,2225.35109,0.738521104,2276.088481
265,1001,2503,1,1,25030101,101,1,1,13,78,1815.405848,0.705576005,1864.898066
266,1002,2503,1,2,25030102,102,1,7,13,85,1633.919675,0.694553484,1665.274664
267,1003,2503,1,3,25030103,103,1,31,13,90,2416.988525,0.796504165,2453.343295
268,1004,2503,1,4,25030104,104,1,6,13,73,1961.247599,0.646249046,2024.760077
269,1005,2503,1,5,25030105,105,1,34,13,91,2370.328356,0.738447673,2413.392444
270,1006,2503,2,1,25030201,201,1,39,13,68,2470.349842,0.78740308,2549.627811
271,1007,2503,2,2,25030202,202,1,21,13,76,2584.33479,0.757169389,2690.25015
272,1008,2503,2,3,25030203,203,1,30,13,93,2266.602218,0.713639214,2308.509324
273,1009,2503,2,4,25030204,204,1,37,13,92,1701.199995,0.628201627,1756.354151
274,1010,2503,2,5,25030205,205,1,17,13,80,2564.073003,0.653180294,2671.432787
275,1011,2503,3,1,25030301,301,1,4,13,92,1429.586998,0.532319184,1454.965695
276,1012,2503,3,2,25030302,302,1,8,13,86,2520.403543,0.57485733,2625.988728
277,1013,2503,3,3,25030303,303,1,2,13,69,2578.283441,0.634303942,2681.715886
278,1014,2503,3,4,25030304,304,1,19,13,87,2978.95506,0.694360235,3102.220607
279,1015,2503,3,5,25030305,305,1,23,13,84,2152.272662,0.599542085,2190.117275
280,1016,2503,4,1,25030401,401,1,10,13,75,2179.634242,0.604133719,2262.65261
281,1017,2503,4,2,25030402,402,1,15,13,81,3100.046812,0.705903233,3229.43618
282,1018,2503,4,3,25030403,403,1,9,13,80,2871.260995,0.698236322,2934.041253
283,1019,2503,4,4,25030404,404,1,11,13,77,2340.840695,0.617760934,2446.666852
284,1020,2503,4,5,25030405,405,1,36,13,78,2215.326051,0.841344841,2268.072894
285,1021,2503,5,1,25030501,501,1,40,13,59,2443.410841,0.712510221,2532.406498
286,1022,2503,5,2,25030502,502,1,14,13,79,3426.900615,0.725472523,3606.340143
287,1023,2503,5,3,25030503,503,1,22,13,83,3418.603034,0.872396189,3479.360723
288,1024,2503,5,4,25030504,504,1,35,13,81,2421.344776,0.769585883,2547.056574
289,1025,2503,5,5,25030505,505,1,20,13,80,2918.691425,0.837310254,2990.474588
290,1026,2503,6,1,25030601,601,1,13,13,57,3513.022206,0.775641726,3823.353454
291,1027,2503,6,2,25030602,602,1,12,13,69,2962.759843,0.767336464,3071.423855
292,1028,2503,6,3,25030603,603,1,33,13,77,2806.415882,0.786535573,2890.826499
293,1029,2503,6,4,25030604,604,1,3,13,89,2142.008114,0.632903789,2215.711706
294,1030,2503,6,5,25030605,605,1,38,13,76,2308.167275,0.669443155,2393.452987
295,2001,2503,7,1,25030701,701,1,18,13,79,2743.31304,0.689778335,2861.329111
296,2002,2503,7,2,25030702,702,1,5,13,79,1879.913338,0.622884243,1986.505242
297,2003,2503,7,3,25030703,703,1,32,13,43,2989.774942,0.516121987,3426.217014
298,2004,2503,7,4,25030704,704,1,16,13,49,2478.087862,0.622253122,2866.417234
299,2005,2503,7,5,25030705,705,1,28,13,101,2530.647206,0.797317966,2570.282268
300,2006,2503,8,1,25030801,801,1,29,13,72,2925.105051,0.872385166,3032.210054
301,2007,2503,8,2,25030802,802,1,25,13,79,2915.769085,0.657905499,3063.159855
302,2008,2503,8,3,25030803,803,1,27,13,67,2788.666507,0.591810028,2922.817439
303,2009,2503,8,4,25030804,804,1,26,13,78,2404.685039,0.677389455,2563.443122
304,2010,2503,8,5,25030805,805,1,24,13,72,2745.255377,0.661460751,2870.669949
305,2011,2503,9,1,25030901,901,2,5,13,77,2201.932303,0.641038947,2251.546261
306,2012,2503,9,2,25030902,902,2,19,13,74,3015.055646,0.691196511,3221.81809
307,2013,2503,9,3,25030903,903,2,38,13,76,2185.659929,0.604601712,2269.978376
308,2014,2503,9,4,25030904,904,2,29,13,80,2563.698819,0.724832765,2778.306747
309,2015,2503,9,5,25030905,905,2,37,13,91,1689.182351,0.628437491,1768.27213
310,2016,2503,10,1,25031001,1001,2,4,13,95,2354.093864,0.691734251,2383.988775
311,2017,2503,10,2,25031002,1002,2,40,13,75,2940.770573,0.813203321,3067.001657
