Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Mason Plot #,SPACING,DENSITY,VARIETY,VarTreatment,Plot Range,Plot Column,TSW,Moisture,PLOTWEIGHT,YIELD,FloweringD,MaturityD,HAsum,HAmean,AdjustedYield
24101-n,1AEA6AB175,3,,LODS,270,1018,"30""",75000,Eclipse,5,1,18,33,18.8,1362,1775,2024-07-25,2024-08-21,142536,0.94,1892.867591
24101-n,1B5F6CAFAA,3,,LODS,245,5017,"30""",150000,Eclipse,5,5,17,48,17.9,1973,2599,2024-07-21,2024-08-23,151532,1,2607.061202
24101-n,11D5A160FD,3,,LODS,226,15016,"30""",100000,Eclipse,5,15,16,25,17.9,2074,2732,2024-07-22,2024-08-26,147230,0.97,2820.53068
24101-n,1EB5B01FFF,1,,LODS,30,1002,"30""",150000,ETNA,6,1,2,47,19.2,1967,2550,2024-07-17,2024-08-20,143320,0.94,2704.437622
24101-n,1DBB1A7FEC,1,,LODS,36,6003,"30""",75000,ETNA,6,6,3,58,23,828,1023,2024-07-19,2024-08-21,144415,0.95,1076.730257
24101-n,1A2F8E059F,1,,LODS,8,8001,"30""",100000,ETNA,6,8,1,41,18.2,851,1117,2024-07-16,2024-08-19,146571,0.96,1158.373757
24101-n,1C72DABC5F,2,,LODS,152,2011,"30""",75000,ETNA,6,2,11,63,21.5,537,676,2024-07-16,2024-08-21,143412,0.94,716.4811871
24101-n,108FE7B6A8,2,,LODS,170,11012,"30""",150000,ETNA,6,11,12,53,17.8,815,1075,2024-07-19,2024-08-21,137672,0.91,1186.878959
24101-n,1F6ACB792D,2,,LODS,136,15010,"30""",100000,ETNA,6,15,10,54,19,1038,1349,2024-07-18,2024-08-22,144974,0.95,1414.387056
24101-n,19E336647B,3,,LODS,235,6016,"30""",100000,ETNA,6,6,16,58,17.7,980,1294,2024-07-18,2024-08-21,148769,0.98,1322.112093
24101-n,1839F24454,3,,LODS,252,12017,"30""",150000,ETNA,6,12,17,50,17.8,472,623,2024-07-17,2024-08-20,149308,0.98,634.2242479
24101-n,17413F4289,3,,LODS,258,13018,"30""",75000,ETNA,6,13,18,28,20.5,1838,2345,2024-07-18,2024-08-23,142530,0.94,2500.8233
24101-n,1CFB818B13,1,,LODS,27,4002,"30""",150000,Merlot,7,4,2,38,19.7,1394,1796,2024-07-20,2024-08-26,144312,0.95,1891.691585
24101-n,1913C5BCE2,1,,LODS,13,13001,"30""",100000,Merlot,7,13,1,40,19.5,1360,1757,2024-07-25,2024-09-01,129422,0.85,2063.526734
24101-n,10C128A4AC,1,,LODS,44,14003,"30""",75000,Merlot,7,14,3,42,18.6,918,1199,2024-07-24,2024-09-02,132193,0.87,1378.659982
24101-n,18E872AECC,2,,LODS,156,6011,"30""",75000,Merlot,7,6,11,42,20.5,1282,1635,2024-07-25,2024-09-01,133093,0.88,1867.290316
24101-n,150719918B,2,,LODS,142,9010,"30""",100000,Merlot,7,9,10,0,19.2,1600,2074,2024-07-25,2024-09-02,136658,0.9,2306.83897
24101-n,10E7A3798C,2,,LODS,166,15012,"30""",150000,Merlot,7,15,12,41,18.2,1340,1759,2024-07-23,2024-08-30,143440,0.94,1863.983261
24101-n,1743EE89CD,3,,LODS,247,7017,"30""",150000,Merlot,7,7,17,41,17.7,1483,1958,2024-07-23,2024-09-01,147383,0.97,2019.337373
24101-n,1A88B14122,3,,LODS,260,11018,"30""",75000,Merlot,7,11,18,27,18.6,1694,2213,2024-07-24,2024-08-30,105908,0.7,3176.115119
24101-n,17EBFE59C1,3,,LODS,228,13016,"30""",100000,Merlot,7,13,16,45,19.6,1474,1902,2024-07-26,2024-09-01,138020,0.91,2094.652949
24101-n,17A4AB3390,1,,LODS,1,1001,"30""",100000,Nautica,8,1,1,39,19.8,1772,2280,2024-07-24,2024-09-01,131707,0.87,2631.260601
24101-n,1BF894EAAD,1,,LODS,26,5002,"30""",150000,Nautica,8,5,2,48,18.9,1705,2219,2024-07-22,2024-08-28,149375,0.98,2258.009834
24101-n,16614BF8FB,1,,LODS,45,15003,"30""",75000,Nautica,8,15,3,24,21.2,1489,1883,2024-07-24,2024-08-30,141132,0.93,2028.028838
24101-n,1FCFC7D6A5,2,,LODS,153,3011,"30""",75000,Nautica,8,3,11,24,19.9,1686,2167,2024-07-24,2024-08-30,146210,0.96,2252.829266
24101-n,16F697E982,2,,LODS,173,8012,"30""",150000,Nautica,8,8,12,24,20.5,2112,2694,2024-07-21,2024-08-29,144687,0.95,2830.183043
24101-n,1E9F22FC24,2,,LODS,137,14010,"30""",100000,Nautica,8,14,10,35,19.5,1810,2338,2024-07-26,2024-08-30,137983,0.91,2575.522622
24101-n,1EF1E40699,3,,LODS,243,3017,"30""",150000,Nautica,8,3,17,23,15.9,766,1034,2024-07-26,2024-08-31,149280,0.98,1052.8403
24101-n,14812201FE,3,,LODS,236,5016,"30""",100000,Nautica,8,5,16,,,,,2024-07-24,2024-08-30,140570,0.92,
24101-n,137C8A71EA,3,,LODS,256,15018,"30""",75000,Nautica,8,15,18,28,16.5,1392,1865,2024-07-25,2024-08-30,143341,0.94,1977.674671
24101-n,1CB9084CD5,1,,LODS,37,7003,"30""",75000,Red Dawn,9,7,3,65,20.6,553,705,2024-07-16,2024-08-20,148085,0.97,723.6384509
24101-n,1F3E3C7202,1,,LODS,14,14001,"30""",100000,Red Dawn,9,14,1,61,20.1,427,547,2024-07-18,2024-08-21,150318,0.99,553.1098006
24101-n,1EE98D13AE,1,,LODS,17,14002,"30""",150000,Red Dawn,9,14,2,65,20.5,595,759,2024-07-19,2024-08-21,149613,0.98,771.1145355
24101-n,1938526BD4,2,,LODS,146,5010,"30""",100000,Red Dawn,9,5,10,62,20.5,538,686,2024-07-16,2024-08-19,151811,1,686.8585676
24101-n,16EDD0D6A7,2,,LODS,175,6012,"30""",150000,Red Dawn,9,6,12,64,19.7,766,987,2024-07-16,2024-08-20,151523,1,990.1071125
24101-n,1BEE9EAA14,2,,LODS,161,11011,"30""",75000,Red Dawn,9,11,11,65,19.5,341,440,2024-07-18,2024-08-21,149108,0.98,448.5339485
24101-n,1597C0C6D6,3,,LODS,242,2017,"30""",150000,Red Dawn,9,2,17,63,20.3,364,466,2024-07-16,2024-08-20,151930,1,466.2177713
24101-n,18B0FF5910,3,,LODS,267,4018,"30""",75000,Red Dawn,9,4,18,71,21.6,714,898,2024-07-19,2024-08-19,148587,0.98,918.638885
24101-n,1B1DAAE457,3,,LODS,231,10016,"30""",100000,Red Dawn,9,10,16,69,19.2,398,516,2024-07-16,2024-08-21,147552,0.97,531.5619714
24101-n,114965A262,1,,LODS,31,1003,"30""",75000,Red Rover,9,1,3,,,,,2024-07-16,2024-08-21,149940,0.99,
24101-n,14D1D74C4F,1,,LODS,12,12001,"30""",100000,Red Rover,9,12,1,60,20.7,642,817,2024-07-18,2024-08-20,151820,1,817.9740285
24101-n,11EC8AEE89,1,,LODS,19,12002,"30""",150000,Red Rover,9,12,2,57,21.2,1338,1692,2024-07-19,2024-08-22,150834,0.99,1705.057321
24101-n,1005824E2F,2,,LODS,149,2010,"30""",100000,Red Rover,9,2,10,55,20.3,674,862,2024-07-18,2024-08-21,151953,1,862.2779675
24101-n,142716F39E,2,,LODS,154,4011,"30""",75000,Red Rover,9,4,11,56,21,680,862,2024-07-19,2024-08-22,150293,0.99,871.7847006
24101-n,191BA5BC4A,2,,LODS,169,12012,"30""",150000,Red Rover,9,12,12,57,20.4,971,1240,2024-07-16,2024-08-24,151990,1,1240.089743
24101-n,1C399A622E,3,,LODS,264,7018,"30""",75000,Red Rover,9,7,18,26,19.6,1247,1609,2024-07-17,2024-08-21,112910,0.74,2166.043752
24101-n,1070391AA4,3,,LODS,233,8016,"30""",100000,Red Rover,9,8,16,51,21.1,857,1085,2024-07-17,2024-08-21,145338,0.96,1134.734206
24101-n,1BE6B8661A,3,,LODS,253,13017,"30""",150000,Red Rover,9,13,17,63,19.7,670,863,2024-07-18,2024-08-23,151348,1,866.7063589
24101-n,1647132305,1,,LODS,7,7001,"30""",100000,Redhawk,10,7,1,,,,,2024-07-17,2024-08-21,141596,0.93,
24101-n,1346BCE35D,1,,LODS,40,10003,"30""",75000,Redhawk,10,10,3,52,20.4,358,457,2024-07-17,2024-08-21,99365,0.65,699.088351
24101-n,17B74EF533,1,,LODS,18,13002,"30""",150000,Redhawk,10,13,2,61,21.2,763,965,2024-07-20,2024-08-26,149562,0.98,980.7174951
24101-n,10E594A03A,2,,LODS,151,1011,"30""",75000,Redhawk,10,1,11,47,19.8,307,395,2024-07-16,2024-08-20,136601,0.9,439.5311528
24101-n,103F624B8D,2,,LODS,176,5012,"30""",150000,Redhawk,10,5,12,58,20,867,1113,2024-07-18,2024-08-21,148921,0.98,1136.011711
24101-n,1C32A3B1D2,2,,LODS,139,12010,"30""",100000,Redhawk,10,12,10,74,21.2,738,933,2024-07-18,2024-08-23,148267,0.98,956.4843627
24101-n,1C1CAA7A5F,3,,LODS,239,2016,"30""",100000,Redhawk,10,2,16,56,19.3,361,467,2024-07-16,2024-08-26,147100,0.97,482.5465602
24101-n,19560BA2F1,3,,LODS,250,10017,"30""",150000,Redhawk,10,10,17,65,20.5,775,,2024-07-18,2024-08-26,142072,0.93,1058.11138
24101-n,131D420CA5,3,,LODS,261,10018,"30""",75000,Redhawk,10,10,18,41,17.8,2207,,2024-07-19,2024-08-30,137680,0.91,
24101-n,142BD536E6,1,,LODS,35,5003,"30""",75000,Ronnies red,11,5,3,70,22,693,867,2024-07-22,,144507,0.95,911.9678216
24101-n,161743762B,1,,LODS,10,10001,"30""",100000,Ronnies red,11,10,1,72,23,590,729,2024-07-24,2024-09-02,149980,0.99,738.8185091
24101-n,13C7E686AA,1,,LODS,16,15002,"30""",150000,Ronnies red,11,15,2,82,22,664,831,2024-07-21,,151993,1,831.0218694
24101-n,1B388374BB,2,,LODS,180,1012,"30""",150000,Ronnies red,11,1,12,74,24.2,889,1081,2024-07-19,,151415,1,1085.155084
24101-n,12E1D82A3B,2,,LODS,158,8011,"30""",75000,Ronnies red,11,8,11,70,20.8,1183,1503,2024-07-21,,150758,0.99,1515.392238
24101-n,1B8410F2B7,2,,LODS,141,10010,"30""",100000,Ronnies red,11,10,10,82,21.9,956,1198,2024-07-23,,149063,0.98,1221.604288
24101-n,15059F9B51,3,,LODS,232,9016,"30""",100000,Ronnies red,11,9,16,70,20.1,728,933,2024-07-20,2024-09-01,150057,0.99,945.0870869
24101-n,1E26CF6FAC,3,,LODS,249,9017,"30""",150000,Ronnies red,11,9,17,66,19.8,984,1266,2024-07-22,,151808,1,1267.60952
24101-n,1DFD5992AB,3,,LODS,259,12018,"30""",75000,Ronnies red,11,12,18,61,20.3,636,813,2024-07-21,2024-09-02,148970,0.98,829.5416057
24101-n,13EFA08461,1,,LODS,32,2003,"30""",75000,T9905,12,2,3,38,21,1637,2075,2024-07-24,2024-08-30,147503,0.97,2138.275662
24101-n,135525D516,1,,LODS,24,7002,"30""",150000,T9905,12,7,2,27,20,2001,2569,2024-07-24,2024-08-30,123769,0.81,3154.974186
24101-n,11FBF792FB,1,,LODS,11,11001,"30""",100000,T9905,12,11,1,26,21.3,1675,2115,2024-07-26,2024-08-30,149211,0.98,2154.532843
24101-n,1697EBC230,2,,LODS,148,3010,"30""",100000,T9905,12,3,10,26,20.3,1889,2416,2024-07-22,2024-08-30,148816,0.98,2467.642942
24101-n,101D2D89B4,2,,LODS,172,9012,"30""",150000,T9905,12,9,12,26,20.4,1960,2503,2024-07-24,2024-08-30,141286,0.93,2692.825213
24101-n,143255DC9E,2,,LODS,162,12011,"30""",75000,T9905,12,12,11,22,22.1,1630,2038,2024-07-23,2024-09-01,147584,0.97,2098.980919
24101-n,1844C7FCA3,3,,LODS,263,8018,"30""",75000,T9905,12,8,18,48,18.6,1875,2449,2024-07-21,2024-08-30,124603,0.82,2987.472212
24101-n,17BCFC1D0E,3,,LODS,227,14016,"30""",100000,T9905,12,14,16,27,17.6,2041,2699,2024-07-24,2024-08-31,148583,0.98,2761.033241
24101-n,1D7076FD12,3,,LODS,254,14017,"30""",150000,T9905,12,14,17,38,18.5,2109,2758,2024-07-24,2024-08-30,151808,1,2761.524531
24101-n,1143BB41EA,1,,LODS,3,3001,"30""",100000,Windbreaker,13,3,1,42,21.2,1586,2005,2024-07-21,2024-08-23,151855,1,2006.927694
24101-n,1BAF74E1C8,1,,LODS,39,9003,"30""",75000,Windbreaker,13,9,3,46,19.6,1482,1912,2024-07-21,2024-08-26,144393,0.95,2012.676182
24101-n,128FFC5EE2,1,,LODS,21,10002,"30""",150000,Windbreaker,13,10,2,45,20.2,1444,1849,2024-07-20,2024-08-24,151879,1,1850.473074
24101-n,1335921DEC,2,,LODS,178,3012,"30""",150000,Windbreaker,13,3,12,42,19.2,1618,2098,2024-07-19,2024-08-22,150232,0.99,2122.690239
24101-n,12865E420B,2,,LODS,144,7010,"30""",100000,Windbreaker,13,7,10,41,19.1,1573,2042,2024-07-21,2024-08-24,151444,1,2049.510327
24101-n,102E845022,2,,LODS,165,15011,"30""",75000,Windbreaker,13,15,11,48,20,1445,1855,2024-07-22,2024-08-26,149601,0.98,1884.759159
24101-n,1FC9C898A6,3,,LODS,244,4017,"30""",150000,Windbreaker,13,4,17,41,19.6,1767,2280,2024-07-21,2024-08-21,144048,0.95,2405.88054
24101-n,1621A5E489,3,,LODS,262,9018,"30""",75000,Windbreaker,13,9,18,58,18.9,527,,2024-07-19,2024-08-24,150896,0.99,
24101-n,14314EC041,3,,LODS,229,12016,"30""",100000,Windbreaker,13,12,16,43,17.6,1402,1854,2024-07-20,2024-08-24,151711,1,1857.531754
24101-n,1FA7816CE1,1,,LODS,28,3002,"30""",150000,Zorro,14,3,2,25,19.4,2071,2678,2024-07-22,2024-08-26,148840,0.98,2734.856221
24101-n,197BBB7845,1,,LODS,4,4001,"30""",100000,Zorro,14,4,1,27,21.5,1519,1913,2024-07-21,2024-08-24,144210,0.95,2016.324021
24101-n,1D59F1C964,1,,LODS,34,4003,"30""",75000,Zorro,14,4,3,28,19.6,1320,1703,2024-07-23,2024-08-26,126330,0.83,2049.05963
24101-n,1002DC1CCA,2,,LODS,159,9011,"30""",75000,Zorro,14,9,11,38,21.2,1261,1594,2024-07-28,2024-08-30,107376,0.71,2256.429798
24101-n,11F82120E3,2,,LODS,171,10012,"30""",150000,Zorro,14,10,12,26,18.5,2202,2880,2024-07-24,2024-08-28,149619,0.98,2925.831612
24101-n,179DF95BCF,2,,LODS,140,11010,"30""",100000,Zorro,14,11,10,25,18.4,1570,2056,2024-07-23,2024-08-30,138591,0.91,2254.893088
24101-n,172F6E3B6E,3,,LODS,266,5018,"30""",75000,Zorro,14,5,18,41,19,1258,1635,2024-07-21,2024-08-26,127655,0.84,1946.796953
24101-n,1259CDB3C1,3,,LODS,230,11016,"30""",100000,Zorro,14,11,16,29,20.8,2007,2551,2024-07-26,2024-08-30,135047,0.89,2871.256311
24101-n,1DD79202CD,3,,LODS,255,15017,"30""",150000,Zorro,14,15,17,27,20.7,1306,1662,2024-07-24,2024-08-28,129347,0.85,1953.046271
