fid,id,Trial,Row,Column,MasonPlot#,layer,path,716ExG_mean,716ExG_variance,716ExR_mean,716ExR_variance,716gNDVI_mean,716gNDVI_variance,716NDVI_mean,716NDVI_variance,716THRESH_mean,716THRESH_variance,716HA_mean,716HA_variance,716PLT_,,,,,717NDRE_mean,717NDRE_variance
20,1020,2501,4,5,25010405,405,7/16/2025,47,81.17840683,1116.455285,-1768.756126,8373060.38,0.404893256,0.03471062,0.195545166,0.013772628,-0.034009155,0.001146815,0.771659985,0.176200852,0.567587766,21,,,,
21,1021,2501,5,1,25010501,501,7/16/2025,47,111.7536532,1389.775082,-3636.807275,8750831.406,0.457376455,0.020828575,0.19934824,0.008483143,-0.049481367,0.001678116,0.867693566,0.114801442,0.761916045,37,,,,
22,1022,2501,5,2,25010502,502,7/16/2025,47,89.28510267,1133.870968,-2160.653411,7622559.413,0.422213955,0.032319807,0.201019116,0.013179426,-0.041962545,0.001143294,0.805459355,0.156694583,0.545729596,23,,,,
23,1023,2501,5,3,25010503,503,7/16/2025,47,77.00842352,1357.071952,-1194.027375,11155456.59,0.339091039,0.048375785,0.142014395,0.019484732,-0.056698759,0.001163528,0.691546493,0.213309941,0.583328776,23,,,,
24,1024,2501,5,4,25010504,504,7/16/2025,47,75.4077961,1597.566618,-1051.985346,13615434.74,0.321318894,0.057151714,0.128648756,0.022085256,-0.061616576,0.001135059,0.639416655,0.230562996,0.569501659,28,,,,
25,1025,2501,5,5,25010505,505,7/16/2025,47,81.88959446,1302.144929,-1569.861119,11030108.92,0.376449457,0.048628404,0.169691749,0.019981511,-0.048760164,0.001147713,0.721383408,0.200989387,0.4228035,21,,,,
26,1026,2501,6,1,25010601,601,7/16/2025,47,92.25224243,1147.273924,-2310.829363,8214245.203,0.448978374,0.03165459,0.225896758,0.013626816,-0.028798541,0.00142472,0.830284359,0.140912242,0.656301832,27,,,,
27,1027,2501,6,2,25010602,602,7/16/2025,47,89.33077951,1672.056411,-1954.996575,10128535.89,0.402294203,0.044074048,0.186599387,0.017100682,-0.039415528,0.001031722,0.745426289,0.189765937,0.279983231,6,,,,
28,1028,2501,6,3,25010603,603,7/16/2025,47,86.51365941,1590.458931,-1932.906206,10108394.81,0.396562265,0.048326798,0.177567406,0.01907042,-0.047914663,0.000879081,0.741752549,0.191555705,0.299772168,13,,,,
29,1029,2501,6,4,25010604,604,7/16/2025,47,94.03700978,1067.532329,-2834.06265,6947358.422,0.423359524,0.02400378,0.178178854,0.009675231,-0.05847524,0.000986169,0.834028289,0.138425102,0.801990485,48,,,,
30,1030,2501,6,5,25010605,605,7/16/2025,47,86.12631923,1234.731705,-2046.583032,7990610.92,0.411183929,0.036325247,0.190201977,0.014590858,-0.046650207,0.00086783,0.778205023,0.172601965,0.433969487,16,,,,
31,2001,2501,7,1,25010701,701,7/16/2025,47,80.60788376,1501.236644,-1186.103132,11655292.58,0.379101259,0.052297746,0.187619018,0.021723001,-0.043539214,0.001130323,0.721151487,0.20109202,0.221695706,8,,,,
32,2002,2501,7,2,25010702,702,7/16/2025,47,107.3613778,1297.112261,-3346.472111,8216945.034,0.458955081,0.023252708,0.209038741,0.009578648,-0.056688062,0.001018473,0.863559507,0.117824485,0.569743917,28,,,,
33,2003,2501,7,3,25010703,703,7/16/2025,47,80.56236539,1381.665179,-1387.635497,10803661.17,0.36739248,0.045002904,0.166868388,0.018152148,-0.059909199,0.000887377,0.712369476,0.204899206,0.459907767,24,,,,
34,2004,2501,7,4,25010704,704,7/16/2025,47,77.3356691,1086.477112,-1389.17756,9036485.647,0.38270243,0.041615047,0.182444724,0.0178496,-0.053058298,0.000815916,0.734703894,0.194914082,0.716165722,43,,,,
35,2005,2501,7,5,25010705,705,7/16/2025,47,86.93780504,1387.587325,-1958.398888,10096671.72,0.41640871,0.043797688,0.199510257,0.018415291,-0.04721293,0.00098601,0.767280164,0.178561314,0.261560615,12,,,,
36,2006,2501,8,1,25010801,801,7/16/2025,47,75.86135187,1452.328092,-1030.027403,10609310.14,0.354886037,0.051009525,0.163959714,0.020775283,-0.04922549,0.001148114,0.683428727,0.216353902,0.551008877,27,,,,
37,2007,2501,8,2,25010802,802,7/16/2025,47,84.79057463,1115.91935,-1914.517391,7531895.17,0.426690485,0.033639466,0.213462504,0.014067765,-0.039209318,0.001271241,0.800501814,0.15969866,0.710908594,34,,,,
38,2008,2501,8,3,25010803,803,7/16/2025,47,70.68883377,1335.891102,-688.4501378,10878109.97,0.328424473,0.04926083,0.148206212,0.019972396,-0.051660283,0.001535226,0.652939413,0.226609536,0.708453323,39,,,,
39,2009,2501,8,4,25010804,804,7/16/2025,47,75.45389375,1211.567088,-1296.26248,9567078.81,0.384239736,0.044795235,0.189186143,0.018492502,-0.039710325,0.00149412,0.724888925,0.199424971,0.500355444,23,,,,
40,2010,2501,8,5,25010805,805,7/16/2025,47,67.17219843,1416.086147,-497.5948786,12755511.17,0.329784438,0.058726,0.154552508,0.023911462,-0.046779612,0.001290496,0.641530532,0.229969109,0.573805748,25,,,,
41,2011,2501,9,1,25010901,901,7/16/2025,47,86.95885593,1484.952692,-2081.899264,10448691.94,0.42781007,0.042693017,0.212005735,0.016668649,-0.042986489,0.001649183,0.767041117,0.178689042,0.20631767,6,,,,
42,2012,2501,9,2,25010902,902,7/16/2025,47,82.97835982,1438.240953,-1641.432166,11031464.99,0.384278315,0.047485832,0.174460276,0.018831827,-0.053848377,0.001445923,0.722520509,0.200484623,0.365599825,16,,,,
43,2013,2501,9,3,25010903,903,7/16/2025,47,87.13799591,1793.753309,-2033.746624,12507236.88,0.371707715,0.045860309,0.153148017,0.016915642,-0.058997421,0.001340252,0.710838446,0.20554715,0.361270096,10,,,,
44,2014,2501,9,4,25010904,904,7/16/2025,47,71.51734388,1236.470479,-1171.963081,9916403.123,0.381795554,0.051222508,0.189965148,0.022342002,-0.037104616,0.001504915,0.707962912,0.206751427,0.384947687,16,,,,
45,2015,2501,9,5,25010905,905,7/16/2025,47,64.43875242,1470.579409,-311.2144379,12437745.35,0.294411246,0.059847619,0.121886816,0.024958343,-0.050325232,0.001422724,0.59459091,0.24105256,0.537754935,29,,,,
46,2016,2501,10,1,25011001,1001,7/16/2025,47,74.13836169,1558.235001,-1090.479117,15078930.24,0.331921606,0.057845841,0.135549869,0.022325731,-0.057093642,0.001250526,0.651805192,0.226955184,0.656744983,26,,,,
47,2017,2501,10,2,25011002,1002,7/16/2025,47,68.88403151,1267.146809,-944.9551714,11805288.83,0.349089991,0.055357012,0.158489823,0.023084943,-0.047906765,0.001250941,0.667765937,0.22185459,0.444304697,18,,,,
48,2018,2501,10,3,25011003,1003,7/16/2025,47,66.37659505,1356.721302,-856.9623086,11702689.3,0.320087479,0.05776588,0.129698748,0.023947856,-0.055943308,0.001214931,0.628285527,0.233542823,0.454876871,21,,,,
49,2019,2501,10,4,25011004,1004,7/16/2025,47,77.5393047,1466.204992,-1968.775634,11163985.35,0.379255498,0.050393698,0.157572102,0.020262126,-0.053287641,0.001278196,0.709284254,0.206200101,0.486120983,27,,,,
50,2020,2501,10,5,25011005,1005,7/16/2025,47,66.55669766,1634.244931,-966.7267337,12593508.57,0.332561537,0.068374851,0.139030892,0.029125246,-0.04497901,0.001309405,0.626632494,0.233964211,0.204811811,6,,,,
51,2021,2501,11,1,25011101,1101,7/16/2025,47,71.89931568,1743.415065,-1059.652973,16740470.44,0.299412244,0.059222843,0.10155765,0.021891232,-0.065913137,0.001431092,0.609476812,0.238014828,0.801877335,49,,,,
52,2022,2501,11,2,25011102,1102,7/16/2025,47,74.46775381,1592.353075,-1483.736325,13212134.07,0.367610731,0.057585191,0.163090935,0.022271974,-0.053299271,0.000962557,0.667775627,0.221851339,0.356154645,15,,,,
53,2023,2501,11,3,25011103,1103,7/16/2025,47,70.4874465,1188.28261,-1424.084181,10567564.41,0.364916606,0.044547057,0.162559121,0.018181018,-0.050350578,0.001422057,0.701878254,0.20924517,0.644528687,36,,,,
54,2024,2501,11,4,25011104,1104,7/16/2025,47,60.8429502,1022.185862,-928.3997654,10157731.38,0.356795666,0.048702859,0.171584287,0.020189588,-0.043278202,0.001628725,0.668292949,0.221677483,0.384525654,16,,,,
55,2025,2501,11,5,25011105,1105,7/16/2025,47,53.00111741,1283.025917,241.1815393,15145495.88,0.258370279,0.069304833,0.096200655,0.029747334,-0.059341129,0.001750944,0.521012755,0.249558464,0.574042685,29,,,,
56,2026,2501,12,1,25011201,1201,7/16/2025,47,81.58538181,1837.015316,-1832.771876,16691881.75,0.399311313,0.067318751,0.183632663,0.028725544,-0.043038462,0.001961888,0.720690031,0.20129591,0.372990412,22,,,,
57,2027,2501,12,2,25011202,1202,7/16/2025,47,72.63780837,1290.313604,-1502.63197,11411865.62,0.381579062,0.053077712,0.175464512,0.022712291,-0.041044556,0.001509716,0.718958702,0.202057087,0.563729153,23,,,,
58,2028,2501,12,3,25011203,1203,7/16/2025,47,72.61991061,1380.492394,-1564.468229,11651600.88,0.391981713,0.058187211,0.187189408,0.02536879,-0.041276008,0.001456113,0.70406606,0.208357043,0.492289745,23,,,,
59,2029,2501,12,4,25011204,1204,7/16/2025,47,63.89593217,1460.533174,-841.0391292,13854191.81,0.342326113,0.068804335,0.155294842,0.029833024,-0.049971838,0.001429565,0.631223077,0.232780504,0.363833549,15,,,,
60,2030,2501,12,5,25011205,1205,7/16/2025,47,55.93383877,1411.922916,-90.40796339,15001208.06,0.300412801,0.078640646,0.131452264,0.035210028,-0.043332869,0.001813451,0.576469947,0.244152347,0.363679443,11,,,,
61,3001,2501,13,1,25011301,1301,7/16/2025,47,84.13000927,1594.68445,-2134.361332,12825366.08,0.394043218,0.05122573,0.172487768,0.02127105,-0.042218654,0.001771832,0.733466005,0.195493624,0.455791488,22,,,,
62,3002,2501,13,2,25011302,1302,7/16/2025,47,71.96902607,1512.940855,-1214.985555,12771602.78,0.363800938,0.062764318,0.166839064,0.026893859,-0.042156413,0.001552955,0.675237212,0.219291919,0.302312866,12,,,,
63,3003,2501,13,3,25011303,1303,7/16/2025,47,64.0875576,1276.526705,-614.2562751,12608812.53,0.33934515,0.065469225,0.159581082,0.028794742,-0.041496953,0.001575882,0.643170725,0.229502143,0.259012868,18,,,,
64,3004,2501,13,4,25011304,1304,7/16/2025,47,62.80780028,1158.941555,-522.2578718,13134070.92,0.323235332,0.059889957,0.143741884,0.025557212,-0.050210599,0.001357961,0.641301682,0.230033835,0.570157851,33,,,,
65,3005,2501,13,5,25011305,1305,7/16/2025,47,71.22606325,1466.757292,-1013.239994,15289570.34,0.323607601,0.057754927,0.129610132,0.022924244,-0.05588293,0.001295575,0.650654308,0.22730328,0.587448278,29,,,,
66,3006,2501,14,1,25011401,1401,7/16/2025,47,99.5279928,1374.636918,-3358.20059,9167740.083,0.463316293,0.027093493,0.214991169,0.01115821,-0.056005066,0.001511538,0.836322503,0.136887174,0.499070395,21,,,,
67,3007,2501,14,2,25011402,1402,7/16/2025,47,82.43351231,994.8421835,-2235.355913,6938902.815,0.443745043,0.031965043,0.222807587,0.014124582,-0.040722697,0.001119106,0.802512878,0.158485959,0.558724893,29,,,,
68,3008,2501,14,3,25011403,1403,7/16/2025,47,72.28569092,1356.535451,-1261.089551,11222317.1,0.368341887,0.055560347,0.173386594,0.024029442,-0.040547329,0.001434053,0.688765913,0.21436743,0.270878139,9,,,,
69,3009,2501,14,4,25011404,1404,7/16/2025,47,75.71447261,1340.317765,-1543.582387,11013654.6,0.393242179,0.055312323,0.19034102,0.024850945,-0.037080676,0.001943968,0.719787408,0.201693495,0.595888164,25,,,,
70,3010,2501,14,5,25011405,1405,7/16/2025,47,67.10610854,1097.564116,-996.1641455,9350488.782,0.364351459,0.048041076,0.177167417,0.02085148,-0.02898748,0.001486622,0.67911099,0.217919253,0.513696758,30,,,,
71,3011,2501,15,1,25011501,1501,7/16/2025,47,78.05525404,1644.082964,-1467.98169,13950365.59,0.376112972,0.064382643,0.173732111,0.028334307,-0.049381592,0.001299083,0.701039081,0.209583288,0.37558095,18,,,,
72,3012,2501,15,2,25011502,1502,7/16/2025,47,75.58005507,1573.292854,-1244.562395,13077214.16,0.376838651,0.066344534,0.180275408,0.029858812,-0.041987299,0.00140858,0.69818162,0.210724046,0.203966315,7,,,,
73,3013,2501,15,3,25011503,1503,7/16/2025,47,77.69536767,1279.280512,-1514.782943,9278780.924,0.396685057,0.048303937,0.195008409,0.021679633,-0.039394166,0.001523284,0.740818497,0.192006452,0.505459252,29,,,,
74,3014,2501,15,4,25011504,1504,7/16/2025,47,69.2588261,1333.561591,-864.551823,11475241.73,0.355794958,0.059802918,0.172073542,0.026587971,-0.041970804,0.001791743,0.670428832,0.220954013,0.565020869,36,,,,
75,3015,2501,15,5,25011505,1505,7/16/2025,47,74.34641592,1009.731781,-1423.341826,8489527.47,0.396625785,0.042680149,0.197826493,0.020111035,-0.029420013,0.001441749,0.773698555,0.175089101,0.777937772,37,,,,
76,3016,2501,16,1,25011601,1601,7/16/2025,47,78.17634549,1404.024303,-1559.103615,10196982.69,0.401783448,0.048977223,0.202135352,0.021114001,-0.037492226,0.001678598,0.731174001,0.196558581,0.411165385,17,,,,
77,3017,2501,16,2,25011602,1602,7/16/2025,47,73.60423257,1282.978145,-1116.923012,10400283.69,0.362623158,0.052784745,0.170243655,0.022608488,-0.047681149,0.001363714,0.699738191,0.210104655,0.587203791,29,,,,
78,3018,2501,16,3,25011603,1603,7/16/2025,47,64.67735427,1353.484591,-368.3317035,11678139.43,0.322178951,0.061093031,0.152116873,0.026068891,-0.044016165,0.00105618,0.623180108,0.234826661,0.390415953,18,,,,
79,3019,2501,16,4,25011604,1604,7/16/2025,47,81.78420306,1544.448633,-1815.194214,11142798.72,0.419216723,0.052985446,0.212568134,0.022388133,-0.04155198,0.001078762,0.743606522,0.190655863,0.455655597,19,,,,
80,3020,2501,16,5,25011605,1605,7/16/2025,47,71.85816338,1285.101597,-1061.835947,10051737.33,0.374401375,0.050877063,0.187178988,0.021893094,-0.03634026,0.001044453,0.70392082,0.208416299,0.465872018,19,,,,
81,3021,2501,17,1,25011701,1701,7/16/2025,47,78.46489817,1628.484161,-1365.031572,13800034.74,0.376794488,0.056175417,0.180177145,0.022905998,-0.053107516,0.002217126,0.704408517,0.208217158,0.407246747,14,,,,
82,3022,2501,17,2,25011702,1702,7/16/2025,47,78.56694737,1629.292911,-1353.28019,13202527.35,0.380810552,0.058852227,0.182032208,0.024340272,-0.048586612,0.001761201,0.706074728,0.207533206,0.367260266,15,,,,
83,3023,2501,17,3,25011703,1703,7/16/2025,47,79.69561899,1576.435991,-1669.595278,10927578.82,0.409412804,0.052632194,0.206467959,0.022346504,-0.033568715,0.001371914,0.732586353,0.195903589,0.24669194,9,,,,
84,3024,2501,17,4,25011704,1704,7/16/2025,47,70.3782745,1518.093054,-933.325937,13228872.85,0.358310785,0.060534474,0.172471263,0.02573659,-0.039778672,0.001501928,0.674444596,0.219569083,0.410119015,15,,,,
85,3025,2501,17,5,25011705,1705,7/16/2025,47,70.6816075,1233.715465,-1268.792126,10175061.56,0.383165643,0.049432525,0.190272814,0.022101551,-0.03254059,0.001250224,0.710453133,0.205709479,0.459237793,25,,,,
86,3026,2501,18,1,25011801,1801,7/16/2025,47,76.90442039,1429.301628,-1602.350206,11060012.14,0.41455828,0.049519909,0.213244818,0.020701075,-0.033101401,0.001218664,0.742494069,0.191196627,0.391481063,18,,,,
87,3027,2501,18,2,25011802,1802,7/16/2025,47,84.43497819,1520.511257,-2132.506614,10553238.83,0.429759109,0.04317858,0.212384612,0.017148575,-0.039772681,0.001062651,0.763685932,0.180469729,0.39299384,19,,,,
88,3028,2501,18,3,25011803,1803,7/16/2025,47,85.79617314,1440.995633,-2385.724739,9196994.569,0.444559087,0.037462484,0.223731613,0.015385423,-0.032558079,0.001132691,0.796963585,0.161812629,0.490941567,20,,,,
89,3029,2501,18,4,25011804,1804,7/16/2025,47,67.68028787,1477.022065,-1112.126577,11407102.42,0.392720079,0.05599209,0.207531645,0.024090832,-0.031134027,0.001303168,0.686775891,0.215114767,0.544617796,24,,,,
90,3030,2501,18,5,25011805,1805,7/16/2025,47,59.50670482,1115.532593,-785.9532026,8746415.81,0.374277181,0.048790742,0.199693429,0.021875556,-0.019560103,0.00110634,0.678849823,0.218012741,0.330994259,10,,,,
91,4001,2501,19,1,25011901,1901,7/16/2025,47,69.51536804,1531.33739,-1176.355121,13354752.95,0.347718767,0.057053952,0.152536631,0.023548048,-0.054672755,0.001205844,0.653748602,0.226361367,0.549260859,31,,,,
92,4002,2501,19,2,25011902,1902,7/16/2025,47,64.83881875,1203.096018,-1034.132567,10829110.43,0.376718891,0.057596261,0.187569627,0.026487756,-0.037260437,0.00148053,0.687917542,0.214686998,0.373926833,16,,,,
93,4003,2501,19,3,25011903,1903,7/16/2025,47,62.23275721,1622.157754,-681.918919,13961045.08,0.348267231,0.070803551,0.169295854,0.030851285,-0.035380415,0.001585754,0.628046453,0.233604106,0.202416973,8,,,,
94,4004,2501,19,4,25011904,1904,7/16/2025,47,63.07727545,1709.206277,-725.0468616,15201258.1,0.313095559,0.062826004,0.130158883,0.024977672,-0.052626941,0.001485809,0.595708131,0.240839954,0.681777583,34,,,,
95,4005,2501,19,5,25011905,1905,7/16/2025,47,50.76025082,1216.914058,137.1802511,13424176.71,0.273642447,0.062101725,0.110839502,0.027154306,-0.051350744,0.001570519,0.545174482,0.247959266,0.639537003,31,,,,
96,4006,2501,20,1,25012001,2001,7/16/2025,47,64.10935158,1556.321494,-656.8559068,15288086.69,0.330723273,0.065627808,0.150384338,0.028052428,-0.045920604,0.001335323,0.619777045,0.23565346,0.245575342,7,,,,
97,4007,2501,20,2,25012002,2002,7/16/2025,47,63.48978701,1309.078334,-782.0841314,11269613.64,0.331154265,0.052582371,0.146125851,0.021484339,-0.047872332,0.001020064,0.63293245,0.232328964,0.452855294,20,,,,
98,4008,2501,20,3,25012003,2003,7/16/2025,47,74.06502181,1281.166247,-2039.488964,8220727.175,0.447087359,0.041216492,0.234952492,0.017380778,-0.018349855,0.001112656,0.756761178,0.184073698,0.236867048,7,,,,
99,4009,2501,20,4,25012004,2004,7/16/2025,47,79.94228986,1756.291329,-2432.715606,12807243.16,0.422192217,0.049095804,0.199228326,0.019770635,-0.037462167,0.001353024,0.731222386,0.196536208,0.314947138,15,,,,
100,4010,2501,20,5,25012005,2005,7/16/2025,47,64.63408583,1008.663997,-1584.591968,7802745.811,0.418567546,0.040098956,0.217464707,0.017964947,-0.019377922,0.001184324,0.736899504,0.193878625,0.33174146,18,,,,
101,4011,2501,21,1,25012101,2101,7/16/2025,47,82.58180678,1630.898634,-2391.070015,12899332.53,0.406610202,0.047731274,0.181715806,0.019538958,-0.04665883,0.001210864,0.737378694,0.193651356,0.609992162,20,,,,
102,4012,2501,21,2,25012102,2102,7/16/2025,47,62.01720002,1679.483513,-500.5745626,14632991.66,0.303678956,0.067080452,0.125176764,0.027850712,-0.053113838,0.001184115,0.583601374,0.24301081,0.179090876,5,,,,
103,4013,2501,21,3,25012103,2103,7/16/2025,47,67.75867052,1407.800332,-1244.403304,11628730.81,0.373187724,0.057053301,0.178850629,0.02497253,-0.038131982,0.001560177,0.663512924,0.223263524,0.302524378,16,,,,
104,4014,2501,21,4,25012104,2104,7/16/2025,47,51.41313057,1339.861237,316.5683533,14160664.81,0.273933546,0.071233531,0.118190945,0.032650737,-0.048409085,0.001969554,0.531136729,0.249030504,0.555859354,28,,,,
105,4015,2501,21,5,25012105,2105,7/16/2025,47,59.12977349,1353.441305,-610.3846533,11386383.53,0.343754429,0.061330877,0.166768869,0.027903041,-0.035474516,0.001315274,0.623572383,0.234729866,0.349640026,15,,,,
106,4016,2501,22,1,25012201,2201,7/16/2025,47,69.0827652,1404.522547,-966.015113,12490402.48,0.371077272,0.054526282,0.185283851,0.022380585,-0.030607753,0.001152397,0.682056177,0.216855549,0.487550581,23,,,,
107,4017,2501,22,2,25012202,2202,7/16/2025,47,56.70624318,1170.758554,-113.3078195,11611998.41,0.333147541,0.060384531,0.171684826,0.026448765,-0.032987559,0.001290083,0.617502726,0.236193109,0.401071663,21,,,,
108,4018,2501,22,3,25012203,2203,7/16/2025,47,69.2276793,1266.954462,-1315.603931,10278389.71,0.398092607,0.048129748,0.206030924,0.019645661,-0.031895414,0.000983318,0.703845105,0.208447173,0.287109945,11,,,,
109,4019,2501,22,4,25012204,2204,7/16/2025,47,61.59601385,1240.175291,-698.1579196,12252570.42,0.340697102,0.054368018,0.161651624,0.02304739,-0.043003554,0.001264565,0.641900919,0.229864129,0.617360238,34,,,,
110,4020,2501,22,5,25012205,2205,7/16/2025,47,57.00798517,1311.911718,-267.4922075,12975874.77,0.312218905,0.060617621,0.141028129,0.025878901,-0.045738285,0.001204484,0.593410187,0.241274537,0.549779447,23,,,,
111,4021,2501,23,1,25012301,2301,7/16/2025,47,57.17120898,1440.391869,141.5746436,15162206.71,0.272375282,0.068657008,0.108709885,0.030131273,-0.050255768,0.001598457,0.530960427,0.249041452,0.669783465,31,,,,
112,4022,2501,23,2,25012302,2302,7/16/2025,47,64.87823764,1267.782546,-1014.130034,11166269.09,0.376232714,0.054010763,0.190005282,0.023781638,-0.026644506,0.001385352,0.673428213,0.219922655,0.219206795,8,,,,
113,4023,2501,23,3,25012303,2303,7/16/2025,47,72.39005642,1700.799147,-1294.511778,14181929.39,0.380114022,0.06267319,0.184396255,0.026130599,-0.040762294,0.001430649,0.665930711,0.222466999,0.294812438,9,,,,
114,4024,2501,23,4,25012304,2304,7/16/2025,47,65.35920159,1137.774309,-1132.255343,11026528.87,0.375518282,0.045593961,0.185416627,0.018785446,-0.03538771,0.001507893,0.699288305,0.210284172,0.50506689,23,,,,
115,4025,2501,23,5,25012305,2305,7/16/2025,47,68.11385572,1363.852733,-1349.886051,12442578.63,0.367186599,0.050721354,0.169256244,0.020742427,-0.040624745,0.001299918,0.679017395,0.217952772,0.430696318,16,,,,
116,4026,2501,24,1,25012401,2401,7/16/2025,47,63.5519084,1025.441144,-2073.868037,5848312.526,0.456637566,0.038251607,0.23967795,0.0199895,9.82E-05,0.001825605,0.749509269,0.187745125,0.230721563,9,,,,
117,4027,2501,24,2,25012402,2402,7/16/2025,47,63.39196555,1225.379776,-1822.592091,6002648.361,0.456854504,0.046847332,0.248220835,0.024842337,0.00555242,0.001542438,0.718521749,0.202248245,0.111718707,3,,,,
118,4028,2501,24,3,25012403,2403,7/16/2025,47,61.18540122,1342.995554,-1667.178516,6492676.606,0.436291504,0.047933192,0.232441149,0.025004109,-0.002860894,0.001425884,0.686137157,0.215352959,0.14143016,3,,,,
119,4029,2501,24,4,25012404,2404,7/16/2025,47,74.10094319,1416.026148,-2545.105407,6928264.278,0.495845133,0.038165257,0.269981628,0.018950954,0.003459236,0.001538248,0.775215353,0.17425651,0.161666606,6,,,,
