fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,6-12HA_mean,612PLTCOUNT
19,1019,2501,4,4,25010404,404,7/1/2025,32,18.07033189,610.8374271,42.93133708,590.133327,0.201784122,0.031088901,0.063234665,0.013015802,-0.041428906,0.000954214,0.234557801,0.179540439,0.609751208,28
20,1020,2501,4,5,25010405,405,7/1/2025,32,22.51349583,637.2620323,40.26683025,606.736202,0.247391522,0.035946717,0.090545127,0.014996928,-0.037286292,0.000983305,0.335514477,0.222944513,0.39970109,22
21,1021,2501,5,1,25010501,501,7/1/2025,32,36.99514722,1377.035036,40.1067939,1062.568369,0.300572804,0.043589031,0.119968188,0.019386572,-0.025387361,0.002631584,0.435577972,0.245849802,0.64393898,34
22,1022,2501,5,2,25010502,502,7/1/2025,32,30.94792661,969.8703492,38.84501759,905.2041046,0.277785299,0.041085759,0.107507199,0.017860229,-0.03064031,0.001939327,0.4018103,0.240358783,0.359180474,17
23,1023,2501,5,3,25010503,503,7/1/2025,32,24.54114761,726.0033021,39.61521603,716.0352627,0.236367701,0.037126516,0.078408288,0.016032579,-0.037729205,0.001398481,0.317732043,0.216778392,0.501758863,23
24,1024,2501,5,4,25010504,504,7/1/2025,32,23.02191333,825.2769251,38.030139,662.5095224,0.227476298,0.03635288,0.072909617,0.014874292,-0.037831297,0.001099963,0.291905151,0.206696534,0.448598301,24
25,1025,2501,5,5,25010505,505,7/1/2025,32,25.57392466,928.1797148,37.91070709,723.3142979,0.254306427,0.042833562,0.09410204,0.018011867,-0.037279437,0.001083845,0.365289211,0.231853003,0.280321534,8
26,1026,2501,6,1,25010601,601,7/1/2025,32,31.3635843,1070.762437,37.93978348,1094.508853,0.293660853,0.044127715,0.124978355,0.020372022,-0.019561673,0.001560392,0.42873115,0.244920751,0.516340108,25
27,1027,2501,6,2,25010602,602,7/1/2025,32,26.27166385,979.0522554,44.55461091,923.1766902,0.232283433,0.041394093,0.074950499,0.017611817,-0.033778049,0.001161639,0.325189508,0.219441292,0.335471877,11
28,1028,2501,6,3,25010603,603,7/1/2025,32,22.3418519,742.8352715,45.01429701,845.8257339,0.203322543,0.039689142,0.052174601,0.017570463,-0.035011872,0.001173967,0.280840038,0.201968911,0.470817688,18
29,1029,2501,6,4,25010604,604,7/1/2025,32,29.18097315,951.4685435,39.08936622,786.2057874,0.246854445,0.039148141,0.076166343,0.016193159,-0.028981022,0.001302533,0.355267821,0.229052596,0.606393643,28
30,1030,2501,6,5,25010605,605,7/1/2025,32,27.63377863,990.9577848,37.02751362,806.951984,0.259666886,0.04408284,0.094961021,0.019048791,-0.022679597,0.001049858,0.373582334,0.234018574,0.278256749,10
31,2001,2501,7,1,25010701,701,7/1/2025,32,25.59895336,1023.342173,45.63736814,966.5655966,0.236366452,0.041088391,0.080844744,0.019362083,-0.031837589,0.001960713,0.327673145,0.220303455,0.475029163,22
32,2002,2501,7,2,25010702,702,7/1/2025,32,34.57990021,1142.097803,37.60293371,878.3004277,0.2805003,0.041165431,0.103379502,0.017435356,-0.032761147,0.001582738,0.410229844,0.241941319,0.391812333,13
33,2003,2501,7,3,25010703,703,7/1/2025,32,24.5138923,823.6751921,39.7138323,768.1136737,0.234264029,0.03926344,0.075532008,0.017218103,-0.037657279,0.001175284,0.314982958,0.215768694,0.427256489,18
34,2004,2501,7,4,25010704,704,7/1/2025,32,22.17680417,707.9247642,39.11184056,690.6288168,0.232423931,0.037218842,0.075413052,0.016498664,-0.035885989,0.001215908,0.307532921,0.212956423,0.619593548,27
35,2005,2501,7,5,25010705,705,7/1/2025,32,25.65589727,875.5113168,36.02012105,719.1723415,0.263771704,0.041358031,0.099206545,0.018424187,-0.025053612,0.001291594,0.369785703,0.233044237,0.385138337,13
36,2006,2501,8,1,25010801,801,7/1/2025,32,26.90790371,1079.375035,45.41785218,1025.450391,0.249692761,0.042787797,0.08782604,0.019613018,-0.035608358,0.001785565,0.350745658,0.227723141,0.450787402,21
37,2007,2501,8,2,25010802,802,7/1/2025,32,29.38431127,836.8941033,37.20970116,900.0276173,0.290631032,0.04033479,0.12136011,0.018914415,-0.027820576,0.001737609,0.40835969,0.241602054,0.603729221,25
38,2008,2501,8,3,25010803,803,7/1/2025,32,24.28475648,749.339044,43.17684445,755.2677156,0.238381115,0.035360889,0.077906956,0.015505652,-0.039553311,0.00119193,0.310730152,0.214176925,0.54717944,18
39,2009,2501,8,4,25010804,804,7/1/2025,32,21.20037617,604.7489515,42.56419886,739.7047009,0.226784772,0.033413018,0.071749435,0.015655872,-0.035406879,0.00114633,0.280079594,0.201635015,0.778557498,42
40,2010,2501,8,5,25010805,805,7/1/2025,32,25.46441621,730.2903437,34.72242459,832.5875798,0.29132659,0.044827124,0.126768006,0.022087402,-0.02052132,0.001217214,0.402710367,0.240534727,0.226313295,8
41,2011,2501,9,1,25010901,901,7/1/2025,32,26.46517399,1025.888255,46.54931821,1067.559615,0.252363468,0.040388979,0.086354853,0.018702572,-0.030911723,0.001227493,0.339369477,0.224197835,0.417950167,18
42,2012,2501,9,2,25010902,902,7/1/2025,32,27.94075164,923.8243042,45.64412831,987.0757713,0.251488231,0.037742885,0.081920182,0.016208577,-0.035287649,0.001144143,0.34194533,0.225018721,0.337221807,9
43,2013,2501,9,3,25010903,903,7/1/2025,32,26.42302343,856.3405101,45.87451386,873.089733,0.241227813,0.035231836,0.07625417,0.015502323,-0.034790569,0.001238098,0.312651703,0.214900616,0.492007946,20
44,2014,2501,9,4,25010904,904,7/1/2025,32,27.53609597,872.0305946,40.14545801,932.567754,0.272003276,0.039714359,0.104425526,0.019186696,-0.023835682,0.001505027,0.367884406,0.23254547,0.411668216,15
45,2015,2501,9,5,25010905,905,7/1/2025,32,19.5136174,590.508368,43.97263977,696.069305,0.228680434,0.034433696,0.07497505,0.016481168,-0.028014149,0.001147311,0.283852676,0.203280334,0.454566997,17
46,2016,2501,10,1,25011001,1001,7/1/2025,32,23.07367015,830.5262956,54.14760204,1108.03463,0.226918169,0.037106232,0.06705115,0.017063689,-0.045593276,0.001341043,0.30106061,0.210423119,0.350156751,12
47,2017,2501,10,2,25011002,1002,7/1/2025,32,27.2619885,756.7823748,47.5027998,1004.695043,0.253154873,0.037001373,0.089340173,0.016863611,-0.043033285,0.001348855,0.341702789,0.224941993,0.449189771,19
48,2018,2501,10,3,25011003,1003,7/1/2025,32,22.28428513,522.878893,53.68584981,800.6149738,0.209240328,0.028806852,0.055304549,0.013294374,-0.050845931,0.001109608,0.233801281,0.179138242,0.517478312,24
49,2019,2501,10,4,25011004,1004,7/1/2025,32,34.16705292,1025.722209,40.35795731,1099.572165,0.29178329,0.041529489,0.107445562,0.018294062,-0.039396951,0.001402396,0.41036617,0.241965776,0.278048158,13
50,2020,2501,10,5,25011005,1005,7/1/2025,32,21.12099237,595.7479017,48.09267721,789.5160333,0.224028575,0.034367841,0.062100643,0.016209118,-0.043341207,0.001120257,0.277998909,0.200715516,0.364193143,13
51,2021,2501,11,1,25011101,1101,7/1/2025,32,20.44683461,735.4667601,58.21415017,1019.176264,0.205021857,0.032029121,0.051951546,0.014193046,-0.047234309,0.001901287,0.248186924,0.186590175,0.83997448,56
52,2022,2501,11,2,25011102,1102,7/1/2025,32,22.94773719,745.5365543,52.58592147,1085.784486,0.234250007,0.037596295,0.079407885,0.016810783,-0.045733919,0.001626465,0.307660851,0.213005652,0.357427962,14
53,2023,2501,11,3,25011103,1103,7/1/2025,32,20.24012979,654.2723355,54.53200458,857.8450277,0.219862693,0.029977957,0.06799397,0.01275604,-0.051853603,0.001410872,0.258234268,0.191549331,0.718293172,44
54,2024,2501,11,4,25011104,1104,7/1/2025,32,20.21962986,649.3864707,49.946409,984.9055646,0.245485148,0.034376049,0.090859668,0.015657156,-0.045266707,0.001650126,0.309357028,0.213655257,0.636247653,33
55,2025,2501,11,5,25011105,1105,7/1/2025,32,16.31187808,630.9395086,53.77980425,771.3143086,0.208474169,0.031530662,0.05962339,0.013250499,-0.049609087,0.001076743,0.235680598,0.180135254,0.688459155,30
56,2026,2501,12,1,25011201,1201,7/1/2025,32,30.46688651,1131.258987,46.50499837,1199.014606,0.281382674,0.039847706,0.109427908,0.018140288,-0.023132704,0.002080625,0.387877466,0.237428537,0.598009733,31
57,2027,2501,12,2,25011202,1202,7/1/2025,32,25.44480794,722.8100792,47.58905156,910.8134856,0.254690044,0.033914729,0.09124626,0.015000652,-0.032808286,0.001432688,0.338240506,0.223833866,0.658780643,34
58,2028,2501,12,3,25011203,1203,7/1/2025,32,27.41428182,921.6038952,42.67979285,899.770522,0.256254,0.038703423,0.08932918,0.015682956,-0.043628659,0.001190634,0.354183701,0.228737607,0.231768887,8
59,2029,2501,12,4,25011204,1204,7/1/2025,32,20.57483577,675.5478041,43.91691878,827.9664279,0.225080559,0.036321569,0.074655931,0.015915071,-0.046237851,0.001190473,0.289666639,0.205759877,0.378048336,15
60,2030,2501,12,5,25011205,1205,7/1/2025,32,13.31282205,452.3152398,50.29176913,614.6332468,0.173942566,0.029210878,0.041197453,0.012869033,-0.050599364,0.000828187,0.190763107,0.154372544,0.605059784,23
61,3001,2501,13,1,25011301,1301,7/1/2025,32,34.67714753,1303.697375,42.48082355,1269.775435,0.288491947,0.046400351,0.115884194,0.020696976,-0.022450819,0.003703036,0.425034088,0.244380112,0.584030474,27
62,3002,2501,13,2,25011302,1302,7/1/2025,32,25.4926659,850.9720139,47.03351872,1052.309181,0.247595348,0.042081315,0.090760327,0.019263714,-0.030439216,0.002271387,0.347510769,0.226747035,0.408351104,15
63,3003,2501,13,3,25011303,1303,7/1/2025,32,24.48347333,798.6785476,42.76742118,913.3967796,0.254721535,0.04076113,0.09202064,0.018585838,-0.032791634,0.001537758,0.343051162,0.225367062,0.375077461,12
64,3004,2501,13,4,25011304,1304,7/1/2025,32,19.91347019,656.8267865,44.83809601,752.5275035,0.228331785,0.033745194,0.067793574,0.014751211,-0.03830973,0.001445747,0.28535209,0.203926275,0.633083036,31
65,3005,2501,13,5,25011305,1305,7/1/2025,32,21.10332134,679.3093236,41.15248145,615.8674657,0.239931032,0.032852129,0.075512662,0.013160147,-0.035978652,0.000986763,0.309664049,0.213772226,0.510771698,23
66,3006,2501,14,1,25011401,1401,7/1/2025,32,37.45003408,1419.982964,40.76187048,1064.5188,0.289943288,0.046145324,0.117574928,0.019606687,-0.02986548,0.003236264,0.429911384,0.245087586,0.466463748,17
67,3007,2501,14,2,25011402,1402,7/1/2025,32,31.45542261,878.6107919,39.844482,981.4801159,0.277677146,0.043986076,0.113976766,0.020410267,-0.031933141,0.002630823,0.415819455,0.242913636,0.406875433,19
68,3008,2501,14,3,25011403,1403,7/1/2025,32,29.10691018,914.9184871,40.9883658,906.8179288,0.260131586,0.041258763,0.102880979,0.018569911,-0.035253245,0.001604356,0.366525828,0.232184645,0.490749348,19
69,3009,2501,14,4,25011404,1404,7/1/2025,32,30.09701777,1019.392316,39.82892814,963.1224757,0.2674385,0.043459347,0.105301212,0.019364831,-0.035030765,0.00154629,0.3835187,0.236432107,0.46703487,16
70,3010,2501,14,5,25011405,1405,7/1/2025,32,25.52034028,711.5409485,37.59890936,710.8843891,0.271291045,0.038554683,0.113202546,0.01686233,-0.02812071,0.001271591,0.381284764,0.235906693,0.649271823,25
71,3011,2501,15,1,25011501,1501,7/1/2025,32,27.88321745,1117.346498,43.14043899,974.7890858,0.2481676,0.045951453,0.088684841,0.020282466,-0.032970111,0.001672354,0.361063395,0.23069662,0.514882526,20
72,3012,2501,15,2,25011502,1502,7/1/2025,32,24.5237381,779.9872675,43.95643424,884.9132647,0.227513182,0.041907729,0.079438207,0.018857955,-0.037350201,0.001492674,0.314199231,0.215478074,0.405428066,16
73,3013,2501,15,3,25011503,1503,7/1/2025,32,29.37439686,922.1956774,37.81021181,860.9087536,0.264058234,0.044279115,0.106993589,0.019997639,-0.038478904,0.001444431,0.375241938,0.234435426,0.284995626,9
74,3014,2501,15,4,25011504,1504,7/1/2025,32,23.44935398,727.2791637,40.7259772,782.1470383,0.240036065,0.03989652,0.09271024,0.018705404,-0.040026092,0.001418986,0.318023224,0.216884453,0.672614925,29
75,3015,2501,15,5,25011505,1505,7/1/2025,32,29.6977974,898.8705098,35.11899465,674.8655933,0.281501048,0.041327934,0.112961895,0.016950967,-0.036993009,0.001211243,0.415712572,0.24289563,0.413264562,15
76,3016,2501,16,1,25011601,1601,7/1/2025,32,30.2843744,1190.08632,41.20100335,966.9786739,0.259689117,0.048040778,0.098846117,0.021531782,-0.037077751,0.001814403,0.384055403,0.23655685,0.503873426,22
77,3017,2501,16,2,25011602,1602,7/1/2025,32,34.05128135,1053.846307,36.51868593,1016.450499,0.288296774,0.052087533,0.122251944,0.023523476,-0.032651992,0.001518879,0.439203926,0.246303837,0.338315168,8
78,3018,2501,16,3,25011603,1603,7/1/2025,32,26.33344239,816.7501499,40.07923005,813.7541322,0.248136806,0.042084467,0.100536168,0.01915239,-0.027210472,0.001993367,0.335269099,0.22286373,0.628652146,28
79,3019,2501,16,4,25011604,1604,7/1/2025,32,28.68984978,1004.3825,37.90341067,934.3586063,0.265801053,0.047569159,0.110117748,0.021800489,-0.023006701,0.002477451,0.368712342,0.232763551,0.619281105,18
80,3020,2501,16,5,25011605,1605,7/1/2025,32,25.76398396,838.030532,38.86855755,685.7677848,0.253012147,0.042222107,0.099407308,0.017790392,-0.026043219,0.00158391,0.35276952,0.228323186,0.466196387,21
81,3021,2501,17,1,25011701,1701,7/1/2025,32,31.99002317,1243.870692,39.7119204,1027.480794,0.272513857,0.048690808,0.108021835,0.020705797,-0.033688685,0.001474128,0.410658307,0.242018062,0.41222682,14
82,3022,2501,17,2,25011702,1702,7/1/2025,32,32.7478396,1266.231538,40.93797671,959.2288677,0.257717458,0.045670055,0.094550544,0.018124976,-0.039503204,0.001406115,0.372761225,0.233810294,0.52082384,19
83,3023,2501,17,3,25011703,1703,7/1/2025,32,33.04737115,1114.881999,39.55370273,889.9234078,0.274755779,0.043797731,0.109455954,0.019313965,-0.033140528,0.00150074,0.388154488,0.237490581,0.404659047,15
84,3024,2501,17,4,25011704,1704,7/1/2025,32,23.64309471,815.8744724,44.48771059,828.7561441,0.23135346,0.036963642,0.077930825,0.017302083,-0.034684414,0.001510589,0.297966305,0.209182386,0.74780358,41
85,3025,2501,17,5,25011705,1705,7/1/2025,32,25.5670519,826.8791172,40.77895224,677.2131162,0.250732189,0.039376259,0.085920585,0.01740913,-0.034880052,0.001189251,0.348179241,0.226950457,0.612128835,27
86,3026,2501,18,1,25011801,1801,7/1/2025,32,24.2196133,1074.141931,40.2209332,891.5272779,0.242737685,0.045113351,0.097409834,0.020267447,-0.032849668,0.001793837,0.344132646,0.225705368,0.34887536,13
87,3027,2501,18,2,25011802,1802,7/1/2025,32,30.41857232,1134.074054,38.82789938,878.9899429,0.272025614,0.045066874,0.114506773,0.01845719,-0.037065997,0.00165269,0.386219303,0.237053953,0.317748492,12
88,3028,2501,18,3,25011803,1803,7/1/2025,32,33.01540433,1189.077112,39.76895141,870.2035941,0.284205009,0.042109404,0.114537449,0.017126779,-0.036915397,0.001402571,0.398004253,0.239596868,0.348831699,14
89,3029,2501,18,4,25011804,1804,7/1/2025,32,29.66495857,963.5147097,37.84344744,1035.493188,0.304571945,0.047375729,0.135907858,0.023182265,-0.026425595,0.001492932,0.423762538,0.244187849,0.383837279,12
90,3030,2501,18,5,25011805,1805,7/1/2025,32,25.55937841,848.2581972,38.90961286,711.5561559,0.274555621,0.040431978,0.105581589,0.017620172,-0.028434608,0.001086117,0.367611778,0.232473359,0.399934383,13
91,4001,2501,19,1,25011901,1901,7/1/2025,32,27.89042777,1141.434789,41.59866952,963.0621871,0.260506008,0.045483039,0.107576159,0.018936725,-0.034690381,0.00127806,0.372283868,0.23368859,0.432737347,19
92,4002,2501,19,2,25011902,1902,7/1/2025,32,29.93826016,1012.577481,41.45842923,921.6968301,0.274050227,0.044137004,0.118814852,0.018593856,-0.038982591,0.001350228,0.389446414,0.237777905,0.471712901,22
93,4003,2501,19,3,25011903,1903,7/1/2025,32,22.27875913,758.1022628,49.58360049,848.1918457,0.217951864,0.037847621,0.076701368,0.016722088,-0.049905974,0.001341523,0.278241195,0.200823032,0.545958261,22
94,4004,2501,19,4,25011904,1904,7/1/2025,32,24.97099316,936.1806695,46.19501105,886.7848685,0.234906218,0.040563916,0.082658378,0.017021092,-0.048686469,0.001214053,0.310296884,0.214012728,0.401086283,19
95,4005,2501,19,5,25011905,1905,7/1/2025,32,16.22792815,527.1259592,47.37660205,565.2361121,0.201798397,0.032547271,0.060824081,0.014111741,-0.045738369,0.000816382,0.239485376,0.182132131,0.582393147,28
96,4006,2501,20,1,25012001,2001,7/1/2025,32,23.51530682,932.1933908,47.25024671,899.0787847,0.235586238,0.039672637,0.087416913,0.017286805,-0.030410928,0.001242582,0.310552572,0.214109672,0.646866912,29
97,4007,2501,20,2,25012002,2002,7/1/2025,32,26.35143683,857.4086368,43.30626533,922.1838127,0.266297091,0.041111339,0.115120086,0.01858623,-0.029789461,0.001308983,0.360079612,0.230422285,0.55473335,28
98,4008,2501,20,3,25012003,2003,7/1/2025,32,31.95852874,1088.574433,39.96339841,897.3128802,0.2920282,0.042051089,0.134996156,0.01811775,-0.032997577,0.001313259,0.40402443,0.24078869,0.296553484,9
99,4009,2501,20,4,25012004,2004,7/1/2025,32,33.1370849,1211.404677,40.35830742,920.695828,0.294753366,0.044202032,0.134586764,0.018318323,-0.038200935,0.001199297,0.410491303,0.241988193,0.43165166,19
100,4010,2501,20,5,25012005,2005,7/1/2025,32,24.62092751,804.1855388,40.17030453,700.6000502,0.271293167,0.040650863,0.122258503,0.017123629,-0.034078942,0.000931562,0.365767878,0.231981737,0.365654504,14
101,4011,2501,21,1,25012101,2101,7/1/2025,32,24.74629837,902.8596941,45.77522974,845.4741001,0.236636644,0.035975907,0.080946983,0.015382453,-0.037613241,0.001476199,0.306928803,0.212723513,0.722688003,34
102,4012,2501,21,2,25012102,2102,7/1/2025,32,16.0984326,545.6467101,51.46079322,634.9409436,0.18166123,0.029550516,0.044192874,0.013003561,-0.048335103,0.000970305,0.205315524,0.16316106,0.522793139,23
103,4013,2501,21,3,25012103,2103,7/1/2025,32,24.77868048,931.6312794,39.98588331,744.279448,0.245451007,0.037514899,0.088423793,0.01508979,-0.040321752,0.000991417,0.319847328,0.217545015,0.26776275,11
104,4014,2501,21,4,25012104,2104,7/1/2025,32,17.64934711,712.2644427,42.53081262,622.7625262,0.22137342,0.03514366,0.082841668,0.015111774,-0.038261679,0.001083783,0.266881117,0.195655586,0.567647863,24
105,4015,2501,21,5,25012105,2105,7/1/2025,32,18.3136464,669.5739707,40.21729578,589.8727052,0.234252929,0.038414951,0.090714068,0.016763551,-0.037007366,0.001046243,0.298002235,0.209196903,0.344883526,14
106,4016,2501,22,1,25012201,2201,7/1/2025,32,22.53553611,755.2835508,48.72464766,862.1363713,0.224438813,0.033052294,0.079712361,0.014729046,-0.031508157,0.001406817,0.273547613,0.198719317,0.87870448,61
107,4017,2501,22,2,25012202,2202,7/1/2025,32,28.55473736,811.1559658,38.26363934,1011.148554,0.289811536,0.044099953,0.133256234,0.021705243,-0.021943454,0.001406125,0.403616429,0.240710207,0.447158325,15
108,4018,2501,22,3,25012203,2203,7/1/2025,32,28.45921483,782.3642581,36.41557797,800.2405542,0.281556526,0.036208045,0.117977274,0.016719289,-0.026043722,0.001180206,0.378516903,0.235241857,0.526466407,23
109,4019,2501,22,4,25012204,2204,7/1/2025,32,23.14582084,678.3518621,42.62922412,703.4872537,0.24235169,0.030903282,0.082678572,0.014211471,-0.033530723,0.001366316,0.296139796,0.208441017,0.742427004,42
110,4020,2501,22,5,25012205,2205,7/1/2025,32,21.56149674,676.1229249,40.9837353,693.4820643,0.249203761,0.037749166,0.094465862,0.0172708,-0.031570404,0.001094822,0.319543237,0.217435357,0.342835271,11
111,4021,2501,23,1,25012301,2301,7/1/2025,32,23.17047375,778.06329,55.67381017,965.0743,0.213770087,0.032565115,0.067732028,0.014090252,-0.036362255,0.001118966,0.254102382,0.189534362,0.670627905,29
112,4022,2501,23,2,25012302,2302,7/1/2025,32,26.83275185,740.1439099,50.7183166,971.7825446,0.246561694,0.035606142,0.095390088,0.015431722,-0.031266028,0.001248349,0.31928696,0.217342797,0.41985345,14
113,4023,2501,23,3,25012303,2303,7/1/2025,32,30.38897522,893.5362204,47.99499468,1064.671378,0.267956376,0.040211813,0.110937592,0.018126244,-0.028683985,0.00143026,0.352171424,0.228146712,0.381201473,16
114,4024,2501,23,4,25012304,2304,7/1/2025,32,27.72281142,804.7445902,49.29694374,859.6633803,0.256801887,0.032762734,0.100174035,0.013932673,-0.027869728,0.001450334,0.334442051,0.222590566,0.649714734,37
115,4025,2501,23,5,25012305,2305,7/1/2025,32,26.08945861,734.5051841,45.5870776,711.6965585,0.258719905,0.033428942,0.098444862,0.01390533,-0.026903232,0.001290735,0.336315287,0.223207315,0.567536042,26
116,4026,2501,24,1,25012401,2401,7/1/2025,32,24.19638623,583.0139493,51.8370425,860.4223539,0.263624233,0.029878275,0.10188426,0.015450899,-0.022582882,0.001776122,0.321069414,0.217983845,0.732250597,42
117,4027,2501,24,2,25012402,2402,7/1/2025,32,23.51511599,467.2094531,53.69197719,861.2047766,0.254739076,0.030700983,0.097939313,0.015330519,-0.026919518,0.001617947,0.300466156,0.210186245,0.454260457,18
118,4028,2501,24,3,25012403,2403,7/1/2025,32,28.10026436,569.9687714,48.30138175,905.7639945,0.294485017,0.035192623,0.129306973,0.017208382,-0.020042657,0.001813889,0.365137765,0.231812177,0.305244163,10
119,4029,2501,24,4,25012404,2404,7/1/2025,32,34.02516632,752.4460075,42.16880794,898.5329087,0.332628427,0.03658004,0.154675118,0.017161105,-0.012012197,0.001881032,0.42880903,0.244931846,0.467892751,19
120,4030,2501,24,5,25012405,2405,7/1/2025,32,28.60861862,630.7250097,46.178865,736.5258924,0.297815621,0.034276716,0.123404389,0.015613184,-0.016551555,0.001491261,0.376199302,0.234673387,0.349020323,12
121,1001,2502,1,1,25020101,101,7/1/2025,32,33.90422166,846.8729581,27.71697938,682.7540315,0.330603527,0.040544936,0.149859919,0.018355667,-0.023246022,0.001099213,0.45238355,0.247732674,0.12196989,4
122,1002,2502,1,2,25020102,102,7/1/2025,32,32.59829316,797.9454317,28.63918639,736.9568919,0.318358044,0.041392301,0.144139299,0.019729937,-0.025272519,0.001341226,0.428754499,0.244924079,0.095200773,2
123,1003,2502,1,3,25020103,103,7/1/2025,32,26.54529346,569.3942015,33.61925142,635.9580019,0.278171543,0.038347394,0.115046925,0.018364881,-0.030558755,0.001114893,0.362538506,0.231104338,0.085645026,2
124,1004,2502,1,4,25020104,104,7/1/2025,32,27.25146566,636.8969265,29.96849998,649.3591731,0.304665509,0.040835654,0.141459532,0.019373795,-0.021047066,0.001040066,0.415946337,0.242934982,0.106220497,4
125,1005,2502,1,5,25020105,105,7/1/2025,32,27.273669,764.2757582,32.92069896,614.3708087,0.283120302,0.03825959,0.120337417,0.016274289,-0.027427589,0.000898375,0.381321048,0.235915306,0.236502497,6
