fid,id,Trial,Row,Column,,MasonPlot#,,,709ExG_mean,709ExG_variance,709ExR_mean,709ExR_variance,709gNDVI_mean,709gNDVI_variance,709gNDRE_mean,709gNDRE_variance,709NDVI_mean,709NDVI_variance,709THRESH_mean,709THRESH_variance,709PltCounts_,709HA_mean
25,1025,2501,5,5,25010505,505,7/09/2025,40,27.88440527,737.5192184,37.34182811,585.0947943,0.209291215,0.04993063,0.053234585,0.023427392,-0.061156863,0.001263878,0.403779004,0.24074152,0.964167244,318
26,1026,2501,6,1,25010601,601,7/09/2025,40,25.74208896,561.5756835,45.90818131,780.3015432,0.227051592,0.04710442,0.079757751,0.025488589,-0.054216056,0.001849698,0.436317568,0.245944548,0.987186264,526
27,1027,2501,6,2,25010602,602,7/09/2025,40,29.29116455,773.0873428,39.24349026,1033.756069,0.255576453,0.064254745,0.101904208,0.034865628,-0.050913703,0.002559167,0.484823741,0.249769681,0.940431272,247
28,1028,2501,6,3,25010603,603,7/09/2025,40,26.83542201,633.2002649,40.75381453,725.1197192,0.214833966,0.052520326,0.067185829,0.026356771,-0.061498944,0.001729875,0.421301642,0.243806568,0.983267107,338
29,1029,2501,6,4,25010604,604,7/09/2025,40,30.94043764,844.053987,39.37762258,841.0063843,0.206648945,0.062695726,0.049006656,0.030530821,-0.070520938,0.002142488,0.459460982,0.248356588,0.945157292,496
30,1030,2501,6,5,25010605,605,7/09/2025,40,31.79002196,731.025564,34.95471591,510.9759182,0.23456197,0.045480029,0.070462963,0.020278046,-0.05754154,0.00118612,0.460358128,0.248428522,0.971002606,475
31,2001,2501,7,1,25010701,701,7/09/2025,40,25.03007858,562.2167988,43.5979497,679.9844673,0.212314889,0.044547001,0.05768088,0.023806503,-0.05759768,0.00176369,0.402540344,0.240501615,0.973460199,428
32,2002,2501,7,2,25010702,702,7/09/2025,40,29.98631487,858.1511939,43.21866358,1076.840022,0.21765215,0.061589462,0.053093476,0.033032027,-0.070419386,0.002257403,0.450342128,0.247534096,0.881832929,295
33,2003,2501,7,3,25010703,703,7/09/2025,40,33.44662518,756.3660935,36.16859741,673.5421078,0.245435817,0.048115225,0.073376182,0.022980727,-0.064480029,0.00119762,0.472784614,0.249259323,0.995880798,451
34,2004,2501,7,4,25010704,704,7/09/2025,40,24.16538028,781.5124522,49.45651831,757.1540247,0.127193571,0.052793039,-0.020098205,0.025572569,-0.08985329,0.001495722,0.317549296,0.216711741,0.919104646,505
35,2005,2501,7,5,25010705,705,7/09/2025,40,28.15274806,772.6563898,42.94644666,685.9156266,0.178898884,0.050809902,0.022331945,0.024906333,-0.070608974,0.001507087,0.344351841,0.225773651,0.972223741,352
36,2006,2501,8,1,25010801,801,7/09/2025,40,24.92424712,586.4255374,42.85030848,692.0057778,0.23451454,0.046114215,0.078583383,0.024767551,-0.048906731,0.001885725,0.434994507,0.245774286,0.963675136,484
37,2007,2501,8,2,25010802,802,7/09/2025,40,27.36525681,756.345665,42.93017571,944.2781968,0.224794502,0.056956821,0.064733406,0.030217217,-0.058869071,0.002175245,0.443568371,0.246815471,0.91278275,289
38,2008,2501,8,3,25010803,803,7/09/2025,40,31.25820446,646.1474773,34.13171639,529.8649626,0.261568747,0.042908853,0.089715059,0.020091209,-0.047580771,0.001259221,0.494013916,0.249964167,0.967920092,406
39,2009,2501,8,4,25010804,804,7/09/2025,40,27.51340618,732.4667414,39.41933194,797.5666645,0.203434521,0.060601772,0.043949345,0.030928102,-0.060047828,0.002181178,0.431701684,0.24533534,0.922354871,442
40,2010,2501,8,5,25010805,805,7/09/2025,40,25.13255421,540.6315141,40.0590932,576.0201265,0.197882525,0.04598436,0.043475086,0.024004746,-0.057214445,0.001509817,0.38177978,0.23602398,0.958770779,340
41,2011,2501,9,1,25010901,901,7/09/2025,40,21.59819794,457.842835,49.9041757,832.3171199,0.214595194,0.044633987,0.065697168,0.025209824,-0.054553299,0.002160097,0.398648458,0.239727865,0.96699291,402
42,2012,2501,9,2,25010902,902,7/09/2025,40,23.71428974,629.0893397,48.56632409,947.7890953,0.205473383,0.053082521,0.051961262,0.028376663,-0.061748612,0.002269159,0.409291849,0.241772031,0.902736006,408
43,2013,2501,9,3,25010903,903,7/09/2025,40,25.75178124,637.6152581,43.4930243,688.0358035,0.217420454,0.046247958,0.057188631,0.022234597,-0.057871262,0.001495596,0.407924751,0.241522149,0.981044727,359
44,2014,2501,9,4,25010904,904,7/09/2025,40,22.60661599,665.7637456,44.67122747,777.8997301,0.185233989,0.054510432,0.035540262,0.028004308,-0.063264122,0.001916859,0.36410473,0.231532476,0.912395188,307
45,2015,2501,9,5,25010905,905,7/09/2025,40,23.92576739,569.3871113,40.13639537,531.1074774,0.206011145,0.044619396,0.051178487,0.021974282,-0.05178683,0.001333161,0.383441284,0.236414066,0.968433331,344
46,2016,2501,10,1,25011001,1001,7/09/2025,40,21.33953816,380.9855587,51.10731626,845.7848005,0.214708839,0.040785851,0.064210325,0.022752996,-0.051922029,0.001902553,0.395663193,0.239113831,0.980771334,520
47,2017,2501,10,2,25011002,1002,7/09/2025,40,18.82537091,460.2113616,54.63797754,902.5764068,0.178015778,0.046837717,0.033365588,0.025295311,-0.065629372,0.001929025,0.348469919,0.227038635,0.90506133,369
48,2018,2501,10,3,25011003,1003,7/09/2025,40,19.82463748,423.8336433,48.88313107,652.2921336,0.193988886,0.041225049,0.043690191,0.02114725,-0.061819534,0.001582898,0.36035478,0.230499212,0.954344973,397
49,2019,2501,10,4,25011004,1004,7/09/2025,40,22.64686998,638.0462885,44.17621018,813.2333498,0.212617048,0.055183175,0.057852713,0.02864215,-0.059765502,0.002090494,0.406719045,0.241298663,0.920982118,371
50,2020,2501,10,5,25011005,1005,7/09/2025,40,21.49450859,579.6148811,42.93520697,553.045757,0.20814649,0.044816357,0.055426925,0.021932369,-0.053544573,0.001450209,0.376175725,0.234667549,0.971018719,338
51,2021,2501,11,1,25011101,1101,7/09/2025,40,23.1796699,460.0415414,55.67221721,940.4811726,0.222751982,0.037855757,0.073791661,0.020523517,-0.048608087,0.001918485,0.40364466,0.240715648,0.978127335,528
52,2022,2501,11,2,25011102,1102,7/09/2025,40,22.79597871,596.4171909,55.82861086,1075.131995,0.213372092,0.046762442,0.062760889,0.024592553,-0.061365511,0.001847532,0.398552561,0.239708417,0.859366456,336
53,2023,2501,11,3,25011103,1103,7/09/2025,40,20.14323122,529.1660768,52.11208472,805.8399884,0.211530239,0.042577467,0.055923908,0.021037343,-0.061270222,0.001562262,0.379772497,0.235545347,0.979201604,364
54,2024,2501,11,4,25011104,1104,7/09/2025,40,23.23815022,633.3561326,47.58349621,858.5808478,0.234623593,0.049163526,0.056728957,0.025114808,-0.061766569,0.00209581,0.453713352,0.247857546,0.941197915,455
55,2025,2501,11,5,25011105,1105,7/09/2025,40,15.28565393,437.2084218,52.47282612,546.6213684,0.174356365,0.036000756,0.019142428,0.017546456,-0.064539204,0.00125111,0.311117997,0.214323589,0.973897669,292
56,2026,2501,12,1,25011201,1201,7/09/2025,40,23.27508728,458.750152,53.65474153,965.9404983,0.228964948,0.041763719,0.084026639,0.023756557,-0.044898756,0.002385861,0.410913391,0.242063576,0.944861653,512
57,2027,2501,12,2,25011202,1202,7/09/2025,40,21.10540396,566.7245212,53.88571992,1078.339857,0.210569375,0.050838089,0.067357148,0.027359661,-0.053526508,0.002479803,0.384979302,0.236770239,0.864967828,310
58,2028,2501,12,3,25011203,1203,7/09/2025,40,23.09942278,606.3381652,47.84845275,790.8073579,0.227882419,0.046815269,0.07629237,0.023574645,-0.053710324,0.001635217,0.405603266,0.241089257,0.946306523,345
59,2029,2501,12,4,25011204,1204,7/09/2025,40,21.71140203,688.8210186,45.3237331,943.6561954,0.220030561,0.059063737,0.072288982,0.031128684,-0.054152858,0.002030334,0.396931306,0.239376844,0.87675652,234
60,2030,2501,12,5,25011205,1205,7/09/2025,40,17.97366197,492.9973626,49.08269857,652.5951688,0.18941864,0.043823433,0.046132687,0.022272283,-0.055558002,0.00147557,0.347661972,0.226793125,0.918978528,247
61,3001,2501,13,1,25011301,1301,7/09/2025,40,30.2175982,644.1036858,43.4611291,812.8785099,0.262474387,0.044849674,0.099317278,0.023903885,-0.037478908,0.001930011,0.479853583,0.249594122,0.970471365,522
62,3002,2501,13,2,25011302,1302,7/09/2025,40,22.97434453,668.8454653,50.43577683,1040.7359,0.20049347,0.055723749,0.052239996,0.030314555,-0.05750239,0.002330111,0.380438762,0.23570511,0.88166457,214
63,3003,2501,13,3,25011303,1303,7/09/2025,40,20.76513658,501.392544,47.5544748,636.9294566,0.191387351,0.04397239,0.045766911,0.022529001,-0.059660892,0.001544658,0.358912982,0.230094453,0.943348766,338
64,3004,2501,13,4,25011304,1304,7/09/2025,40,15.26419134,478.5756096,54.90052681,613.2561963,0.132716246,0.042603587,-0.001800863,0.021097303,-0.07169858,0.001698514,0.281713948,0.202351199,0.88980425,377
65,3005,2501,13,5,25011305,1305,7/09/2025,40,18.95190223,459.4298625,48.22830671,460.5918843,0.176255997,0.037291415,0.03170496,0.017070152,-0.058374267,0.001251389,0.340936611,0.224698838,0.972496127,504
66,3006,2501,14,1,25011401,1401,7/09/2025,40,33.6268766,687.6394174,33.02449371,670.5916991,0.283679931,0.049834279,0.114950696,0.025799236,-0.040670725,0.00193271,0.519195561,0.24963153,0.979422218,380
67,3007,2501,14,2,25011402,1402,7/09/2025,40,29.43492099,772.4519445,36.94169506,933.0126945,0.246043708,0.064251782,0.086287848,0.034093346,-0.049938514,0.002519546,0.478832775,0.249551949,0.916993238,289
68,3008,2501,14,3,25011403,1403,7/09/2025,40,25.83142777,605.162065,41.29946494,593.3672285,0.211824221,0.048385773,0.063142472,0.024470231,-0.054429424,0.001604068,0.405181639,0.241009478,0.961302905,403
69,3009,2501,14,4,25011404,1404,7/09/2025,40,27.07990765,750.8562682,40.0612231,871.281948,0.222103932,0.064515345,0.073994161,0.033766722,-0.053154889,0.002337605,0.439998874,0.246399865,0.910559029,316
70,3010,2501,14,5,25011405,1405,7/09/2025,40,28.03035936,620.6552685,37.53632983,557.2089249,0.240791801,0.047597413,0.087384215,0.023411309,-0.043240962,0.001524679,0.453390785,0.247827581,0.961339361,346
71,3011,2501,15,1,25011501,1501,7/09/2025,40,26.45156202,614.5976355,41.69023916,585.7491013,0.195410276,0.047050708,0.037426286,0.023580752,-0.070348555,0.001929186,0.390996929,0.238118331,0.952426954,517
72,3012,2501,15,2,25011502,1502,7/09/2025,40,28.75657098,840.8518897,40.70848804,819.3989484,0.19629302,0.05926437,0.036765911,0.02936828,-0.074160656,0.002103913,0.416204186,0.242978262,0.89119341,364
73,3013,2501,15,3,25011503,1503,7/09/2025,40,27.75404248,790.2162811,40.63076231,588.0326402,0.185550385,0.047788113,0.031211488,0.022022309,-0.071697104,0.001201816,0.365457209,0.231898237,0.948748793,374
74,3014,2501,15,4,25011504,1504,7/09/2025,40,27.74957761,829.5587405,43.04555643,729.8518856,0.176685641,0.056026739,0.024593925,0.027167093,-0.07344106,0.001649183,0.384658707,0.236696386,0.901392534,420
75,3015,2501,15,5,25011505,1505,7/09/2025,40,32.76030638,731.4018283,33.11193398,473.0043737,0.248045788,0.046183042,0.083750587,0.021625648,-0.048369678,0.001176928,0.463026583,0.248632966,0.943571611,415
76,3016,2501,16,1,25011601,1601,7/09/2025,40,30.4031704,674.9806848,34.52207455,662.7998239,0.262141606,0.054741839,0.106815929,0.028415141,-0.044598088,0.001686421,0.486963622,0.249830053,0.964749841,336
77,3017,2501,16,2,25011602,1602,7/09/2025,40,30.04551087,866.836951,38.82019826,841.7190933,0.215545291,0.062860491,0.062649923,0.031903376,-0.058780476,0.002032166,0.444097105,0.246874866,0.889239237,292
78,3018,2501,16,3,25011603,1603,7/09/2025,40,30.2079813,778.592685,37.07829784,580.610076,0.220906639,0.04887491,0.065232577,0.02281994,-0.05386708,0.001668847,0.42387631,0.244205184,0.958442695,366
79,3019,2501,16,4,25011604,1604,7/09/2025,40,28.06754892,931.8083331,41.21235533,877.7967054,0.19014611,0.064654273,0.043072028,0.033168484,-0.062121796,0.002310431,0.379811347,0.235554688,0.87748109,261
80,3020,2501,16,5,25011605,1605,7/09/2025,40,35.01477999,842.3715898,31.20253371,560.4988308,0.263429652,0.050793993,0.098397852,0.024403361,-0.040005275,0.001459761,0.479744377,0.24958971,0.960230379,272
81,3021,2501,17,1,25011701,1701,7/09/2025,40,31.48669726,788.463061,35.57056786,629.5811362,0.247568522,0.052304241,0.086328194,0.025393727,-0.050490869,0.001556551,0.471240744,0.249172905,0.956710351,404
82,3022,2501,17,2,25011702,1702,7/09/2025,40,26.62360262,914.3081603,42.09225916,811.6420428,0.183977295,0.060948687,0.039275236,0.02921581,-0.063529547,0.001880721,0.377748993,0.235054691,0.862881619,209
83,3023,2501,17,3,25011703,1703,7/09/2025,40,29.25965979,747.6519076,35.22318914,539.1999071,0.227063453,0.048725665,0.074557119,0.022522339,-0.049847183,0.001571584,0.422383688,0.243975708,0.944701637,321
84,3024,2501,17,4,25011704,1704,7/09/2025,40,19.58180794,653.356515,45.34731624,549.6537512,0.131516174,0.046649413,0.008461998,0.022088744,-0.067430295,0.001710044,0.276936074,0.200242485,0.884621694,313
85,3025,2501,17,5,25011705,1705,7/09/2025,40,28.26884747,621.9692727,34.7041777,435.1815566,0.232817988,0.044293152,0.079604773,0.020717667,-0.043071038,0.001341223,0.442993075,0.24675021,0.969979221,408
86,3026,2501,18,1,25011801,1801,7/09/2025,40,27.1054188,755.8969869,38.67643778,640.1995122,0.229100984,0.050985789,0.078304452,0.02464534,-0.048564186,0.001502596,0.420773954,0.243723234,0.974681929,369
87,3027,2501,18,2,25011802,1802,7/09/2025,40,21.77716779,749.6499798,43.06261261,713.2795189,0.184288568,0.054403118,0.04628132,0.027014067,-0.056044992,0.001845968,0.343496622,0.225506693,0.898197262,182
88,3028,2501,18,3,25011803,1803,7/09/2025,40,30.35770206,768.518853,34.44366657,574.5253372,0.260925914,0.04918585,0.097082395,0.023832036,-0.042476837,0.001436773,0.466995213,0.248910684,0.979840327,342
89,3029,2501,18,4,25011804,1804,7/09/2025,40,19.96510744,593.2457058,41.08126953,629.3546553,0.190007234,0.054675862,0.054672183,0.029095474,-0.050507248,0.001761236,0.345123771,0.226013354,0.867774922,182
90,3030,2501,18,5,25011805,1805,7/09/2025,40,28.17285863,610.9627402,30.11331999,496.03793,0.28811008,0.050770722,0.126987682,0.026316453,-0.023308052,0.00162819,0.507055742,0.249950217,0.943256594,189
91,4001,2501,19,1,25011901,1901,7/09/2025,40,25.76771432,766.8007803,43.70413991,582.4677228,0.207598106,0.043073098,0.056716677,0.020003783,-0.056685552,0.001894157,0.381238031,0.235895595,0.969415281,362
92,4002,2501,19,2,25011902,1902,7/09/2025,40,18.21324999,602.38964,48.32526395,638.9890297,0.159657017,0.046092725,0.024686183,0.022732605,-0.062539997,0.001834902,0.307880733,0.213090187,0.909301351,269
93,4003,2501,19,3,25011903,1903,7/09/2025,40,26.75824207,731.0563649,34.97526957,563.7237428,0.250368395,0.048926726,0.09212368,0.023148077,-0.038204411,0.001413865,0.434415383,0.245698658,0.971092682,272
94,4004,2501,19,4,25011904,1904,7/09/2025,40,13.15719073,503.320846,51.04837936,392.9970316,0.101824239,0.032082758,-0.020639593,0.014889654,-0.068261357,0.001066702,0.1933767,0.155982152,0.87039096,224
95,4005,2501,19,5,25011905,1905,7/09/2025,40,21.8975276,643.7127197,40.33272133,399.2008844,0.19301136,0.038294939,0.04367085,0.017062383,-0.048809395,0.001026336,0.339969588,0.224390267,0.959557483,325
96,4006,2501,20,1,25012001,2001,7/09/2025,40,21.49507153,529.7327402,48.20953586,550.4375414,0.197615517,0.037804443,0.047475087,0.018796359,-0.051985371,0.0014281,0.340514814,0.224564475,0.972859174,418
97,4007,2501,20,2,25012002,2002,7/09/2025,40,15.06351351,543.3541868,56.36712273,491.1023885,0.117924168,0.031565645,-0.01500517,0.014460849,-0.072209677,0.001167101,0.22446509,0.174080513,0.870805461,303
98,4008,2501,20,3,25012003,2003,7/09/2025,40,28.44838946,717.6980065,35.55205541,542.507907,0.265891664,0.044448566,0.098571373,0.021123246,-0.038457926,0.001275069,0.445404888,0.247019374,0.980679498,299
99,4009,2501,20,4,25012004,2004,7/09/2025,40,16.76371522,516.8008215,44.9305396,525.0900742,0.173695901,0.042546977,0.033974594,0.02133289,-0.05339666,0.001457027,0.294384364,0.20772221,0.889911601,218
100,4010,2501,20,5,25012005,2005,7/09/2025,40,24.70869357,595.6419141,39.21976963,417.2079716,0.238712266,0.036753449,0.073742565,0.016896329,-0.04305285,0.000984409,0.416964713,0.243105141,0.99307353,383
101,4011,2501,21,1,25012101,2101,7/09/2025,40,23.6029913,553.5573659,46.95376729,580.9770507,0.211306542,0.038668869,0.051113148,0.018262954,-0.05016896,0.001267853,0.38247472,0.236187809,0.966552441,475
102,4012,2501,21,2,25012102,2102,7/09/2025,40,10.17860764,380.2317582,58.11290413,485.6426308,0.095814533,0.030597025,-0.027466192,0.015071089,-0.07265786,0.001182569,0.179001915,0.146960229,0.835654393,151
103,4013,2501,21,3,25012103,2103,7/09/2025,40,20.27181595,606.4247222,44.31677413,502.9063653,0.193516179,0.039677409,0.043123499,0.018602399,-0.053962066,0.001263714,0.332638752,0.221990213,0.97798232,323
104,4014,2501,21,4,25012104,2104,7/09/2025,40,14.27160077,447.5473325,48.48602568,521.9291149,0.151834201,0.038841416,0.01740916,0.020066138,-0.057501471,0.001633578,0.256252112,0.190586967,0.891947067,223
105,4015,2501,21,5,25012105,2105,7/09/2025,40,19.83968562,574.3914096,45.01633848,537.5666884,0.188826804,0.040504061,0.04039611,0.020380395,-0.050129421,0.001379199,0.320938618,0.217937021,0.963216128,264
106,4016,2501,22,1,25012201,2201,7/09/2025,40,28.06956767,586.9101864,41.15085199,614.5934136,0.264722122,0.04138545,0.101063262,0.020627357,-0.038552231,0.001811222,0.467455288,0.248940842,0.994294776,396
107,4017,2501,22,2,25012202,2202,7/09/2025,40,19.06344513,591.4749812,46.90668805,908.1121131,0.202098555,0.056529648,0.067756405,0.032379925,-0.050205133,0.002441866,0.334347104,0.222559118,0.766045096,52
108,4018,2501,22,3,25012203,2203,7/09/2025,40,26.76097424,577.8857359,37.36033788,570.425598,0.269449288,0.043462485,0.111181843,0.021958147,-0.038260693,0.001394779,0.45986203,0.248388943,0.961614873,253
109,4019,2501,22,4,25012204,2204,7/09/2025,40,17.66714539,515.0805006,48.24109712,614.8176907,0.171418512,0.043397827,0.033002113,0.022073035,-0.057994254,0.001755596,0.311790713,0.214577264,0.877731805,261
110,4020,2501,22,5,25012205,2205,7/09/2025,40,21.60532838,564.4978335,44.7399065,522.4879703,0.211371811,0.038400894,0.06013837,0.018801554,-0.049861104,0.001188001,0.36476287,0.231710919,0.975228304,287
111,4021,2501,23,1,25012301,2301,7/09/2025,40,21.92032781,565.6816945,50.06030189,710.9837102,0.198619833,0.043421719,0.05254471,0.021782225,-0.05549541,0.001351986,0.347724456,0.226812159,0.961649928,291
112,4022,2501,23,2,25012302,2302,7/09/2025,40,22.50637831,633.9100083,47.26828305,940.1752789,0.220121182,0.05571509,0.069429496,0.029421041,-0.049623411,0.002396572,0.393117626,0.238576158,0.872051908,168
113,4023,2501,23,3,25012303,2303,7/09/2025,40,24.36051128,593.9024368,43.41568174,692.0380285,0.232762786,0.045909472,0.079784291,0.023303161,-0.049434583,0.001389548,0.393000929,0.238551199,0.967591411,209
114,4024,2501,23,4,25012304,2304,7/09/2025,40,17.01835792,471.2643887,51.5411589,595.3852892,0.165752508,0.040106483,0.027629057,0.019970463,-0.060601578,0.001575718,0.296542403,0.208605006,0.885450271,279
115,4025,2501,23,5,25012305,2305,7/09/2025,40,22.91605182,506.3881935,44.90568289,509.688131,0.219008533,0.037189328,0.062410401,0.017912447,-0.049198146,0.001158724,0.386933258,0.237215912,0.967867167,324
116,4026,2501,24,1,25012401,2401,7/09/2025,40,21.62191241,423.1616548,49.51340938,767.3531622,0.262435265,0.041125703,0.095135905,0.023861031,-0.031950912,0.001981455,0.415237291,0.242815283,0.95151471,237
117,4027,2501,24,2,25012402,2402,7/09/2025,40,19.64312477,468.4353919,53.48530299,850.8505647,0.23380171,0.041451041,0.07019735,0.02494199,-0.037889284,0.002208086,0.333887371,0.222406594,0.873514617,91
118,4028,2501,24,3,25012403,2403,7/09/2025,40,23.49566222,510.7561499,46.12546334,752.8087992,0.275434124,0.042183031,0.104096207,0.025004083,-0.027512451,0.001863848,0.408484029,0.241624827,0.944866678,119
119,4029,2501,24,4,25012404,2404,7/09/2025,40,22.90669183,597.1192438,47.47692784,772.1775832,0.266968636,0.044033067,0.098353574,0.025317675,-0.025850996,0.001929499,0.391426801,0.23821186,0.879714187,123
120,4030,2501,24,5,25012405,2405,7/09/2025,40,25.062331,543.5820488,43.561379,748.4666718,0.298126889,0.042217037,0.12101473,0.025580676,-0.017279632,0.001783326,0.439556106,0.246346536,0.857400623,88
121,1001,2502,1,1,25020101,101,7/09/2025,40,27.29790951,589.3411817,36.67463796,644.0025267,0.297107916,0.047525946,0.119769145,0.027509849,-0.028000345,0.002304671,0.508733871,0.24992372,0.876344282,238
122,1002,2502,1,2,25020102,102,7/09/2025,40,28.55829672,558.9189007,35.81654274,527.0791523,0.303704259,0.04046759,0.125653238,0.022695488,-0.028734156,0.002155319,0.501886899,0.24999644,0.966280871,266
123,1003,2502,1,3,25020103,103,7/09/2025,40,26.95572579,529.0876021,38.59622034,717.5226808,0.29872114,0.045986192,0.123758778,0.027071332,-0.028251128,0.002742921,0.505463865,0.249970146,0.876451395,172
124,1004,2502,1,4,25020104,104,7/09/2025,40,24.43770418,375.2328828,41.4202884,751.6623396,0.302892957,0.040032107,0.138513246,0.024685931,-0.021941569,0.002188901,0.496169877,0.24998533,0.969981409,187
125,1005,2502,1,5,25020105,105,7/09/2025,40,23.85237773,391.8381919,44.23613927,987.8816568,0.304019411,0.046176569,0.14236519,0.029395225,-0.020511833,0.002743504,0.511606942,0.249865279,0.902014034,294
