fid,id,Trial,Row,Column,MasonPlot#,layer,path,,723ExG_mean,723ExG_variance,723ExR_mean,723ExR_variance,723NDVI_mean,723NDVI_variance,723gNDVI_mean,723gNDVI_variance,723NDRE_mean,723NDRE_variance,723THRESH_mean,723THRESH_variance,723HA_mean,
10,1010,2501,2,5,25010205,205,7/23/2025,55,40.71425841,606.7904302,-383.0409948,6252974.534,0.300939574,0.034596909,0.124966662,0.018158451,-0.03804726,0.00175805,0.591743119,0.2415832,0.990084392,137
11,1011,2501,3,1,25010301,301,7/23/2025,55,33.39388808,584.4324754,581.2242614,7376182.048,0.252814255,0.040720003,0.104808837,0.024034485,-0.05247382,0.003027083,0.484583663,0.249762337,0.999143383,197
12,1012,2501,3,2,25010302,302,7/23/2025,55,40.93414694,587.6714763,-249.4571225,6891631.839,0.323572377,0.038764879,0.152503033,0.022095902,-0.03388689,0.002447368,0.637589756,0.231069059,0.982174753,149
13,1013,2501,3,3,25010303,303,7/23/2025,55,47.24814309,562.5575129,-950.3946365,5671257.893,0.378447884,0.026920728,0.192264846,0.014495268,-0.026831869,0.001423828,0.735062807,0.194745477,0.98292016,108
14,1014,2501,3,4,25010304,304,7/23/2025,55,42.16023261,595.743382,-432.8277766,8430761.967,0.351242221,0.036328843,0.180725503,0.020125562,-0.02900034,0.001824669,0.671671945,0.220528743,0.997411876,158
15,1015,2501,3,5,25010305,305,7/23/2025,55,41.85433791,603.0611715,-584.4967474,7411877.263,0.345728861,0.031879597,0.171932363,0.017201728,-0.018891591,0.001692005,0.673857833,0.219773454,0.946507008,120
16,1016,2501,4,1,25010401,401,7/23/2025,55,52.13015344,773.9144476,-564.8535472,7542998.639,0.364362375,0.032021547,0.190963299,0.01624353,-0.032960338,0.002091765,0.689974335,0.213909752,0.998013414,185
17,1017,2501,4,2,25010402,402,7/23/2025,55,53.42726851,673.5954105,-755.2033038,6129375.884,0.373739397,0.026492766,0.194055257,0.013069021,-0.035105935,0.001629448,0.73550695,0.194536477,0.996136041,188
18,1018,2501,4,3,25010403,403,7/23/2025,55,56.54351032,500.9312708,-1375.825107,3586062.815,0.469919689,0.018362034,0.277458301,0.010799397,-0.002422187,0.001424744,0.887058888,0.100185417,0.93122619,96
19,1019,2501,4,4,25010404,404,7/23/2025,55,51.31193512,666.4183287,-952.9574094,6197849.4,0.402809989,0.026603045,0.221435652,0.01513954,-0.020663308,0.001832757,0.777953745,0.172741716,0.993438679,204
20,1020,2501,4,5,25010405,405,7/23/2025,55,52.7215622,542.1104008,-926.3308099,4833957.817,0.406891831,0.020925735,0.226225404,0.011315828,-0.012560375,0.001423525,0.811306841,0.15308805,0.994878431,189
21,1021,2501,5,1,25010501,501,7/23/2025,55,68.12270977,629.5855758,-2078.802709,4452382.633,0.499042376,0.012713483,0.287241788,0.008387285,-0.01686952,0.002313045,0.946345193,0.050775969,0.955656405,126
22,1022,2501,5,2,25010502,502,7/23/2025,55,55.37081229,556.8947167,-972.3356072,4961969.266,0.413542678,0.022226446,0.231093305,0.011980879,-0.023073835,0.001829859,0.823290102,0.14548351,0.958314347,166
23,1023,2501,5,3,25010503,503,7/23/2025,55,49.05984656,624.9234394,-357.9258418,6484061.611,0.344800645,0.031963294,0.17707749,0.016949705,-0.035214562,0.001807346,0.698528408,0.210586471,0.979532324,180
24,1024,2501,5,4,25010504,504,7/23/2025,55,48.79082023,739.647348,-372.4166222,7842385.721,0.348329685,0.035879473,0.182010553,0.018712791,-0.03703595,0.002207372,0.677233508,0.218588284,0.971418676,171
25,1025,2501,5,5,25010505,505,7/23/2025,55,54.60167085,677.5149715,-590.5510269,7024895.643,0.391075576,0.035559741,0.217294136,0.018608908,-0.024293433,0.001932059,0.753221579,0.185878832,0.970671333,120
26,1026,2501,6,1,25010601,601,7/23/2025,55,58.2126352,589.1405997,-1234.995908,4609355.921,0.424912051,0.021876044,0.23446375,0.013355786,-0.026781648,0.001575491,0.835354529,0.13753734,0.999781285,192
27,1027,2501,6,2,25010602,602,7/23/2025,55,49.54329483,626.2296116,-571.1112253,5184823.229,0.382337309,0.030272037,0.211052993,0.016643148,-0.021591144,0.001802636,0.745310068,0.189822971,0.989246528,137
28,1028,2501,6,3,25010603,603,7/23/2025,55,53.51162092,664.7204917,-959.8049048,5203326.166,0.413907462,0.029331639,0.23186554,0.015857977,-0.016359171,0.001733962,0.787983067,0.167065753,0.983103059,114
29,1029,2501,6,4,25010604,604,7/23/2025,55,57.08090323,514.8255593,-1358.176234,4296986.27,0.433669672,0.0161884,0.240839502,0.01025419,-0.019647955,0.00194584,0.873170599,0.110743704,0.996044837,226
30,1030,2501,6,5,25010605,605,7/23/2025,55,58.02318848,663.1335677,-895.5003352,6279468.964,0.364902007,0.025619116,0.181451569,0.013891993,-0.038347967,0.001799745,0.741785705,0.191539673,0.999799497,259
31,2001,2501,7,1,25010701,701,7/23/2025,55,45.73027142,632.835553,-345.8943587,6919451.934,0.371320147,0.036203054,0.205052612,0.020485619,-0.016192607,0.001895058,0.717792584,0.20256639,0.99314694,147
32,2002,2501,7,2,25010702,702,7/23/2025,55,67.47189907,644.5733679,-2053.69923,4782008.418,0.487283162,0.019543418,0.273026672,0.01124331,-0.02188657,0.001759722,0.910508493,0.081482777,0.879791481,90
33,2003,2501,7,3,25010703,703,7/23/2025,55,51.47583552,750.8920548,-476.2991748,8116936.868,0.331732435,0.030999101,0.158975574,0.01504275,-0.046647608,0.002117735,0.659376365,0.224599174,0.994331231,217
34,2004,2501,7,4,25010704,704,7/23/2025,55,51.60952433,611.3050679,-894.2125389,7299234.598,0.394595931,0.025433135,0.216161094,0.014129325,-0.019590174,0.002582218,0.782425864,0.170235631,0.990905114,203
35,2005,2501,7,5,25010705,705,7/23/2025,55,54.46479681,682.5802005,-660.6235472,8041440.83,0.393625352,0.034159479,0.219819282,0.018520496,-0.016478217,0.002698935,0.775125628,0.174305889,0.993949004,166
36,2006,2501,8,1,25010801,801,7/23/2025,55,51.40278081,730.159364,-582.74611,6328845.745,0.363699399,0.029204838,0.189582384,0.016041673,-0.032507014,0.001745326,0.704190341,0.208306305,0.99828661,235
37,2007,2501,8,2,25010802,802,7/23/2025,55,55.57254806,608.2054183,-1081.203325,5378942.434,0.421545787,0.024201156,0.235488346,0.01412335,-0.021531586,0.002030721,0.832241153,0.139615816,0.993274769,180
38,2008,2501,8,3,25010803,803,7/23/2025,55,46.35673521,673.6713255,-223.023702,6891606.282,0.328185207,0.032705307,0.164263549,0.017250126,-0.033178504,0.002169156,0.642554818,0.229678124,0.993784858,166
39,2009,2501,8,4,25010804,804,7/23/2025,55,51.73607623,658.7896595,-988.3426775,6313171.842,0.403353125,0.025139121,0.223200897,0.014671938,-0.01648075,0.002758717,0.784618325,0.168992409,0.999690126,194
40,2010,2501,8,5,25010805,805,7/23/2025,55,44.30832036,703.1054792,109.2394965,7758388.777,0.322833727,0.039914295,0.166482701,0.020919356,-0.03776502,0.002432042,0.630294094,0.233023449,0.980806037,123
41,2011,2501,9,1,25010901,901,7/23/2025,55,50.20599159,601.3387734,-1043.500705,5016071.021,0.430324871,0.028224422,0.245992402,0.016424946,-0.003323089,0.001746596,0.810557649,0.153553946,0.967683138,138
42,2012,2501,9,2,25010902,902,7/23/2025,55,51.72390729,673.7868594,-788.5243163,6354760.35,0.381238169,0.033603173,0.199471734,0.018347668,-0.024657916,0.001781495,0.728220809,0.197915262,0.955432009,114
43,2013,2501,9,3,25010903,903,7/23/2025,55,50.78780761,664.9232917,-884.7796356,6461021.896,0.378857928,0.028767606,0.196169445,0.014964075,-0.028416616,0.00169572,0.730614809,0.19681681,0.941621405,118
44,2014,2501,9,4,25010904,904,7/23/2025,55,43.79254971,556.327622,-541.2956359,7371306.127,0.388909018,0.027982283,0.221629527,0.015664023,-0.01456776,0.002027887,0.737628359,0.193532763,0.994295088,172
45,2015,2501,9,5,25010905,905,7/23/2025,55,40.90222853,639.0448432,299.5238037,8995400.997,0.300247635,0.039267022,0.147918902,0.020880831,-0.037519092,0.001919847,0.586355692,0.242542695,0.954451006,136
46,2016,2501,10,1,25011001,1001,7/23/2025,55,44.41273308,670.4101204,-314.6472848,8211579.696,0.337736138,0.038556297,0.166075151,0.020569664,-0.036998574,0.001857992,0.649703787,0.227588776,0.999890633,174
47,2017,2501,10,2,25011002,1002,7/23/2025,55,40.12032334,563.5106192,-116.1741004,6919209.533,0.334258869,0.037215441,0.170595598,0.01990058,-0.031202348,0.001921757,0.647359222,0.22828526,0.988808487,130
48,2018,2501,10,3,25011003,1003,7/23/2025,55,40.65359406,603.7058714,-215.2905942,6300563.527,0.331768005,0.036352266,0.165548062,0.019983053,-0.030730808,0.001918464,0.640976622,0.230125592,0.909982321,105
49,2019,2501,10,4,25011004,1004,7/23/2025,55,45.98388903,649.5542583,-728.7295979,6064693.814,0.367900705,0.030433775,0.189063188,0.017259006,-0.024560965,0.001876513,0.729253707,0.197442738,0.981736325,190
50,2020,2501,10,5,25011005,1005,7/23/2025,55,39.37251475,691.7648814,-60.56947777,7541063.077,0.317166943,0.044814228,0.15350355,0.025178905,-0.02649953,0.002308572,0.623443303,0.234761751,0.965220561,129
51,2021,2501,11,1,25011101,1101,7/23/2025,55,42.35264883,785.4368622,-40.65231552,9244175.703,0.300111312,0.042514671,0.132991589,0.023129185,-0.044087131,0.00283106,0.580420535,0.243532538,0.989191258,182
52,2022,2501,11,2,25011102,1102,7/23/2025,55,43.89680308,650.5602642,-234.7893028,6565902.978,0.363243297,0.040585272,0.196197893,0.022876073,-0.030738424,0.002467022,0.663163068,0.223377813,0.921625809,115
53,2023,2501,11,3,25011103,1103,7/23/2025,55,41.82592552,540.1499427,-459.1598557,5277066.405,0.35104984,0.027796739,0.180333289,0.015056562,-0.028532259,0.001998349,0.690864912,0.213570585,0.966496537,162
54,2024,2501,11,4,25011104,1104,7/23/2025,55,39.36097308,555.9324134,-500.7827767,6684323.19,0.346032225,0.029685177,0.176349054,0.015789071,-0.030375047,0.002209174,0.67187244,0.220459864,0.991360927,164
55,2025,2501,11,5,25011105,1105,7/23/2025,55,35.16994731,729.6528182,628.8132356,9957780.503,0.255116433,0.048574798,0.104559061,0.025859809,-0.055153968,0.002646027,0.513281826,0.249823593,0.924596737,102
56,2026,2501,12,1,25011201,1201,7/23/2025,55,46.57453374,768.6934221,-382.1294667,8951734.173,0.371030955,0.050902256,0.198804415,0.029637398,-0.020110764,0.003013441,0.7162557,0.203233472,0.923777932,137
57,2027,2501,12,2,25011202,1202,7/23/2025,55,46.90033867,657.1648915,-730.3856392,6485560.71,0.378107112,0.033510685,0.198430851,0.018733452,-0.018054903,0.002267612,0.756841645,0.184032369,0.965206139,141
58,2028,2501,12,3,25011203,1203,7/23/2025,55,42.69033773,609.5598823,-452.7961013,6115722.315,0.384670014,0.038897221,0.21715636,0.02310628,-0.013871928,0.002628598,0.718267944,0.202359104,0.92561878,90
59,2029,2501,12,4,25011204,1204,7/23/2025,55,35.26275977,569.6240674,268.3554226,8244094.57,0.335035908,0.049442451,0.184020703,0.030194467,-0.022610316,0.003243451,0.631885087,0.232606324,0.973061641,123
60,2030,2501,12,5,25011205,1205,7/23/2025,55,35.06822527,657.9681972,522.7085218,9714196.187,0.296345435,0.054077806,0.146444341,0.030541923,-0.026985207,0.003288602,0.576227672,0.244189342,0.934477919,102
61,3001,2501,13,1,25011301,1301,7/23/2025,55,53.94867242,801.8448032,-1063.007441,7053435.649,0.400266066,0.035825337,0.211919728,0.019899125,-0.020812001,0.003031332,0.774175044,0.174828045,0.992089675,213
62,3002,2501,13,2,25011302,1302,7/23/2025,55,42.93602206,604.1304434,-353.6860518,6600291.864,0.377829726,0.045354775,0.209686718,0.025965789,-0.017108105,0.003032281,0.711157228,0.205412625,0.89280767,85
63,3003,2501,13,3,25011303,1303,7/23/2025,55,40.84989758,633.7546644,-198.214294,6802485.742,0.345349099,0.0424984,0.182664998,0.024275738,-0.022874019,0.002373971,0.665137239,0.222729692,0.958062223,94
64,3004,2501,13,4,25011304,1304,7/23/2025,55,41.06489216,632.5922127,-306.3988372,8526228.764,0.337719549,0.04058294,0.171013534,0.022871556,-0.02655084,0.002231935,0.672263172,0.220325399,0.980351773,160
65,3005,2501,13,5,25011305,1305,7/23/2025,55,44.37434133,703.5955554,-126.6826551,9350407.404,0.321638815,0.04363868,0.15379746,0.022983842,-0.035311286,0.002074968,0.653834603,0.226334915,0.952613545,125
66,3006,2501,14,1,25011401,1401,7/23/2025,55,61.2906151,686.9873226,-1776.356796,5289342.166,0.483529338,0.018951341,0.281837528,0.010743197,-0.008963907,0.001683921,0.900305911,0.089755178,0.975941823,141
67,3007,2501,14,2,25011402,1402,7/23/2025,55,53.98288242,537.5468145,-1322.022174,4255967.539,0.458354498,0.019074749,0.26825664,0.011116561,-0.002566182,0.001454464,0.871549865,0.111950698,0.987878456,138
68,3008,2501,14,3,25011403,1403,7/23/2025,55,49.52113945,691.0636679,-916.881308,6668816.007,0.391560253,0.032520582,0.210488557,0.01780817,-0.014949239,0.00192519,0.744414705,0.190261452,0.956531248,108
69,3009,2501,14,4,25011404,1404,7/23/2025,55,47.6856862,637.7409786,-775.860689,7339392.26,0.398397437,0.038382837,0.220684727,0.022949881,-0.010475834,0.002364976,0.758743072,0.183052022,0.980936065,162
70,3010,2501,14,5,25011405,1405,7/23/2025,55,45.82148318,611.1631405,-612.7978872,6941024.589,0.35555048,0.030841587,0.180588739,0.016327316,-0.013295919,0.001746236,0.691377239,0.213374752,0.984890185,144
71,3011,2501,15,1,25011501,1501,7/23/2025,55,41.95358615,640.907994,-189.3759306,7688551.89,0.348019489,0.047094309,0.184504641,0.027034512,-0.020141325,0.003158944,0.674611625,0.21951078,0.972129564,132
72,3012,2501,15,2,25011502,1502,7/23/2025,55,46.15663572,657.7674915,-543.0780176,7350471.868,0.384434292,0.045331214,0.212538681,0.02633388,-0.015320332,0.003113768,0.731895139,0.196224644,0.953175124,117
73,3013,2501,15,3,25011503,1503,7/23/2025,55,45.1444135,564.9112931,-475.738467,5612308.824,0.358408065,0.031709503,0.188798761,0.017905928,-0.029507004,0.002004602,0.715541721,0.203541766,0.983159583,148
74,3014,2501,15,4,25011504,1504,7/23/2025,55,39.84582617,578.2333507,-16.81865619,7101431.097,0.327907352,0.039892489,0.170191199,0.022642324,-0.034508714,0.002395943,0.646405068,0.228565556,0.995096699,169
75,3015,2501,15,5,25011505,1505,7/23/2025,55,46.94602048,546.982233,-715.6114347,6168810.231,0.360822291,0.029519019,0.182612122,0.016912888,-0.018907498,0.002009888,0.752300341,0.186344538,0.98860778,173
76,3016,2501,16,1,25011601,1601,7/23/2025,55,42.49630014,528.4711588,-387.5840921,5590094.296,0.385176062,0.031070411,0.222598357,0.017354841,-0.00284478,0.002138609,0.736477077,0.194078592,0.997411688,178
77,3017,2501,16,2,25011602,1602,7/23/2025,55,46.80329301,644.7220851,-127.7567377,6815577.217,0.336826484,0.033992155,0.176353988,0.018107941,-0.034203673,0.001981662,0.676323622,0.21890998,0.97936641,189
78,3018,2501,16,3,25011603,1603,7/23/2025,55,38.97264463,574.4045044,323.3356359,6587512.326,0.313282886,0.033799174,0.168040122,0.017520976,-0.029371415,0.00202766,0.61271124,0.237296176,0.986221226,140
79,3019,2501,16,4,25011604,1604,7/23/2025,55,46.19517789,591.975449,-428.9242439,5728469.529,0.412332286,0.035414938,0.24975902,0.020151588,-0.015660412,0.002471749,0.766157879,0.179159983,0.996846633,191
80,3020,2501,16,5,25011605,1605,7/23/2025,55,42.85336355,610.1517805,-68.85937566,6619753.866,0.350328588,0.034735035,0.194369533,0.018704938,-0.020950979,0.002185796,0.67410178,0.21968857,0.979184135,149
81,3021,2501,17,1,25011701,1701,7/23/2025,55,49.66462782,744.1801365,-520.1127305,7202395.61,0.368076152,0.034442328,0.198281937,0.018993995,-0.023786051,0.003037664,0.720222817,0.201501911,0.992654028,185
82,3022,2501,17,2,25011702,1702,7/23/2025,55,49.52372761,764.9947952,-547.7306247,7565421.167,0.375719458,0.038906173,0.203822605,0.021410451,-0.019879751,0.002925509,0.734436435,0.195039558,0.956585926,119
83,3023,2501,17,3,25011703,1703,7/23/2025,55,46.48373529,586.8224282,-583.7682841,5437499.319,0.407299101,0.032516967,0.239080118,0.018090012,-0.009274242,0.002289317,0.78084287,0.171127282,0.956837942,112
84,3024,2501,17,4,25011704,1704,7/23/2025,55,44.82105608,683.1702944,-255.6942008,8201403.973,0.364775214,0.038669275,0.202037228,0.021232478,-0.026380972,0.002523826,0.717004314,0.202909128,0.978966938,174
85,3025,2501,17,5,25011705,1705,7/23/2025,55,48.14443716,611.7575802,-675.7593473,6197175.51,0.384740994,0.030903096,0.211810239,0.017869609,-0.016244512,0.002250978,0.753782293,0.185594548,0.982120726,144
86,3026,2501,18,1,25011801,1801,7/23/2025,55,45.9276526,607.8043248,-790.0631056,6385950.517,0.395791778,0.030625578,0.220428156,0.016774126,-0.000255942,0.002064575,0.757858801,0.183508839,0.998924633,175
87,3027,2501,18,2,25011802,1802,7/23/2025,55,47.63848611,596.5157401,-819.504071,5539223.699,0.402213789,0.029450497,0.224711518,0.015635411,-0.008678906,0.001781561,0.766445482,0.179006805,0.959042689,126
88,3028,2501,18,3,25011803,1803,7/23/2025,55,47.56888124,576.5089838,-1099.033986,4481616.119,0.420291981,0.024907371,0.236738171,0.013968584,-0.011771509,0.001591654,0.808361323,0.154913295,0.971658222,112
89,3029,2501,18,4,25011804,1804,7/23/2025,55,38.44543071,609.3384626,-242.8314908,5601522.817,0.366451787,0.035424113,0.206516702,0.019804728,-0.025772902,0.001872632,0.67624406,0.218938031,0.97408231,140
90,3030,2501,18,5,25011805,1805,7/23/2025,55,42.7726106,610.1180647,-905.8435825,5379073.184,0.383035393,0.025951072,0.20602415,0.014777792,-0.010365481,0.001786499,0.759011469,0.182913059,0.980880691,154
91,4001,2501,19,1,25011901,1901,7/23/2025,55,41.61997597,693.7855184,-400.6603109,7313082.464,0.349595625,0.036809425,0.180789513,0.020594495,-0.018048876,0.002208028,0.666175186,0.222385808,0.991233027,158
92,4002,2501,19,2,25011902,1902,7/23/2025,55,38.5152947,547.1089456,-322.6750149,6583559.172,0.363231783,0.039546572,0.197331888,0.023264595,-0.010706529,0.002521383,0.701207189,0.209515667,0.941109997,90
93,4003,2501,19,3,25011903,1903,7/23/2025,55,34.98550171,601.1381652,-6.167557135,6984420.1,0.337030098,0.044932936,0.180839604,0.025815551,-0.015666405,0.002577938,0.639290102,0.230598267,0.977235861,104
94,4004,2501,19,4,25011904,1904,7/23/2025,55,35.91128768,671.0812247,248.8367681,7869042.896,0.298658016,0.041944044,0.146007738,0.023679758,-0.036238388,0.00244246,0.588766929,0.242120432,0.9758676,175
95,4005,2501,19,5,25011905,1905,7/23/2025,55,31.07916655,560.3598541,742.471357,7507026.824,0.264809354,0.042566178,0.121672176,0.023890799,-0.039605889,0.002232362,0.527868047,0.249223372,0.986731309,136
96,4006,2501,20,1,25012001,2001,7/23/2025,55,32.6916587,533.1923796,3.839841744,8204886.343,0.319598331,0.042620062,0.160149549,0.022816027,-0.020506249,0.003324795,0.612969283,0.237237941,0.962308169,133
97,4007,2501,20,2,25012002,2002,7/23/2025,55,37.20838454,592.6313813,-264.4158078,7626747.098,0.304786899,0.032884546,0.13679456,0.016671058,-0.036946323,0.002540043,0.61286358,0.237261812,0.99768527,177
98,4008,2501,20,3,25012003,2003,7/23/2025,55,41.58551967,505.3330792,-952.8921724,4170550.498,0.426815261,0.024297573,0.249325587,0.013894135,0.001133397,0.00193742,0.791831609,0.164834312,0.923390992,87
99,4009,2501,20,4,25012004,2004,7/23/2025,55,38.62827726,599.0773837,-618.9816907,6379383.064,0.38516915,0.036945288,0.213798667,0.021523436,-0.015804012,0.002539997,0.715151846,0.203709683,0.972897111,111
100,4010,2501,20,5,25012005,2005,7/23/2025,55,43.22681961,576.1974946,-1006.471446,5350126.616,0.407410336,0.024292002,0.227355816,0.014430574,0.000258501,0.001990919,0.783667896,0.169532525,0.980826012,123
101,4011,2501,21,1,25012101,2101,7/23/2025,55,47.6931753,713.4265457,-1076.743677,7381572.464,0.399053383,0.03407563,0.210596262,0.019588065,-0.012256618,0.001749627,0.756888877,0.184008105,0.965059692,144
102,4012,2501,21,2,25012102,2102,7/23/2025,55,30.0989107,525.9056662,512.1152095,7723275.591,0.271496677,0.043374467,0.121880651,0.023991962,-0.032035442,0.001996766,0.539108357,0.248470536,0.987659947,130
103,4013,2501,21,3,25012103,2103,7/23/2025,55,41.95139268,684.8465177,-666.8976788,6755841.89,0.361769258,0.036910296,0.185677598,0.020493234,-0.022134778,0.002042918,0.680338613,0.217477985,0.931754798,108
104,4014,2501,21,4,25012104,2104,7/23/2025,55,31.02866581,592.0487565,549.3156676,8110909.379,0.277167331,0.046490914,0.130438077,0.026362271,-0.039717488,0.002542094,0.536623986,0.248658684,0.969180017,124
105,4015,2501,21,5,25012105,2105,7/23/2025,55,36.1857334,625.1814137,76.45975347,6317938.078,0.331636867,0.039782899,0.175807738,0.022062846,-0.021303318,0.001978605,0.623453587,0.234759212,0.941489556,76
106,4016,2501,22,1,25012201,2201,7/23/2025,55,44.82330293,699.0134781,-799.4332861,7179451.879,0.376733675,0.031153515,0.197414434,0.01733871,-0.016903967,0.00183396,0.716946098,0.202934391,0.992436117,161
107,4017,2501,22,2,25012202,2202,7/23/2025,55,35.32103754,577.402027,81.74475397,6403512.606,0.315875165,0.035824055,0.158478021,0.01945881,-0.034021315,0.001798881,0.605269625,0.238918306,0.962142063,109
108,4018,2501,22,3,25012203,2203,7/23/2025,55,41.94985525,585.1583529,-671.9222535,5797311.804,0.383258636,0.028221253,0.209571824,0.015127294,-0.021358691,0.001670762,0.71322445,0.204535334,0.956963963,127
109,4019,2501,22,4,25012204,2204,7/23/2025,55,38.63413702,538.732294,-417.727663,7200789.972,0.34713111,0.03107156,0.177608907,0.018000265,-0.029610822,0.002209113,0.668323185,0.221667305,0.986421958,213
110,4020,2501,22,5,25012205,2205,7/23/2025,55,38.87950392,669.6870405,84.88301161,7875224.364,0.310523794,0.037871465,0.150355517,0.020150972,-0.037992493,0.001812092,0.593711585,0.241218139,0.98242992,154
111,4021,2501,23,1,25012301,2301,7/23/2025,55,36.0299787,686.8357747,436.8641023,10936952.66,0.271876548,0.045600656,0.117833138,0.024623551,-0.040354396,0.002621235,0.525555616,0.24934691,0.968651466,127
112,4022,2501,23,2,25012302,2302,7/23/2025,55,44.7195052,670.5257846,-945.9858492,7252236.612,0.394604011,0.033191969,0.212426748,0.018308137,-0.003498175,0.002195979,0.742606701,0.191141989,0.957001203,98
113,4023,2501,23,3,25012303,2303,7/23/2025,55,44.78827673,665.262561,-573.6155615,6730864.064,0.395429838,0.041948112,0.220931849,0.023928584,-0.012257569,0.002342039,0.710549307,0.20566899,0.905132505,85
114,4024,2501,23,4,25012304,2304,7/23/2025,55,40.37356243,542.4208631,-654.1498288,6233580.156,0.371316861,0.02658473,0.196562106,0.015312816,-0.007396261,0.002308334,0.724123801,0.199768522,0.997284095,208
115,4025,2501,23,5,25012305,2305,7/23/2025,55,43.84074711,629.7186652,-622.1193031,6516800.699,0.358449227,0.033162165,0.179751946,0.01796579,-0.017950026,0.001813795,0.689686246,0.214019128,0.927768158,91
116,4026,2501,24,1,25012401,2401,7/23/2025,55,48.2763546,600.9158993,-1902.053944,5934980.714,0.45063262,0.021545474,0.239171678,0.013663267,0.015911025,0.002892231,0.831822154,0.139894058,0.985746314,144
117,4027,2501,24,2,25012402,2402,7/23/2025,55,44.31110565,574.5898958,-1423.048234,5164522.855,0.441114519,0.031422303,0.243089745,0.019501069,0.019930444,0.002727262,0.774500969,0.174649218,0.854651163,61
118,4028,2501,24,3,25012403,2403,7/23/2025,55,40.44872986,601.5900646,-1130.928959,3985862.4,0.418886615,0.037030316,0.229047381,0.023535415,0.009042172,0.002361642,0.725976509,0.198934617,0.8826167,83
119,4029,2501,24,4,25012404,2404,7/23/2025,55,46.88279458,689.0102609,-1674.859457,5136989.588,0.448648783,0.031789691,0.244960127,0.019659515,0.01155003,0.002081423,0.779158021,0.172070799,0.901283173,88
120,4030,2501,24,5,25012405,2405,7/23/2025,55,46.29457386,659.4909045,-1578.248641,4485071.843,0.448560282,0.032568522,0.247622933,0.020256512,0.012806498,0.002025762,0.772959393,0.17549317,0.92866256,73
121,1001,2502,1,1,25020101,101,7/23/2025,55,39.28029703,488.2746783,-494.6552679,3792478.947,0.412472621,0.031201024,0.248046015,0.018959268,0.005210711,0.001672752,0.745666002,0.189648215,0.924945778,75
122,1002,2502,1,2,25020102,102,7/23/2025,55,39.82269736,496.0650931,-569.9202912,4518442.733,0.413736794,0.028500501,0.248561735,0.017402341,9.54E-06,0.001874841,0.757871167,0.183502461,0.974917973,120
123,1003,2502,1,3,25020103,103,7/23/2025,55,41.0755706,477.1443382,-714.4324124,3780032.28,0.431644972,0.029529126,0.261441762,0.017500749,0.005870179,0.001747391,0.774707874,0.174535584,0.866404214,89
124,1004,2502,1,4,25020104,104,7/23/2025,55,29.48135908,326.820051,-38.4449073,3635462.212,0.376026271,0.035432388,0.222631938,0.02351817,0.003003309,0.002240012,0.679676618,0.217716313,0.906811016,83
