EXP,PlotID,613NDVI,618NDVI,628NDVI,702NDVI,715NDVI,613SAVI,618SAVI,628SAVI,702SAVI,715SAVI,613PLT,618PLT,628PLT,702PLT,613THR,618THR,628THR,702THR,715THR,613HA,618HA,628HA,702HA,YIELD,Y
24110,111,0.260700159,0.22481284,0.262182246,0.266839138,0.595006279,0.521377294,0.449014939,0.652916781,0.533654554,1.188261185,27,83,81,78,0.00179,0.01286959,0.08259223,0.094822136,0.571657425,0.782342105,0.982802858,0.964631579,0.989828814,2578.140244,
24110,112,0.256236682,0.219781751,0.246338915,0.238337756,0.545755348,0.51245135,0.438978518,0.663233408,0.476655059,1.089904425,6,57,106,115,0.00034,0.006585485,0.051400588,0.047574615,0.515153497,0.295311904,0.948960526,0.997263122,0.990526565,2573.173941,
24110,113,0.261416003,0.214914203,0.25298828,0.24743962,0.587929813,0.522808344,0.429254508,0.607813707,0.4948575,1.174136323,2,70,68,86,0.00007,0.010035551,0.065830455,0.071945537,0.56962762,0.116365359,0.97793392,0.978144162,0.989671324,2418.060013,
24110,114,0.258033112,0.215193272,0.281377336,0.260195324,0.578811785,0.516043755,0.429816362,0.537459107,0.520368461,1.155942459,10,65,33,61,0.00095,0.011526107,0.116370332,0.091071483,0.557121933,0.418881579,0.962355263,0.829839866,0.986355263,2105.365854,
24110,201,0.263465735,0.228580691,0.302692727,0.287041476,0.592073175,0.526907922,0.456561763,0.580731335,0.574057585,1.182474406,31,86,66,82,0.00218,0.01799923,0.14086843,0.111434412,0.574475598,0.806292022,0.988000316,0.986526493,0.994197445,2469.878049,
24110,202,0.260984976,0.221048763,0.268653289,0.265249952,0.553646208,0.521947273,0.441614212,0.566674268,0.530477142,1.105755491,15,83,94,110,0.00093,0.009461426,0.075905975,0.07082786,0.523637338,0.565077235,0.981078947,0.995644794,0.99656588,2682.759949,
24110,203,0.262940922,0.222132396,0.268687275,0.274459885,0.589170481,0.52585876,0.443638123,0.569518941,0.548895651,1.176718774,39,86,98,105,0.00355,0.016033312,0.096827273,0.10266169,0.569375425,0.885960526,0.981947368,0.990368168,0.99006592,2515.301669,
24110,204,0.264004091,0.230559493,0.260446252,0.253355519,0.521198849,0.527984968,0.460455034,0.497095812,0.506689263,1.041001032,15,58,56,81,0.00139,0.012807144,0.104532188,0.076909383,0.468336635,0.604773559,0.950724333,0.955223095,0.972355627,2035.945122,
24110,205,0.265710942,0.234131843,0.250373182,0.250792583,0.549534827,0.531398157,0.467238322,0.536981549,0.50156332,1.097593847,19,75,74,82,0.00113,0.013870518,0.078418826,0.082557319,0.517834374,0.557467861,0.967671053,0.981841627,0.989723819,2320.205392,
24110,206,0.26301718,0.236445206,0.288813031,0.276445862,0.586822116,0.52601214,0.472540371,0.696690356,0.55286783,1.172025654,28,71,80,97,0.00261,0.019651205,0.139060653,0.110581143,0.574080492,0.820184211,0.979052356,0.992986934,0.992921053,2018.273427,
24111,207,0.263419872,0.253799939,0.350322218,0.355845855,0.657306857,0.526817331,0.506869145,0.635102997,0.711661243,1.312782395,13,61,57,84,0.00135,0.053480202,0.248354576,0.254821917,0.701324092,0.453460526,0.979565521,0.966315789,0.982223684,1449.531451,
24111,208,0.262757716,0.235066752,0.371607373,0.386387849,0.586814235,0.525492341,0.469777662,0.604743633,0.772741984,1.171958178,14,59,29,50,0.00171,0.056594399,0.282754478,0.30503855,0.614798154,0.636876801,0.978092105,0.773654917,0.935986842,1366.832478,
24111,209,0.265556815,0.226901684,0.303868055,0.318039371,0.522027844,0.53109074,0.452927711,0.66105816,0.636051489,1.04262773,7,47,50,58,0.00077,0.026845262,0.166499073,0.188769935,0.488269603,0.320429994,0.952210526,0.951276957,0.962434705,763.1418485,
24111,210,0.266000716,0.258133709,0.348380534,0.368530231,0.598132124,0.531977099,0.515670716,0.698675502,0.737028505,1.194739982,18,48,24,48,0.00381,0.081383143,0.264013947,0.289253662,0.618389392,0.555078947,0.967657469,0.678464757,0.935065789,1123.916881,
24111,211,0.264983802,0.248634676,0.320046023,0.331532002,0.558477766,0.52994432,0.496618528,0.633227767,0.663034784,1.115514863,23,57,37,47,0.00256,0.045572242,0.219430497,0.221596769,0.545090757,0.623281273,0.971433459,0.912489145,0.939448165,962.1213094,
24111,212,0.261868828,0.236599579,0.275630387,0.290262785,0.530901264,0.523714935,0.472544796,0.4976044,0.580500425,1.060427499,11,32,54,65,0.00109,0.02657233,0.134430297,0.153735659,0.50204989,0.499980263,0.909893551,0.955591521,0.980394479,908.4242619,
24111,213,0.259470934,0.229580545,0.308354793,0.301896827,0.539851823,0.51891927,0.458718422,0.550422266,0.603767317,1.078322206,4,62,25,46,0.00050,0.017180808,0.185885549,0.178659562,0.508088351,0.214437032,0.89148827,0.741174458,0.874828947,625,
24111,214,0.26427001,0.261721688,0.356381889,0.370732125,0.620538469,0.528516775,0.522621426,0.576818057,0.741432704,1.239469884,15,47,26,61,0.00320,0.078443311,0.274360264,0.302200669,0.630734425,0.553723684,0.967737267,0.738364978,0.964539474,1081.554878,
24111,301,0.263791631,0.21966306,0.303754957,0.301911498,0.479115731,0.527559383,0.438816898,0.640464803,0.603796521,0.957031582,14,46,41,40,0.00157,0.030022464,0.167960614,0.170341678,0.382404289,0.522565789,0.756526316,0.800247372,0.771907895,784.9229782,
24111,302,0.26152319,0.219426499,0.331645832,0.327638522,0.603890645,0.523022729,0.438281813,0.521288328,0.655247709,1.206331448,3,66,45,79,0.00041,0.020336895,0.220097943,0.208660209,0.599865303,0.174510862,0.978618421,0.928421053,0.969671452,924.8106547,
24111,303,0.258113322,0.227114974,0.317629075,0.311072384,0.564303177,0.516203968,0.454055758,0.524160548,0.6221166,1.127247381,3,72,50,94,0.00031,0.02340978,0.209629712,0.182980056,0.538460533,0.178247655,0.98175,0.945947368,0.994763158,724.5539153,
24111,304,0.257547682,0.23439557,0.288363081,0.292255362,0.480383957,0.515072235,0.468264662,0.592126798,0.584484508,0.959613242,14,52,31,57,0.00258,0.03614618,0.180100295,0.174663294,0.418745464,0.50994092,0.788710526,0.700096051,0.811100292,941.2804878,
24111,305,0.254049001,0.237295467,0.296523666,0.30258252,0.549834532,0.50807544,0.474097691,0.521281819,0.60513815,1.098306325,9,48,64,91,0.00215,0.038322381,0.18135933,0.187500384,0.516506797,0.357074249,0.971275938,0.978092682,0.992157998,1059.897304,
24111,306,0.25564184,0.251470214,0.362860837,0.362543474,0.590408422,0.511261445,0.50211043,0.492310314,0.725054195,1.179422508,11,67,48,89,0.00143,0.052249617,0.283026876,0.282065291,0.57260179,0.493980184,0.98314518,0.912801484,0.990868421,1149.425546,
24111,307,0.258312092,0.265180655,0.370244962,0.364874237,0.621090482,0.516602091,0.529578461,0.500794119,0.729717016,1.240836006,8,50,36,83,0.00190,0.075174079,0.290950049,0.293855126,0.624187579,0.362455757,0.96697325,0.821489191,0.98603929,1133.183569,
24112,308,0.263578768,0.231254017,0.256237138,0.251138874,0.450387987,0.527134555,0.461872098,0.551261979,0.502256061,0.899571099,2,44,31,60,0.00041,0.012205022,0.106041907,0.083191632,0.333788865,0.117396282,0.730385127,0.692838064,0.775073028,607.3652118,
24112,309,0.264710046,0.243026094,0.326232269,0.348791934,0.592093296,0.529397774,0.485395206,0.592868535,0.697552872,1.182722699,22,60,41,59,0.00371,0.048413509,0.234305826,0.252403226,0.623829576,0.734052632,0.98394758,0.894236842,0.945644022,1253.947368,
24111,310,0.26598404,0.236037977,0.30252935,0.313742618,0.580371781,0.531944984,0.471316352,0.719932177,0.627457412,1.159324119,16,54,37,62,0.00284,0.040023514,0.20215343,0.201457309,0.544655643,0.668412258,0.933078947,0.875394737,0.907867209,765.4107831,
24111,311,0.265538771,0.241222778,0.275167355,0.280482074,0.486818037,0.531054062,0.482101549,0.58002767,0.560939017,0.97241981,15,45,63,86,0.00243,0.030512555,0.155815578,0.153985452,0.399581522,0.574434211,0.870539474,0.926144737,0.938237655,916.0734917,
24111,312,0.264614433,0.267385193,0.359879357,0.37185907,0.61279217,0.529205299,0.534163605,0.537283528,0.743685277,1.224016997,17,53,30,63,0.00437,0.085057246,0.301571652,0.316095764,0.624738453,0.646065789,0.9775,0.847697368,0.996605308,908.7901155,
24111,313,0.261608154,0.247543422,0.341039091,0.330868063,0.603019803,0.523193675,0.494712976,0.659184789,0.661706455,1.204519138,15,64,37,77,0.00100,0.043207155,0.260122363,0.232927166,0.63875085,0.499072381,0.974657228,0.900606571,0.978289759,969.2426187,
24111,314,0.26118876,0.230093758,0.313366018,0.301313307,0.650059258,0.522354678,0.459497394,0.698340052,0.602599772,1.298747681,7,66,55,72,0.00071,0.016270916,0.205196179,0.178534597,0.692919822,0.345557178,0.977974554,0.952656649,0.988605113,1139.545892,
24112,401,0.254368672,0.234262408,0.302137203,0.314096011,0.550164664,0.508713808,0.467714603,0.681838833,0.628164412,1.098915602,5,43,23,50,0.00051,0.025571224,0.167419751,0.184962831,0.528613276,0.199386826,0.870317496,0.765286385,0.891051198,238.7676508,
24112,402,0.253162922,0.239987132,0.355228908,0.371311455,0.550165171,0.506303598,0.479326931,0.725646182,0.742590437,1.098942268,5,64,24,27,0.00069,0.057671717,0.261910048,0.276757049,0.480181252,0.273279912,0.981473928,0.663864109,0.715359008,1181.702503,
24112,403,0.257663726,0.231881829,0.330527923,0.332291856,0.565937328,0.515304236,0.463412988,0.616632409,0.664554321,1.130473081,10,66,38,46,0.00143,0.044739457,0.221769507,0.228827502,0.518795075,0.399802632,0.986486842,0.911550304,0.928171053,738.571887,
24112,404,0.253715012,0.222218374,0.24872673,0.232317002,0.413505748,0.507407295,0.443934349,0.578224148,0.464614042,0.825949774,3,41,23,32,0.00019,0.012324079,0.094477238,0.081017538,0.273796057,0.18005737,0.627302632,0.578744457,0.599323675,481.8485237,
24112,405,0.253621046,0.237101863,0.290189703,0.289527055,0.550753103,0.507220097,0.473521691,0.506352087,0.579028961,1.100132269,6,53,42,71,0.00035,0.024353546,0.158291326,0.160212889,0.532046085,0.239447368,0.961197368,0.917525231,0.967157895,356.5821566,
24112,406,0.250951638,0.246071608,0.349183824,0.360679066,0.541315983,0.501881265,0.491830152,0.590510698,0.721326606,1.081320432,2,73,18,32,0.00014,0.057272021,0.257592279,0.27528483,0.48466025,0.122490066,0.979263158,0.611034356,0.862325324,1098.764442,
24112,407,0.252144237,0.242932381,0.341301504,0.352179887,0.521463223,0.504266025,0.485568277,0.619751408,0.704328811,1.041664908,8,65,18,24,0.00063,0.051794,0.24794322,0.258254811,0.459862558,0.371965421,0.980315789,0.658613929,0.692819831,1057.894737,
24112,408,0.265377043,0.243524853,0.321717343,0.324744888,0.576526447,0.530731462,0.486631457,0.562583209,0.649461269,1.151428262,6,58,44,69,0.00052,0.032695336,0.188506768,0.192482643,0.591465767,0.32432468,0.954183608,0.909368421,0.958171053,410.707638,
24112,409,0.264103557,0.229429946,0.256960143,0.251442368,0.408987838,0.528185036,0.458346417,0.700335567,0.502863273,0.816808291,3,43,18,41,0.00029,0.010035341,0.088306736,0.070477523,0.275711231,0.194484283,0.608055475,0.523605263,0.630768016,482.1662388,
24112,410,0.26320584,0.244784033,0.34957839,0.370373003,0.566845982,0.52638824,0.489278181,0.712990557,0.740712424,1.132008357,3,70,26,36,0.00040,0.051450366,0.248183142,0.282126677,0.554703336,0.213891922,0.982237076,0.782789474,0.905553874,1025.064185,
24112,411,0.260917879,0.246157487,0.316667408,0.317469007,0.532364372,0.521814087,0.492024087,0.740875447,0.634910018,1.063183467,12,84,40,74,0.00111,0.032933042,0.205757716,0.19713079,0.511070135,0.485717293,0.990855143,0.812094578,0.977790058,719.2715019,
24112,412,0.258462911,0.232831435,0.268494142,0.282965857,0.546776537,0.516903418,0.465119808,0.626630615,0.565907418,1.0920483,1,44,44,61,0.00009,0.013429441,0.118571578,0.135601336,0.534099231,0.058698141,0.936723684,0.928355263,0.952735598,625,
24112,413,0.254525582,0.251971,0.32982254,0.346277233,0.60063727,0.509029535,0.50335292,0.682631778,0.692523609,1.199552852,18,75,34,56,0.00239,0.048987361,0.222981091,0.239636598,0.627487135,0.636307417,0.981881579,0.894592105,0.919394737,1185.394737,
24112,414,0.248345015,0.233966655,0.259098459,0.25888628,0.420833316,0.496668469,0.467476285,0.518604426,0.517750507,0.840511469,5,32,31,37,0.00029,0.013142517,0.102135829,0.091784118,0.318298919,0.202936881,0.701005246,0.620034474,0.705132535,610.9146341,
