fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,pntcounts,Thresh_sum,Thresh_mean,NDVI_mean,_mean,HAreamean
"1529",2024/06/04,02:19:09pm,4.71,"905",D7,45.43303241,-73.93887061,39.021,"0","0",,"1",500938ad2f841179,"1","4","302","302",3,48,0.000406132602294649,0.261523190200852,0.523022728790014,0.174510861699188
"1530",2024/06/04,02:19:22pm,4.71,"905",D5,45.43300564,-73.9389516,39.021,"0","0",,"1",500938ba669012e1,"1","3","209","209",7,91,0.000769966239941787,0.265556814825369,0.531090740495421,0.32042999434218
"1531",2024/06/04,02:19:34pm,4.71,"905",D3,45.43297856,-73.9390323,39.021,"0","0",,"1",500938c669fc4194,"1","2","202","202",15,110,0.000930728421907655,0.260984975682337,0.521947273205772,0.56507723480961
"1532",2024/06/04,02:19:47pm,4.71,"905",D1,45.4329516,-73.93911321,39.021,"0","0",,"1",500938d31d4cc688,"1","1","109","109",16,290,0.00245373856684745,0.260183241012656,0.520344384023762,0.449244088893567
"1533",2024/06/04,02:20:00pm,4.71,"905",D-1,45.4329247,-73.93919406,39.021,"0","0",,"1",500938e02a9ec38d,"1","0","102","102",37,371,0.0031391196926878,0.273994325694908,0.547964201268478,0.899475006907804
"1534",2024/06/04,02:20:58pm,4.71,"905",U-1,45.43290041,-73.93917769,39.021,"0","0",,"1",5009391a2cd19750,"2","0","103","103",23,170,0.00143838629979355,0.269765042963858,0.539505423630274,0.713552631578947
"1535",2024/06/04,02:21:11pm,4.71,"905",U1,45.43292639,-73.93909621,39.021,"0","0",,"1",500939272161cf8e,"2","1","110","110",5,25,0.000211527397028463,0.258879092061033,0.517735358057417,0.120184210526316
"1536",2024/06/04,02:21:23pm,4.71,"905",U3,45.43295377,-73.93901557,39.021,"0","0",,"1",500939332035b4b3,"2","2","203","203",39,419,0.00354519917419704,0.262940922198943,0.525858760221306,0.885960526315789
"1537",2024/06/04,02:21:51pm,4.71,"905",U5,45.43298071,-73.93893478,39.02,"0","0",,"1",5009394f377e7978,"2","3","210","210",18,450,0.00380746093122033,0.266000716300412,0.53197709931514,0.555078947368421
"1538",2024/06/04,02:22:04pm,4.71,"905",U7,45.43300744,-73.93885375,39.02,"0","0",,"1",5009395c17548ec5,"2","4","303","303",3,37,0.000313063196459848,0.258113321941146,0.516203968434717,0.178247654636123
"1539",2024/06/04,02:22:17pm,4.71,"905",U9,45.43303463,-73.93877308,39.02,"0","0",,"1",500939696854b105,"2","5","310","310",16,336,0.00284302443647194,0.265984040434394,0.531944983638479,0.668412257733451
"1540",2024/06/04,02:22:29pm,4.71,"905",U11,45.43306147,-73.93869215,39.02,"0","0",,"1",5009397538f822dd,"2","6","403","403",10,169,0.00142992520391241,0.257663726228231,0.515304235898555,0.399802631578947
"1541",2024/06/04,02:22:42pm,4.71,"905",U13,45.43308844,-73.9386113,39.02,"0","0",,"1",50093982458e6078,"2","7","410","410",3,47,0.000397664777053896,0.263205840496755,0.526388239947747,0.213891922474704
"1542",2024/06/04,02:27:37pm,4.71,"905",D13,45.43306279,-73.93859418,39.02,"0","0",,"1",50093aa91c5e3ec4,"3","7","411","411",12,131,0.0011083941821997,0.260917879289059,0.521814086972589,0.485717293193511
"1543",2024/06/04,02:27:50pm,4.71,"905",D11,45.43303634,-73.93867533,39.02,"0","0",,"1",50093ab67d023af4,"3","6","404","404",3,23,0.000194603558706817,0.253715012345143,0.5074072945058,0.180057369930788
"1544",2024/06/04,02:28:09pm,4.71,"905",D9,45.43301019,-73.93875676,39.02,"0","0",,"1",50093ac93b20d3c3,"3","5","311","311",15,287,0.00242831397168941,0.265538770613247,0.531054062499927,0.574434210526316
"1545",2024/06/04,02:28:21pm,4.71,"905",D7,45.43298281,-73.93883734,39.02,"0","0",,"1",50093ad5406f8ce0,"3","4","304","304",14,305,0.0025806779144738,0.257547682304254,0.515072234779134,0.509940920275267
"1546",2024/06/04,02:28:34pm,4.71,"905",D5,45.43295598,-73.93891824,39.02,"0","0",,"1",50093ae27784cc33,"3","3","211","211",23,303,0.0025637554363461,0.264983801622183,0.529944320017064,0.623281272614834
"1547",2024/06/04,02:28:47pm,4.71,"905",D3,45.43292895,-73.93899903,39.02,"0","0",,"1",50093aef17380c91,"3","2","204","204",15,164,0.00138764320647116,0.264004091181681,0.527984968350105,0.604773558590563
"1548",2024/06/04,02:28:59pm,4.71,"905",D1,45.43290187,-73.9390798,39.02,"0","0",,"1",50093afb12549ffc,"3","1","111","111",27,211,0.00178529123092023,0.260700159129268,0.521377293502968,0.782342105263158
"1549",2024/06/04,02:29:12pm,4.71,"905",D-1,45.4328751,-73.93916081,39.021,"0","0",,"1",50093b08785a7bd0,"3","0","104","104",38,272,0.0023013986073154,0.269175696133406,0.538326707040697,0.895209147488783
"1550",2024/06/04,02:30:00pm,4.71,"905",U-1,45.43285046,-73.93914412,39.02,"0","0",,"1",50093b3805b857f6,"4","0","105","105",24,171,0.00144688412235055,0.262608065607129,0.525193066206108,0.720710526315789
"1551",2024/06/04,02:30:13pm,4.71,"905",U1,45.43287695,-73.93906298,39.02,"0","0",,"1",50093b45131a1f8a,"4","1","112","112",6,40,0.00033844097166403,0.256236681907167,0.512451350260632,0.29531190379074
"1552",2024/06/04,02:30:25pm,4.71,"905",U3,45.43290416,-73.93898236,39.02,"0","0",,"1",50093b5177614e40,"4","2","205","205",19,133,0.00112532575219142,0.265710942397269,0.531398157041441,0.557467861419229
"1553",2024/06/04,02:30:38pm,4.71,"905",U5,45.43293104,-73.93890134,39.02,"0","0",,"1",50093b5e4c336168,"4","3","212","212",11,129,0.00109148136866687,0.261868827820971,0.523714935035309,0.499980262898196
"1554",2024/06/04,02:30:51pm,4.71,"905",U7,45.43295813,-73.93882066,39.02,"0","0",,"1",50093b6b45d1b542,"4","4","305","305",9,254,0.00214915472221752,0.254049000928085,0.508075440308291,0.357074249023039
"1555",2024/06/04,02:31:03pm,4.71,"905",U9,45.43298503,-73.93873976,39.02,"0","0",,"1",50093b771410315b,"4","5","312","312",17,517,0.00437442358296598,0.264614432645566,0.529205299256807,0.646065789473684
"1556",2024/06/04,02:31:16pm,4.71,"905",U11,45.433012,-73.93865893,39.02,"0","0",,"1",50093b8410c2a505,"4","6","405","405",6,41,0.00034690199595563,0.253621045619324,0.507220096541334,0.239447368421053
"1557",2024/06/04,02:31:29pm,4.71,"905",U13,45.43303878,-73.93857797,39.02,"0","0",,"1",50093b9138442333,"4","7","412","412",1,11,9.30728421907655e-05,0.258462910556532,0.516903417942831,0.0586981407650101
"1558",2024/06/04,02:32:41pm,4.71,"905",D13,45.43301335,-73.93856101,39.019,"0","0",,"1",50093bd918887c7b,"5","7","413","413",18,283,0.0023944901343622,0.254525582202865,0.50902953517943,0.636307417007671
"1559",2024/06/04,02:32:54pm,4.71,"905",D11,45.43298676,-73.9386421,39.019,"0","0",,"1",50093be6278a06c1,"5","6","406","406",2,16,0.000135380970512332,0.250951638418785,0.501881264628751,0.12249006552804
"1560",2024/06/04,02:33:06pm,4.71,"905",D9,45.43296038,-73.93872333,39.02,"0","0",,"1",50093bf2355ce56d,"5","5","313","313",15,118,0.000998400866408888,0.261608154429532,0.523193674817391,0.499072380626571
"1561",2024/06/04,02:33:19pm,4.71,"905",D7,45.43293318,-73.93880404,39.02,"0","0",,"1",50093bff4709aa8e,"5","4","306","306",11,169,0.00142990100685337,0.255641839826569,0.511261445214779,0.493980183949789
"1562",2024/06/04,02:33:31pm,4.71,"905",D5,45.43290636,-73.93888497,39.02,"0","0",,"1",50093c0b5d6e7315,"5","3","213","213",4,59,0.000499213104767062,0.259470934066714,0.518919270370611,0.214437032066211
"1563",2024/06/04,02:33:44pm,4.71,"905",D3,45.43287938,-73.93896581,39.02,"0","0",,"1",50093c18201d5006,"5","2","206","206",28,308,0.00260597343260851,0.263017179744466,0.526012140380876,0.820184210526316
"1564",2024/06/04,02:33:57pm,4.71,"905",D1,45.43285247,-73.93904663,39.02,"0","0",,"1",50093c255287cdd6,"5","1","113","113",2,8,6.76881943328059e-05,0.26141600304923,0.522808344171723,0.116365358806347
"1565",2024/06/04,02:34:09pm,4.71,"905",D-1,45.43282555,-73.93912752,39.02,"0","0",,"1",50093c313a5b4233,"5","0","106","106",51,387,0.00327441640084949,0.271578972538414,0.543133823484551,0.920304728822926
"1566",2024/06/04,02:35:04pm,4.71,"905",U-1,45.43280096,-73.93911093,39.02,"0","0",,"1",50093c68674bddc2,"6","0","107","107",44,376,0.0031813989694298,0.269863015383018,0.539701652024789,0.833328947368421
"1567",2024/06/04,02:35:17pm,4.71,"905",U1,45.43282726,-73.93902964,39.02,"0","0",,"1",50093c751594fd99,"6","1","114","114",10,112,0.00094765075685143,0.258033111941241,0.516043754989698,0.418881578947368
"1568",2024/06/04,02:35:30pm,4.71,"905",U3,45.43285465,-73.93894913,39.02,"0","0",,"1",50093c8200f4da49,"6","2","207","207",13,160,0.00135376388665612,0.263419872209777,0.526817331240631,0.453460526315789
"1569",2024/06/04,02:35:42pm,4.71,"905",U5,45.43288139,-73.93886804,39.02,"0","0",,"1",50093c8e6f31b554,"6","3","214","214",15,378,0.00319829424307036,0.26427001006747,0.528516775211267,0.553723684210526
"1570",2024/06/04,02:35:55pm,4.71,"905",U7,45.43290856,-73.93878739,39.019,"0","0",,"1",50093c9b5b838619,"6","4","307","307",8,224,0.00189528547737503,0.258312092052561,0.516602091041116,0.36245575716109
"1571",2024/06/04,02:36:07pm,4.71,"905",U9,45.43293551,-73.93870658,39.019,"0","0",,"1",50093ca71aaea32f,"6","5","314","314",7,84,0.000710744081363275,0.26118876014537,0.52235467804188,0.345557178383926
"1572",2024/06/04,02:36:20pm,4.71,"905",U11,45.43296222,-73.93862553,39.019,"0","0",,"1",50093cb463aa4ae6,"6","6","407","407",8,75,0.000634587560391583,0.252144236924852,0.504266025256812,0.371965420597639
"1573",2024/06/04,02:36:33pm,4.71,"905",U13,45.4329891,-73.93854462,39.019,"0","0",,"1",50093cc1072c464e,"6","7","414","414",5,34,0.000287679694044184,0.248345015259733,0.496668469378224,0.202936880748431
"77777",2025/04/24,,,,,,,,,,,,,,,,,0,70,0.0120336943441637,0.154830306634773,0.309639269278857,
