fid,Date,Time,Version,Id,Name,UniqueID,Plot Numbe,qGISPlotID,BLOC,SPACING,DENSITY,VARIETY,Yield,618ExG_mean,618ExG_variance,618ExR_mean,618ExR_variance,618gNDVI_mean,618gNDVI_variance,618NVI_mean,618NVI_variance,618HA_mean,618HA_variance,PLTCOUNT
"1133",2024/06/05,01:13:01pm,4.71,"905",D5,50093aad1f4f98d9,"4004","4004","1","22""","150000",Merlot,"2033",2580.46868444121,1069805.33828271,16611.2610090491,14939708.2409788,0.350624130062929,0.00257614985762733,0.225886391188259,0.00309940801517815,0.999314814814815,0.000684715706446282,55
"1134",2024/06/05,01:13:21pm,4.71,"905",D3,50093ac156fbaaaa,"3004","3004","1","22""","150000",Apex,"2070",2911.36600644138,2691614.9519835,15834.8732199674,18238242.5698754,0.364195080950619,0.0034112521342724,0.243686050595429,0.00667256252495489,1,0,84
"1135",2024/06/05,01:16:00pm,4.71,"905",D1,50093b6010aece59,"2004","2004","1","22""","150000",ETNA,"246",2451.13653107456,1970058.82952239,16091.4170762559,15964356.4472623,0.372549633057358,0.00250004748722079,0.235813182697421,0.0039945258395772,0.502759157068257,0.249992387052309,12
"1136",2024/06/05,01:16:21pm,4.71,"905",D-1,50093b751d2f7dd1,"1004","1004","1","22""","150000",black bear,,2178.84941544947,1045164.21992014,16421.3980317323,13869963.3643343,0.370045551781054,0.00228273626636909,0.23289031798268,0.00148908136617159,0,0,0
"1137",2024/06/05,01:20:55pm,4.71,"905",U-1,50093c8714729c7e,"1005","1005","1","22""","75000",Nautica,"640",2237.41964936472,1175209.85849504,15688.4695272223,14047032.8034154,0.387879892767443,0.00216139107528442,0.241233080473558,0.00279858046639156,0.960628900535195,0.0378210159917889,54
"1138",2024/06/05,01:21:16pm,4.71,"905",U1,50093c9c26288129,"2005","2005","1","22""","75000",Merlot,"1184",2411.88518325175,1132512.85022293,16434.6058468257,14549168.8222756,0.364453669134092,0.00212396795539526,0.227238899378932,0.00194604774308484,0.87178252657309,0.111777752934717,27
"1139",2024/06/05,01:21:38pm,4.71,"905",U3,50093cb203f8fc88,"3005","3005","1","22""","75000",Apex,"1880",2651.61078882312,1845620.36960674,16364.8013879009,15204823.1613017,0.359897195621008,0.00251771466258775,0.229940762970051,0.00307526640664399,0.999962962962963,3.70356652949198e-05,54
"1140",2024/06/05,01:21:59pm,4.71,"905",U5,50093cc72765baa6,"4005","4005","1","22""","75000",black bear,"2013",2670.06176560392,1094762.10225319,16892.0440818744,14610821.3895581,0.351112456180332,0.00228290243740582,0.223673703299375,0.00228682167724957,0.988407192725791,0.0114584140936928,46
"1141",2024/06/05,01:22:20pm,4.71,"905",U7,50093cdc016267f4,"5005","5005","1","22""","75000",ETNA,"963",2838.82363022131,1447736.8302365,16616.6954918886,15188649.1316672,0.354242031610842,0.00284676061464774,0.224886300540018,0.00376892874103579,0.999018554868338,0.00098048189711549,57
"1142",2024/06/05,01:22:39pm,4.71,"905",U9,50093cef4993fa4b,"6005","6005","1","22""","75000",Zorro,"2134",2635.11745296957,1318860.78375231,16598.2032533981,17528508.4494449,0.353153630614862,0.00250996801273243,0.215125088981068,0.00267505675033626,0.950442608985518,0.0471014560103503,46
"1143",2024/06/05,01:22:57pm,4.71,"905",U11,50093d01697e9780,"7005","7005","1","22""","75000",T9905,"1669",2624.52030966827,1323450.72157556,16796.0141230222,15726107.920138,0.343784812859912,0.00229490646022432,0.217300146624264,0.00220324919165052,0.93288764606752,0.0626082858821092,35
"1144",2024/06/05,01:23:16pm,4.71,"905",U13,50093d14018dbcf8,"8005","8005","1","22""","75000",Cayenne,"1947",2526.54952772114,1373333.1705739,16894.0584913388,16752141.6221405,0.349123634837662,0.00233966937742287,0.221481832004264,0.00219664747508356,0.63462962962963,0.231874862826019,24
"1145",2024/06/05,01:23:34pm,4.71,"905",U15,"50093d2601108569","9005","9005","1","22""","75000",Red Dawn,"667",2677.91087451123,1833547.94087026,16503.4950438006,17487104.1310342,0.359767415338755,0.00257310490855477,0.224935841992959,0.00310948293024182,0.993888888888889,0.00607376543209247,47
"1146",2024/06/05,01:23:51pm,4.71,"905",U17,50093d373d99495b,"10005","10005","1","22""","75000",Redhawk,"657",2338.75156851737,1631269.63735301,15878.4171529358,19127975.4789936,0.393667742339118,0.00313007596794916,0.237445772614385,0.00413349579588905,1,0,79
"1147",2024/06/05,01:24:10pm,4.71,"905",U19,50093d4a62b3f9cf,"11005","11005","1","22""","75000",Ronnies red,"974",2526.67385009357,2056423.51001546,16340.4357338116,16298802.6167142,0.357671297609481,0.00310138725090904,0.230467238095877,0.00290559848746034,0.998018445127597,0.00197762831269095,42
"1148",2024/06/05,01:24:28pm,4.71,"905",U21,50093d5c6ef13363,"12005","12005","1","22""","75000",Eclipse,"1606",2685.14614399685,1221149.90965739,16521.7656556035,13889098.7714203,0.336673444923524,0.00283098910714527,0.22680542955136,0.00272633425411228,0.96479434042632,0.0339662211076337,62
"1149",2024/06/05,01:24:45pm,4.71,"905",U23,50093d6d05b62247,"13005","13005","1","22""","75000",CLERK,"838",2663.39891856755,1550027.32570618,16785.525152943,16682590.0553639,0.345318077244361,0.00227224165333447,0.22556725454662,0.00235405233908464,0.998388829215897,0.00160857491280752,58
"1150",2024/06/05,01:25:03pm,4.71,"905",U25,50093d7f232123d5,"14005","14005","1","22""","75000",Windbreaker,"1572",2544.72037545923,1555699.16175145,16051.0083627729,15853548.1237507,0.35648878267383,0.00265385596059426,0.226567251296155,0.00326532621228686,1,0,60
"1151",2024/06/05,01:25:21pm,4.71,"905",U27,"50093d9110323852","15005","15005","1","22""","75000",Red Rover,"949",2270.26168620112,1192182.50690691,15667.9465216129,16964319.6491339,0.355028953218749,0.0024249607786386,0.222129593293481,0.00271428294262808,1,0,52
"1152",2024/06/05,01:26:52pm,4.71,"905",D27,50093dec471444ef,"15006","15006","1","22""","100000",Nautica,"1353",2445.76308480252,1387781.72285278,15929.4575812674,16412776.8147809,0.357456987698208,0.00244133128890766,0.224381206271328,0.0027674301783355,0.976276899144413,0.0231603153413725,64
"1153",2024/06/05,01:27:10pm,4.71,"905",D25,50093dfe7d100e83,"14006","14006","1","22""","100000",Red Dawn,"705",2607.88463621948,1667989.89965376,15662.0899791649,17199396.6534306,0.367613901501009,0.00300312622879139,0.239858578426294,0.00474568409218981,1,0,71
"1154",2024/06/05,01:27:36pm,4.71,"905",D23,50093e1823314e52,"13006","13006","1","22""","100000",T9905,"2324",2589.43300502315,1186994.28307693,16901.3746756823,15494449.1683027,0.340004937211102,0.00245668512853478,0.218088123116209,0.00175255799071997,0.974741676234214,0.0246203408463173,31
"1155",2024/06/05,01:27:55pm,4.71,"905",D21,50093e2b6f97a91d,"12006","12006","1","22""","100000",Ronnies red,"828",2857.00976056574,2591970.58871998,16321.2541733234,18100898.6856697,0.328956823081412,0.0034453486327427,0.23087611491105,0.00436007178152567,1,0,71
"1156",2024/06/05,01:28:13pm,4.71,"905",D19,50093e3d661dbf35,"11006","11006","1","22""","100000",Redhawk,"1079",2581.01506973446,1636451.54019524,15970.7379261823,17871037.6781638,0.34713629936268,0.00343208492872608,0.236652636055948,0.00404056921597864,0.993851396399733,0.00611079827405358,82
"1157",2024/06/05,01:28:31pm,4.71,"905",D17,50093e4f48d907d9,"10006","10006","1","22""","100000",ETNA,"1050",2396.0541120851,1355246.1556654,15591.7485837265,17733481.7429178,0.40041212069892,0.00293993370883892,0.248003200994782,0.00503531590702606,1,0,83
"1158",2024/06/05,01:28:49pm,4.71,"905",D15,50093e6102271d57,"9006","9006","1","22""","100000",CLERK,"527",2827.31304664723,1732656.22779371,16277.5490398189,17284174.9157303,0.353980009893153,0.00260822664328437,0.227339560747427,0.00351935767644335,1,0,78
"1159",2024/06/05,01:29:16pm,4.71,"905",D13,50093e7c1c9ce21b,"8006","8006","1","22""","100000",Apex,"1921",2805.88146127177,2218086.93247562,16668.2675985081,16877565.7023167,0.333589583518181,0.00351351011056068,0.228452163614373,0.00369822647308406,0.998277713989407,0.0017193197414907,76
"1160",2024/06/05,01:29:34pm,4.71,"905",D11,50093e8e401d5fb2,"7006","7006","1","22""","100000",black bear,"2485",2649.96533078567,1551601.77015853,16676.4536234142,17848856.6957258,0.347524481657558,0.0030445254198936,0.223201954693412,0.00355059364617705,0.988851851851852,0.0110238669410177,71
"1161",2024/06/05,01:29:52pm,4.71,"905",D9,50093ea0702bbc37,"6006","6006","1","22""","100000",Red Rover,"1080",2664.54959568999,1909330.32201996,16232.4257447808,20057180.9854764,0.357455402867947,0.00282653024449769,0.221304061854476,0.0039608409409822,1,0,67
"1162",2024/06/05,01:30:25pm,4.71,"905",D7,50093ec17d613543,"5006","5006","1","22""","100000",Merlot,"1218",2651.805551178,1173299.68421707,16733.8218396486,14728187.7361506,0.356782720394395,0.00243543498841602,0.222271568360963,0.00238302921369667,0.871224606951723,0.112192291193584,30
"1163",2024/06/05,01:30:43pm,4.71,"905",D5,50093ed314efc56b,"4006","4006","1","22""","100000",Eclipse,"2481",2594.58481404145,1218314.79047814,16764.0628868045,16678903.5104321,0.362189441521106,0.00251006166558243,0.230277825989237,0.00254277880468463,1,0,66
"1164",2024/06/05,01:31:01pm,4.71,"905",D3,50093ee5117aba33,"3006","3006","1","22""","100000",Zorro,"1680",2668.84478326389,1880593.05962769,15797.1912955146,17407628.1248192,0.36205413708094,0.00318568654452148,0.23622583560401,0.00423445439470572,0.965463602525879,0.0333436347236308,75
"1165",2024/06/05,01:31:19pm,4.71,"905",D1,50093ef72ee29062,"2006","2006","1","22""","100000",Windbreaker,"1723",2583.40743622575,1740556.81472062,15882.3940097875,14486629.6947369,0.366558556403683,0.00224207866972117,0.232570159284869,0.00307280041319979,1,0,59
"1166",2024/06/05,01:31:37pm,4.71,"905",D-1,50093f095810cb46,"1006","1006","1","22""","100000",Cayenne,"2565",2213.73617909801,1142922.86554155,15660.0815187165,15856584.3279188,0.391579059767329,0.0031892865558791,0.239445920239902,0.00477222798975801,0.99907405692698,0.000925085702445398,62
"1167",2024/06/05,01:32:54pm,4.71,"905",U-1,50093f564fd0bef8,"1007","1007","2","22""","75000",Red Rover,"846",2216.73740039988,1274537.02759324,15931.2568623868,14631296.868674,0.386022480632906,0.00235998747370511,0.233441793957451,0.00370678084969544,1,0,57
"1168",2024/06/05,01:33:12pm,4.71,"905",U1,50093f68189a7b3a,"2007","2007","2","22""","75000",Zorro,"2007",2335.32454101332,1162827.10998322,16161.8031506679,14820125.4556422,0.366069349341971,0.00223780079589658,0.229155405986018,0.00243277646180394,0.9749430523918,0.0244290969847712,53
"1169",2024/06/05,01:33:30pm,4.71,"905",U3,50093f7a29d4f6ac,"3007","3007","2","22""","75000",ETNA,"882",2461.30179851864,1273372.92561255,15929.6510252017,16134043.8316739,0.36510511116551,0.00272443653479398,0.235205067374798,0.00339223339805677,0.998722151230624,0.00127621587190005,61
"1170",2024/06/05,01:33:48pm,4.71,"905",U5,50093f8c1efd04ca,"4007","4007","2","22""","75000",Apex,"2140",2762.63402214168,1930144.50508588,16998.6927313011,17094582.6869258,0.360857052682632,0.00233733810933746,0.229993091317205,0.00279533959637758,0.963908744120588,0.0347886771284535,45
"1171",2024/06/05,01:34:07pm,4.71,"905",U7,50093f9f26234741,"5007","5007","2","22""","75000",Red Dawn,"486",2718.76955883657,1684463.83437509,16772.1296815895,15078937.3308605,0.35882362820619,0.00237524091335901,0.225525127033055,0.00304757482381173,0.998666691357567,0.00133153093049537,45
"1172",2024/06/05,01:34:25pm,4.71,"905",U9,50093fb1215d43bd,"6007","6007","2","22""","75000",T9905,"2005",2526.73405627949,1127402.31002229,16823.0154885511,14917112.5921164,0.346250285615237,0.00232803211149583,0.209345985718638,0.00194345686339294,0.825240740740741,0.144218460562541,29
"1173",2024/06/05,01:34:43pm,4.71,"905",U11,50093fc32eaae622,"7007","7007","2","22""","75000",Windbreaker,"2037",2748.54769033783,1781263.64063414,16432.6447600293,14101836.9964078,0.33733079615277,0.00237506748815026,0.221329129885336,0.003249998963327,0.990314635456212,0.00959155825744987,47
"1174",2024/06/05,01:35:01pm,4.71,"905",U13,50093fd512b7d88f,"8007","8007","2","22""","75000",Nautica,"2316",2842.190451801,2037683.40600454,17066.6023843906,16197114.2922362,0.32159400039789,0.00306171735909148,0.226590956391756,0.00339851058668381,0.992647875847254,0.00729807042319954,70
"1175",2024/06/05,01:35:19pm,4.71,"905",U15,50093fe772614705,"9007","9007","2","22""","75000",Merlot,"1482",2673.61431709167,1063243.48916495,16911.4063714559,12103023.7134669,0.342180853598971,0.00204376782417285,0.213767038581392,0.00190556583517351,0.956148960204441,0.0419281261044295,35
"1176",2024/06/05,01:35:37pm,4.71,"905",U17,50093ff904294a4c,"10007","10007","2","22""","75000",black bear,"1906",2356.13599921206,1247032.08308995,16213.4361551406,16847330.7604354,0.401474161068759,0.00270533957988299,0.242212697853517,0.00298137194635358,0.988296079557029,0.0115669386892191,48
"1177",2024/06/05,01:35:55pm,4.71,"905",U19,5009300b7ee4e0e6,"11007","11007","2","22""","75000",Eclipse,,2469.92235036885,1279416.34179834,16641.8932812403,17451926.1388822,0.341675995471111,0.00328362557132193,0.227976255776158,0.00266610948191584,0.998074145402022,0.00192214568204061,61
"1178",2024/06/05,01:36:12pm,4.71,"905",U21,5009301c6c9768a8,"12007","12007","2","22""","75000",CLERK,"727",2750.597165314,1603176.41241297,16545.7766241498,16641765.2013073,0.329128770711858,0.00264412195088272,0.219054212992193,0.00317607801058596,0.994722222222222,0.00524992283950619,56
"1179",2024/06/05,01:36:29pm,4.71,"905",U23,5009302d7bda45c4,"13007","13007","2","22""","75000",Ronnies red,"932",2494.66136768805,1653242.44850718,16425.4605813381,15414335.6039444,0.349823379167676,0.00234348810233492,0.223378337782392,0.00250492620301021,0.825095831558675,0.144312700303364,33
"1180",2024/06/05,01:38:32pm,4.71,"905",U25,500930a879a7bcb7,"14007","14007","2","22""","75000",Redhawk,"322",2387.22737569931,1055970.87223261,15971.4110522061,13851051.1312481,0.364777516025706,0.00235881603318554,0.237813479977129,0.00254114290843519,0.709264643247347,0.206208309086404,35
"1181",2024/06/05,01:38:48pm,4.71,"905",U27,500930b8015b0226,"15007","15007","2","22""","75000",Cayenne,"2032",2301.35129172371,984438.267262984,15773.065166856,16690309.1545104,0.366038128487951,0.00240005320514986,0.234113006475921,0.0024913176199549,0.998962962962963,0.00103596159122067,47
"1182",2024/06/05,01:41:13pm,4.71,"905",D27,"5009314965442930","15008","15008","2","22""","150000",Windbreaker,"1502",2500.24918003723,2216482.67435898,16005.3206915132,21312647.2353755,0.38268686301695,0.00271865560023681,0.252685117538109,0.0038441619508673,0.999925928669309,7.40658441292694e-05,71
"1183",2024/06/05,01:41:30pm,4.71,"905",D25,5009315a069adb8e,"14008","14008","2","22""","150000",Redhawk,,2298.67611862387,1128833.44109172,15663.306837644,16749256.9531386,0.379053540790016,0.00240721699455474,0.25297648477678,0.00296380382853655,1,0,58
"1184",2024/06/05,01:41:47pm,4.71,"905",D23,5009316b170729f3,"13008","13008","2","22""","150000",Cayenne,"2029",2590.69952723333,1216633.02068824,16280.3549284257,17463172.7525351,0.361605774484887,0.00317684678506249,0.234142874162604,0.00420616874089626,1,0,92
"1185",2024/06/05,01:43:10pm,4.71,"905",D21,500931be718e62fc,"12008","12008","2","22""","150000",ETNA,"218",2627.62338839149,1846395.22645255,16646.0712736565,16918246.6338826,0.342450035192336,0.00341812513841364,0.219992050380508,0.00464352463455512,0.71509786855799,0.203732906941971,34
"1186",2024/06/05,01:43:27pm,4.71,"905",D19,500931cf441ba1bb,"11008","11008","2","22""","150000",Apex,"1864",2814.85369985522,3529001.68577929,16620.7249795989,21238803.9650822,0.353798958029233,0.0047574318922305,0.23627894014038,0.0053733300233631,0.998962962962963,0.00103596159122063,74
"1187",2024/06/05,01:43:44pm,4.71,"905",D17,500931e05692012d,"10008","10008","2","22""","150000",Red Rover,"1045",2852.73169962966,2730640.92988627,15404.7253029878,23674912.9435671,0.404290877451844,0.00375307441345579,0.264798042065463,0.00770845947882007,1,0,87
"1188",2024/06/05,01:44:01pm,4.71,"905",D15,500931f15831b7e0,"9008","9008","2","22""","150000",Zorro,"1911",2933.27056042549,2953666.36444113,15980.6732429612,20740895.6136271,0.366515204562965,0.0040269257716302,0.242218834281216,0.00711560647832099,1,0,96
"1189",2024/06/05,01:44:18pm,4.71,"905",D13,500932020f58c618,"8008","8008","2","22""","150000",black bear,"2266",2687.64179060376,1766277.85544452,16526.1640947333,20729807.8761284,0.322787981939793,0.00399857917901724,0.234957914701061,0.00461241728713297,1,0,89
"1190",2024/06/05,01:44:35pm,4.71,"905",D11,5009321313b82097,"7008","7008","2","22""","150000",Eclipse,"2113",2859.04401654683,1293345.29487134,16168.8458572164,15768861.3245444,0.343085897901412,0.00351915414600448,0.2291819009148,0.00530391675168659,1,0,111
"1191",2024/06/05,01:44:52pm,4.71,"905",D9,50093224293f387a,"6008","6008","2","22""","150000",T9905,"2690",2726.6898355166,1346077.64975483,16560.93503061,15842425.8551995,0.350699681768393,0.00236456210003209,0.217706719738872,0.00274616905462286,0.998759282235514,0.00123917838391893,72
"1192",2024/06/05,01:45:08pm,4.71,"905",D7,500932344a5c82a7,"5008","5008","2","22""","150000",CLERK,"1081",3047.67162076981,2984034.27075713,16102.0515787975,18924779.1742188,0.365793276733541,0.00310607257120205,0.241731829169704,0.00667120111226304,1,0,84
"1193",2024/06/05,01:47:21pm,4.71,"905",D5,500932b92c1203b8,"4008","4008","2","22""","150000",Red Dawn,"741",3024.39013700249,3588103.51361962,16093.2766543889,19682720.0680033,0.366721289722916,0.0031924874597833,0.243530689261206,0.00665937459214876,1,0,65
"1194",2024/06/05,01:47:38pm,4.71,"905",D3,500932ca52befd13,"3008","3008","2","22""","150000",Ronnies red,"991",2745.24251676894,3042196.31773566,15475.8136069453,19155214.1202087,0.36397781261851,0.00324743035512154,0.244170202699565,0.0063944059077562,1,0,68
"1195",2024/06/05,01:47:55pm,4.71,"905",D1,500932db3f68c504,"2008","2008","2","22""","150000",Merlot,"1672",2134.87147641091,948777.008745158,15745.6890507282,16564864.7990079,0.362799776498568,0.00229430750219752,0.226630832864249,0.00225903964692859,0.902537037037037,0.0879639338134554,37
"1196",2024/06/05,01:48:12pm,4.71,"905",D-1,500932ec37f669d8,"1008","1008","2","22""","150000",Nautica,"2344",2456.16153179419,3704944.40517766,15405.5586412124,17316034.3357812,0.39278793660157,0.00275419337333424,0.247542753588126,0.00570572760281607,1,0,88
"1197",2024/06/05,01:55:12pm,4.71,"905",U-1,5009349016d0c1e6,"1009","1009","2","22""","100000",black bear,"2448",2141.75362946912,1320664.82461624,15812.5004721763,16950728.4318098,0.386321961112731,0.00240869724613821,0.238284201100183,0.00351135529307278,0.975296753763819,0.0240929958615885,68
"1198",2024/06/05,01:55:29pm,4.71,"905",U1,500934a12dcf6cf7,"2009","2009","2","22""","100000",Merlot,"1742",2183.63594011622,961139.951642421,15813.0144796142,14171383.1788786,0.357754046245228,0.00246570220786072,0.22383679939147,0.00262828415311734,0.97879511824731,0.0207552347425,49
"1199",2024/06/05,01:55:46pm,4.71,"905",U3,500934b27225f4d2,"3009","3009","2","22""","100000",CLERK,"893",2596.87069831577,1665263.27820865,15629.7487603498,16641153.9534115,0.357517560416594,0.00288375007095636,0.230365734458262,0.00421162584860187,1,0,74
"1200",2024/06/05,01:56:03pm,4.71,"905",U5,500934c32d56d963,"4009","4009","2","22""","100000",Ronnies red,"987",2875.31273146324,2971954.31106162,16659.8737320321,18778040.4557886,0.361591614528239,0.00264624660708417,0.23259066607792,0.00422369566816638,1,0,62
"1201",2024/06/05,01:56:21pm,4.71,"905",U7,500934d518d9f9d5,"5009","5009","2","22""","100000",Redhawk,"854",2905.29978331528,2171494.29528707,16354.5800212754,18277694.1562576,0.370992033780981,0.00327680271772891,0.243558341237878,0.00541324563220163,1,0,88
"1202",2024/06/05,01:56:37pm,4.71,"905",U9,500934e559d15090,"6009","6009","2","22""","100000",ETNA,"1089",2682.13339899537,1478625.96199393,16177.141439302,17110208.7736001,0.35096883909821,0.00279084568578757,0.223859822100626,0.00413923686345593,0.999944443415619,5.55534978471241e-05,68
"1203",2024/06/05,01:56:54pm,4.71,"905",U11,500934f613849b9a,"7009","7009","2","22""","100000",Cayenne,"2726",2613.65809120457,1354721.27202775,16494.0746312426,17554691.7574764,0.343610793036213,0.00307934171735887,0.226645224254672,0.00413009812649041,1,0,71
"1204",2024/06/05,01:57:11pm,4.71,"905",U13,500935070683b2d8,"8009","8009","2","22""","100000",Red Rover,"1163",2697.61350339801,2252523.5886781,16804.3763019117,19652211.9058961,0.321448672781698,0.00365303391841544,0.229172132910312,0.00420648605358857,1,0,65
"1205",2024/06/05,01:57:28pm,4.71,"905",U15,"5009351830708930","9009","9009","2","22""","100000",Apex,"1876",2824.18723529991,1962483.2785251,16152.8035289297,17095845.3109108,0.356094289437196,0.00248988573820726,0.22878283182697,0.00358988015387098,0.999722222222222,0.000277700617283395,78
"1206",2024/06/05,01:57:45pm,4.71,"905",U17,500935296ee2769c,"10009","10009","2","22""","100000",Windbreaker,"1965",2722.51461130098,1910094.79736312,16304.4445039872,19094756.0203689,0.394707793650045,0.00292695688985189,0.245475679488222,0.0040228767376501,1,0,71
"1207",2024/06/05,01:59:14pm,4.71,"905",U19,500935820e50ca1d,"11009","11009","2","22""","100000",T9905,"1558",2579.99980301389,1147924.35146259,16647.3003100247,14402247.1719133,0.34870272333768,0.0021971136182217,0.217908996299968,0.00216551636587295,0.924407407407407,0.0698783525376058,41
"1208",2024/06/05,01:59:30pm,4.71,"905",U21,500935926109b79f,"12009","12009","2","22""","100000",Nautica,"1797",2699.58532453462,1495953.31855937,16672.322157261,13747705.3333879,0.345902726158285,0.00232321961123873,0.213854453410927,0.0029101425673961,0.99942593655673,0.000573733894432144,63
"1209",2024/06/05,01:59:47pm,4.71,"905",U23,500935a376bc7075,"13009","13009","2","22""","100000",Zorro,"1891",2507.29260605344,1331818.29573086,16499.3349866647,15968130.2938051,0.357594080735507,0.00265817013626381,0.227212515902482,0.0026885739312984,0.873134328358209,0.110770773000833,48
"1210",2024/06/05,02:00:04pm,4.71,"905",U25,500935b4198bcba9,"14009","14009","2","22""","100000",Eclipse,"2304",2439.32165194181,1171532.43799124,15852.923661243,16657961.0520229,0.385827373512807,0.0027849386861481,0.26033983653869,0.00311389860968255,1,0,88
"1211",2024/06/05,02:00:20pm,4.71,"905",U27,500935c4304d8100,"15009","15009","2","22""","100000",Red Dawn,"724",2365.98839763225,1715004.04018802,15601.5132184477,17937417.5037359,0.379416791187937,0.00257617333773735,0.250652411212756,0.00341246735397166,1,0,59
"1212",2024/06/05,02:32:21pm,4.71,"905",U-1,50093d455ba62858,"1013","1013","3","22""","150000",Red Rover,"581",2408.68749753772,2199916.29631653,15835.3237164026,21501595.3051895,0.384206889162374,0.00389229832129822,0.244835946303734,0.00670941681788173,0.999944444444444,5.55524691358025e-05,77
"1213",2024/06/05,02:32:39pm,4.71,"905",U1,50093d571304575a,"2013","2013","3","22""","150000",Zorro,"1967",2578.46274007682,2228329.71391259,15908.5145243251,16704657.5869521,0.356247648417581,0.00294831560739724,0.230911006868822,0.00519966101265271,0.99629622770792,0.00369005436288794,69
"1214",2024/06/05,02:32:58pm,4.71,"905",U3,50093d6a24602668,"3013","3013","3","22""","150000",Apex,"2729",2881.94838862186,2677962.7384717,15778.6792832965,15868350.8995971,0.352366810028346,0.00296684172408468,0.233849695806198,0.00616977593760252,0.992796296296296,0.00715181035665373,78
"1215",2024/06/05,02:33:16pm,4.71,"905",U5,50093d7c32e40d45,"4013","4013","3","22""","150000",Merlot,"1973",2695.28860435339,1010818.64468944,16844.5887995409,14467334.8893593,0.355178364447895,0.00222907232039999,0.224858578064724,0.00227370865441154,0.914570910033705,0.0781309605538047,44
"1216",2024/06/05,02:33:34pm,4.71,"905",U7,50093d8e01acb101,"5013","5013","3","22""","150000",Red Dawn,"580",2917.38523589087,3029015.91509179,16225.6832395172,20018446.3219198,0.371668299788906,0.00335863438945378,0.247407051361311,0.00643264277825921,0.997277878597089,0.0027147114579786,74
