fid,Date,DAS,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Visible,UniqueID,joined_row_index,joined_col_index,Trial,joined_PlotID,joined_PlotIDstring,pntcounts,Thresh_mean,NDVI_mean,NDVI_variance,SAVI_mean,HAreamean,613GNDVI_mean,613GNDVI_variance,613NDRE_mean,613NDRE_variance,613ExG_mean,613ExG_variance,613ExR_mean,613ExR_variance,Plot Yield,PeakStand,,,,,,,,,,,,
1548,2024-06-04,8,02:28:59pm,4.71,905,D1,45.43290187,-73.9390798,39.02,0,0,1,50093afb12549ffc,3,1,24110,111,111,27,0.001785291,0.260700159,0.007593612,0.521377294,0.782342105,0.06862375,0.004383806,-0.023128824,0.001702153,2067.346143,1661777.218,15646.27699,26997978.14,2578.140244,0.571657425,,,,,,,,,,,,
1551,2024-06-04,8,02:30:13pm,4.71,905,U1,45.43287695,-73.93906298,39.02,0,0,1,50093b45131a1f8a,4,1,24110,112,112,6,0.000338441,0.256236682,0.004749789,0.51245135,0.295311904,0.068215957,0.003902131,-0.023961778,0.001543706,2002.637115,1561245.835,16000.84842,24905303.98,2573.173941,0.515153497,,,,,,,,,,,,
1564,2024-06-04,8,02:33:57pm,4.71,905,D1,45.43285247,-73.93904663,39.02,0,0,1,50093c255287cdd6,5,1,24110,113,113,2,6.77E-05,0.261416003,0.005106422,0.522808344,0.116365359,0.074621754,0.004211964,-0.022040616,0.001707766,1960.514244,1634849.858,15136.00074,26004946.03,2418.060013,0.56962762,,,,,,,,,,,,
1567,2024-06-04,8,02:35:17pm,4.71,905,U1,45.43282726,-73.93902964,39.02,0,0,1,50093c751594fd99,6,1,24110,114,114,10,0.000947651,0.258033112,0.003082186,0.516043755,0.418881579,0.072767363,0.003990923,-0.023522046,0.001658562,1993.854629,1482996.511,15763.84957,25825701.79,2105.365854,0.557121933,,,,,,,,,,,,
1520,2024-06-04,8,02:15:55pm,4.71,905,U3,45.43300365,-73.93904906,39.021,0,0,1,500937eb32eb8e40,0,2,24110,201,201,31,0.002182981,0.263465735,0.003510903,0.526907922,0.806292022,0.073894699,0.00513811,-0.020545289,0.001638119,1857.464188,2102287.977,15213.33145,28638442.35,2469.878049,0.574475598,,,,,,,,,,,,
1531,2024-06-04,8,02:19:34pm,4.71,905,D3,45.43297856,-73.9390323,39.021,0,0,1,500938c669fc4194,1,2,24110,202,202,15,0.000930728,0.260984976,0.003684161,0.521947273,0.565077235,0.071633854,0.005152432,-0.020909842,0.001787063,1794.249181,2098657.383,15603.91911,28100367.27,2682.759949,0.523637338,,,,,,,,,,,,
1536,2024-06-04,8,02:21:23pm,4.71,905,U3,45.43295377,-73.93901557,39.021,0,0,1,500939332035b4b3,2,2,24110,203,203,39,0.003545199,0.262940922,0.003398147,0.52585876,0.885960526,0.067807868,0.004848687,-0.02380206,0.001633946,2094.488941,2043668.213,15642.79122,26381792.42,2515.301669,0.569375425,,,,,,,,,,,,
1547,2024-06-04,8,02:28:47pm,4.71,905,D3,45.43292895,-73.93899903,39.02,0,0,1,50093aef17380c91,3,2,24110,204,204,15,0.001387643,0.264004091,0.00229156,0.527984968,0.604773559,0.072860334,0.005428949,-0.019392766,0.001742516,1786.248363,2071426.246,15465.07443,30435550.53,2035.945122,0.468336635,,,,,,,,,,,,
1552,2024-06-04,8,02:30:25pm,4.71,905,U3,45.43290416,-73.93898236,39.02,0,0,1,50093b5177614e40,4,2,24110,205,205,19,0.001125326,0.265710942,0.003735908,0.531398157,0.557467861,0.074893886,0.005077215,-0.018257209,0.001693587,1911.017641,2205274.482,15368.18785,28102860.93,2320.205392,0.517834374,,,,,,,,,,,,
1563,2024-06-04,8,02:33:44pm,4.71,905,D3,45.43287938,-73.93896581,39.02,0,0,1,50093c18201d5006,5,2,24110,206,206,28,0.002605973,0.26301718,0.012564457,0.52601214,0.820184211,0.077383007,0.004833231,-0.018365837,0.001689106,1899.58719,2345649.588,15873.99352,27711996.98,2018.273427,0.574080492,,,,,,,,,,,,
1568,2024-06-04,8,02:35:30pm,4.71,905,U3,45.43285465,-73.93894913,39.02,0,0,1,50093c8200f4da49,6,2,24111,207,207,13,0.001353764,0.263419872,0.005252007,0.526817331,0.453460526,0.077784658,0.004803452,-0.019029203,0.001472153,1894.504497,1930141.123,15849.01489,28399520.67,1449.531451,0.701324092,,,,,,,,,,,,
1521,2024-06-04,8,02:16:07pm,4.71,905,U5,45.43303015,-73.93896796,39.021,0,0,1,500937f72fc8d1c6,0,3,24111,208,208,14,0.001709141,0.262757716,0.007015325,0.525492341,0.636876801,0.077829554,0.004657504,-0.020929345,0.001451838,1947.16082,1998912.623,15243.72515,25793973.97,1366.832478,0.614798154,,,,,,,,,,,,
1530,2024-06-04,8,02:19:22pm,4.71,905,D5,45.43300564,-73.9389516,39.021,0,0,1,500938ba669012e1,1,3,24111,209,209,7,0.000769966,0.265556815,0.00788601,0.53109074,0.320429994,0.083458099,0.005220799,-0.017922406,0.001625837,1758.255578,2141777.695,15519.68811,27939502.43,763.1418485,0.488269603,,,,,,,,,,,,
1537,2024-06-04,8,02:21:51pm,4.71,905,U5,45.43298071,-73.93893478,39.02,0,0,1,5009394f377e7978,2,3,24111,210,210,18,0.003807461,0.266000716,0.008486728,0.531977099,0.555078947,0.076558654,0.005130179,-0.021134021,0.001580232,2005.13563,2649726.405,15050.24759,28728276.32,1123.916881,0.618389392,,,,,,,,,,,,
1546,2024-06-04,8,02:28:34pm,4.71,905,D5,45.43295598,-73.93891824,39.02,0,0,1,50093ae27784cc33,3,3,24111,211,211,23,0.002563755,0.264983802,0.005853146,0.52994432,0.623281273,0.077964492,0.005311813,-0.020302117,0.001547346,1879.606637,2085999.051,15593.4765,27198193.87,962.1213094,0.545090757,,,,,,,,,,,,
1553,2024-06-04,8,02:30:38pm,4.71,905,U5,45.43293104,-73.93890134,39.02,0,0,1,50093b5e4c336168,4,3,24111,212,212,11,0.001091481,0.261868828,0.003228219,0.523714935,0.499980263,0.079469702,0.004680399,-0.019669204,0.001519431,2034.556588,2377232.654,15788.41725,25890323.24,908.4242619,0.50204989,,,,,,,,,,,,
1562,2024-06-04,8,02:33:31pm,4.71,905,D5,45.43290636,-73.93888497,39.02,0,0,1,50093c0b5d6e7315,5,3,24111,213,213,4,0.000499213,0.259470934,0.0056215,0.51891927,0.214437032,0.079228139,0.004948217,-0.021174362,0.001587596,1975.211895,2317319.811,15745.93938,26100456.67,625,0.508088351,,,,,,,,,,,,
1569,2024-06-04,8,02:35:42pm,4.71,905,U5,45.43288139,-73.93886804,39.02,0,0,1,50093c8e6f31b554,6,3,24111,214,214,15,0.003198294,0.26427001,0.006821499,0.528516775,0.553723684,0.080682898,0.00509758,-0.021036591,0.001604845,1941.456865,2567612.293,15398.48107,27181221.87,1081.554878,0.630734425,,,,,,,,,,,,
1522,2024-06-04,8,02:16:20pm,4.71,905,U7,45.43305724,-73.93888717,39.021,0,0,1,5009380464b28f42,0,4,24111,301,301,14,0.001573804,0.263791631,0.007469339,0.527559383,0.522565789,0.077095986,0.003968306,-0.019564081,0.001751544,1942.855794,2019923.341,14951.95941,25485303.93,784.9229782,0.382404289,,,,,,,,,,,,
1529,2024-06-04,8,02:19:09pm,4.71,905,D7,45.43303241,-73.93887061,39.021,0,0,1,500938ad2f841179,1,4,24111,302,302,3,0.000406133,0.26152319,0.003464005,0.523022729,0.174510862,0.07501364,0.004034704,-0.020424337,0.001735991,1961.100272,1698246.287,15100.22281,26390636.56,924.8106547,0.599865303,,,,,,,,,,,,
1538,2024-06-04,8,02:22:04pm,4.71,905,U7,45.43300744,-73.93885375,39.02,0,0,1,5009395c17548ec5,2,4,24111,303,303,3,0.000313063,0.258113322,0.002894587,0.516203968,0.178247655,0.070590522,0.004078964,-0.020930515,0.001661904,1993.042526,1793080.684,15475.29375,26164721.37,724.5539153,0.538460533,,,,,,,,,,,,
1545,2024-06-04,8,02:28:21pm,4.71,905,D7,45.43298281,-73.93883734,39.02,0,0,1,50093ad5406f8ce0,3,4,24111,304,304,14,0.002580678,0.257547682,0.003688155,0.515072235,0.50994092,0.067066546,0.004134625,-0.024031912,0.001715184,2020.889979,2285796.272,15338.81642,25535217.29,941.2804878,0.418745464,,,,,,,,,,,,
1554,2024-06-04,8,02:30:51pm,4.71,905,U7,45.43295813,-73.93882066,39.02,0,0,1,50093b6b45d1b542,4,4,24111,305,305,9,0.002149155,0.254049001,0.002384804,0.50807544,0.357074249,0.067539436,0.00387006,-0.024747269,0.001728344,2075.686384,2196628.363,15620.26778,26052353.56,1059.897304,0.516506797,,,,,,,,,,,,
1561,2024-06-04,8,02:33:19pm,4.71,905,D7,45.43293318,-73.93880404,39.02,0,0,1,50093bff4709aa8e,5,4,24111,306,306,11,0.001429901,0.25564184,0.00208471,0.511261445,0.493980184,0.070898442,0.004669818,-0.022616031,0.001898487,1985.180371,2157452.969,15770.86663,30777319.2,1149.425546,0.57260179,,,,,,,,,,,,
1570,2024-06-04,8,02:35:55pm,4.71,905,U7,45.43290856,-73.93878739,39.019,0,0,1,50093c9b5b838619,6,4,24111,307,307,8,0.001895285,0.258312092,0.003284135,0.516602091,0.362455757,0.071272939,0.004221394,-0.023257284,0.001749659,1968.387958,2014166.617,15654.67921,27592001.21,1133.183569,0.624187579,,,,,,,,,,,,
1523,2024-06-04,8,02:16:32pm,4.71,905,U9,45.43308434,-73.93880641,39.021,0,0,1,5.01E+15,0,5,24112,308,308,2,0.000414604,0.263578768,0.004917709,0.527134555,0.117396282,0.077923928,0.005660581,-0.021181049,0.001673345,1858.778077,2051015.421,15528.77694,27021214.98,607.3652118,0.333788865,,,,,,,,,,,,
1528,2024-06-04,8,02:18:57pm,4.71,905,D9,45.43305949,-73.93878983,39.021,0,0,1,500938a125f6843f,1,5,24112,309,309,22,0.00371439,0.264710046,0.007360475,0.529397774,0.734052632,0.077621343,0.005504399,-0.021021287,0.001699697,2102.68184,2959682.994,15945.77832,27506530.77,1253.947368,0.623829576,,,,,,,,,,,,
1539,2024-06-04,8,02:22:17pm,4.71,905,U9,45.43303463,-73.93877308,39.02,0,0,1,500939696854b105,2,5,24111,310,310,16,0.002843024,0.26598404,0.012314189,0.531944984,0.668412258,0.077602152,0.004923427,-0.021280586,0.00144302,2018.000905,2647002.232,15590.28018,25963520.21,765.4107831,0.544655643,,,,,,,,,,,,
1544,2024-06-04,8,02:28:09pm,4.71,905,D9,45.43301019,-73.93875676,39.02,0,0,1,50093ac93b20d3c3,3,5,24111,311,311,15,0.002428314,0.265538771,0.004931855,0.531054062,0.574434211,0.079204794,0.005917766,-0.018997455,0.001761296,1804.790412,2277763.046,15306.12674,27725392.57,916.0734917,0.399581522,,,,,,,,,,,,
1555,2024-06-04,8,02:31:03pm,4.71,905,U9,45.43298503,-73.93873976,39.02,0,0,1,50093b771410315b,4,5,24111,312,312,17,0.004374424,0.264614433,0.003515073,0.529205299,0.646065789,0.075151959,0.005151952,-0.022141625,0.0015936,2036.376074,2756989.229,15404.12099,26586789.25,908.7901155,0.624738453,,,,,,,,,,,,
1560,2024-06-04,8,02:33:06pm,4.71,905,D9,45.43296038,-73.93872333,39.02,0,0,1,50093bf2355ce56d,5,5,24111,313,313,15,0.000998401,0.261608154,0.007667728,0.523193675,0.499072381,0.074497973,0.005996017,-0.020804582,0.001724354,1881.238872,2276732.227,15781.8542,31246166.33,969.2426187,0.63875085,,,,,,,,,,,,
1571,2024-06-04,8,02:36:07pm,4.71,905,U9,45.43293551,-73.93870658,39.019,0,0,1,50093ca71aaea32f,6,5,24111,314,314,7,0.000710744,0.26118876,0.009995863,0.522354678,0.345557178,0.073316738,0.005590046,-0.02214409,0.001683731,1791.238886,1978023.841,15400.82965,27704651.17,1139.545892,0.692919822,,,,,,,,,,,,
1524,2024-06-04,8,02:17:01pm,4.71,905,U11,45.43311097,-73.93872532,39.021,0,0,1,5009382d1f03b98f,0,6,24112,401,401,5,0.000507666,0.254368672,0.007407698,0.508713808,0.199386826,0.069753366,0.004229641,-0.029081134,0.001656722,1839.122153,2073585.23,15709.38552,25263461.43,238.7676508,0.528613276,,,,,,,,,,,,
1527,2024-06-04,8,02:18:44pm,4.71,905,D11,45.43308611,-73.93870872,39.02,0,0,1,50093894752ce1b7,1,6,24112,402,402,5,0.000685343,0.253162922,0.008699805,0.506303598,0.273279912,0.070106304,0.004506283,-0.025473943,0.002036886,1831.431986,2397129.411,16115.14736,27709811.27,1181.702503,0.480181252,,,,,,,,,,,,
1540,2024-06-04,8,02:22:29pm,4.71,905,U11,45.43306147,-73.93869215,39.02,0,0,1,5009397538f822dd,2,6,24112,403,403,10,0.001429925,0.257663726,0.003411255,0.515304236,0.399802632,0.071224449,0.004397839,-0.024022273,0.001742947,1948.136469,2568920.352,15733.8558,26447197.46,738.571887,0.518795075,,,,,,,,,,,,
1543,2024-06-04,8,02:27:50pm,4.71,905,D11,45.43303634,-73.93867533,39.02,0,0,1,50093ab67d023af4,3,6,24112,404,404,3,0.000194604,0.253715012,0.004108186,0.507407295,0.18005737,0.066042383,0.004835085,-0.022600949,0.00181986,1789.530371,2148072.3,15990.40302,27003343.68,481.8485237,0.273796057,,,,,,,,,,,,
1556,2024-06-04,8,02:31:16pm,4.71,905,U11,45.433012,-73.93865893,39.02,0,0,1,50093b8410c2a505,4,6,24112,405,405,6,0.000346902,0.253621046,0.002580733,0.507220097,0.239447368,0.069081046,0.004891575,-0.019902428,0.002105707,1860.747836,2492550.055,16236.24133,28863189.31,356.5821566,0.532046085,,,,,,,,,,,,
1559,2024-06-04,8,02:32:54pm,4.71,905,D11,45.43298676,-73.9386421,39.019,0,0,1,50093be6278a06c1,5,6,24112,406,406,2,0.000135381,0.250951638,0.004208882,0.501881265,0.122490066,0.064867467,0.004926031,-0.022629293,0.001998596,1792.241443,2336813.869,16146.59667,29537346.92,1098.764442,0.48466025,,,,,,,,,,,,
1572,2024-06-04,8,02:36:20pm,4.71,905,U11,45.43296222,-73.93862553,39.019,0,0,1,50093cb463aa4ae6,6,6,24112,407,407,8,0.000634588,0.252144237,0.004121637,0.504266025,0.371965421,0.062311522,0.004367438,-0.025424292,0.001669345,1890.175341,2064460.465,15911.25001,26662411.6,1057.894737,0.459862558,,,,,,,,,,,,
1525,2024-06-04,8,02:17:13pm,4.71,905,U13,45.43313791,-73.93864447,39.021,0,0,1,500938393916ae56,0,6,24112,408,408,6,0.000516131,0.265377043,0.00274012,0.530731462,0.32432468,0.075078985,0.005028946,-0.014270485,0.001857805,1886.792185,2017223.523,15789.72087,26030881.73,410.707638,0.591465767,,,,,,,,,,,,
1526,2024-06-04,8,02:18:31pm,4.71,905,D13,45.4331127,-73.93862763,39.02,0,0,1,500938877536384a,1,7,24112,409,409,3,0.00028768,0.264103557,0.009462686,0.528185036,0.194484283,0.0731073,0.005126255,-0.013625885,0.001756249,1903.505098,2160974.39,16107.5061,26503479.55,482.1662388,0.275711231,,,,,,,,,,,,
1541,2024-06-04,8,02:22:42pm,4.71,905,U13,45.43308844,-73.9386113,39.02,0,0,1,50093982458e6078,2,7,24112,410,410,3,0.000397665,0.26320584,0.012135724,0.52638824,0.213891922,0.066702596,0.004705916,-0.016195368,0.001740154,1849.250461,1842153.312,15324.56728,24635630.08,1025.064185,0.554703336,,,,,,,,,,,,
1542,2024-06-04,8,02:27:37pm,4.71,905,D13,45.43306279,-73.93859418,39.02,0,0,1,50093aa91c5e3ec4,3,7,24112,411,411,12,0.001108394,0.260917879,0.011793472,0.521814087,0.485717293,0.068033607,0.005239438,-0.014520237,0.002048678,1927.119918,2536745.594,16102.02278,27751271.45,719.2715019,0.511070135,,,,,,,,,,,,
1557,2024-06-04,8,02:31:29pm,4.71,905,U13,45.43303878,-73.93857797,39.02,0,0,1,50093b9138442333,4,7,24112,412,412,1,9.31E-05,0.258462911,0.003639371,0.516903418,0.058698141,0.066312242,0.005119071,-0.015591409,0.001719561,1812.22131,1784855.678,15729.14095,27458541.34,625,0.534099231,,,,,,,,,,,,
1558,2024-06-04,8,02:32:41pm,4.71,905,D13,45.43301335,-73.93856101,39.019,0,0,1,50093bd918887c7b,5,7,24112,413,413,18,0.00239449,0.254525582,0.009234045,0.509029535,0.636307417,0.063961165,0.005338947,-0.018892073,0.001863952,1913.172649,2765010.219,16075.84355,27973832.96,1185.394737,0.627487135,,,,,,,,,,,,
1573,2024-06-04,8,02:36:33pm,4.71,905,U13,45.4329891,-73.93854462,39.019,0,0,1,50093cc1072c464e,6,7,24112,414,414,5,0.00028768,0.248345015,0.003364965,0.496668469,0.202936881,0.059070783,0.00545845,-0.023862818,0.002257814,1773.2504,2341844.088,15924.55656,28220157.77,610.9146341,0.318298919,,,,,,,,,,,,
1517,2024-06-04,13,4.71,4.71,905,U-1,45.4329503,-73.93921111,39.021,0,,1,5009318c201f855b,0,0,24110,101,101,69,0.008936632,0.235324619,0.002459289,0.015681717,0.930738665,0.38610535,0.002173024,0.124136035,0.000806509,2673.803527,1075697.973,16849.91405,12563161.91,2276.258023,0.469751658,,,,,,,,,,,,
1533,2024-06-04,13,4.71,4.71,905,U1,45.4329247,-73.93912978,39.021,0,,1,500937de01a1bd1f,0,1,24110,108,108,78,0.009552602,0.225491394,0.002388371,0.016015569,0.977855263,0.377514486,0.001881569,0.118661668,0.000834714,2718.814833,1198562.885,16987.68562,13785582.86,2454.348524,0.609423426,,,,,,,,,,,,
1534,2024-06-04,13,4.71,4.71,905,U3,45.43290041,-73.93904906,39.021,0,,1,500937eb32eb8e40,0,2,24110,201,201,86,0.01799923,0.228580691,0.003932543,0.014714106,0.988000316,0.365662021,0.00290002,0.101018759,0.0008731,2719.580527,1534109.983,16508.9088,16490425.31,2469.878049,0.574475598,,,,,,,,,,,,
1549,2024-06-04,13,4.71,4.71,905,U5,45.4328751,-73.93896796,39.021,0,,1,500937f72fc8d1c6,0,3,24111,208,208,59,0.056594399,0.235066752,0.009641315,0.015226197,0.978092105,0.356584058,0.003727923,0.087472901,0.001168737,3023.371233,8308009.097,16465.8983,23875791.65,1366.832478,0.614798154,,,,,,,,,,,,
1550,2024-06-04,13,4.71,4.71,905,U7,45.43285046,-73.93888717,39.021,0,,1,5009380464b28f42,0,4,24111,301,301,46,0.030022464,0.21966306,0.00636736,0.014594337,0.756526316,0.354735567,0.003127532,0.088250976,0.000938629,2931.670369,4684304.085,16337.96809,17164686.27,784.9229782,0.382404289,,,,,,,,,,,,
1565,2024-06-04,13,4.71,4.71,905,U9,45.43282555,-73.93880641,39.021,0,,1,5.01E+15,0,5,24112,308,308,44,0.012205022,0.231254017,0.003040483,0.014993184,0.730385127,0.359295207,0.002698147,0.095652047,0.001043026,2522.380322,2063328.318,16615.19646,18735848.32,607.3652118,0.333788865,,,,,,,,,,,,
1566,2024-06-04,13,4.71,4.71,905,U11,45.43280096,-73.93872532,39.021,0,,1,5009382d1f03b98f,0,6,24112,401,401,43,0.025571224,0.234262408,0.004482022,0.01645932,0.870317496,0.362863895,0.002753798,0.099049516,0.000912388,2889.498478,4159347.706,16605.30524,18318566.52,238.7676508,0.528613276,,,,,,,,,,,,
1519,2024-06-04,13,4.71,4.71,905,U13,45.43297649,-73.93864447,39.021,0,,1,500938393916ae56,0,6,24112,408,408,58,0.032695336,0.243524853,0.006022097,0.015811624,0.954183608,0.374518177,0.003490895,0.104652848,0.001106812,2923.08882,5059712.521,17013.37601,21808397.9,410.707638,0.591465767,,,,,,,,,,,,
1532,2024-06-04,13,4.71,4.71,905,D13,45.4329516,-73.93862763,39.02,0,,1,500938877536384a,1,7,24112,409,409,43,0.010035341,0.229429946,0.002975607,0.01467139,0.608055475,0.370394065,0.002716184,0.102646661,0.000946963,2735.48157,2153022.994,17225.6019,16799791.32,482.1662388,0.275711231,,,,,,,,,,,,
1535,2024-06-04,13,4.71,4.71,905,D11,45.43292639,-73.93870872,39.02,0,,1,50093894752ce1b7,1,6,24112,402,402,64,0.057671717,0.239987132,0.010631145,0.015651831,0.981473928,0.369070489,0.004213896,0.095940678,0.001239317,3173.200994,8564586.489,16116.05297,23794130.87,1181.702503,0.480181252,,,,,,,,,,,,
1548,2024-06-04,13,4.71,4.71,905,D9,45.43290187,-73.93878983,39.021,0,,1,500938a125f6843f,1,5,24112,309,309,60,0.048413509,0.243026094,0.007593612,0.015174554,0.98394758,0.365790229,0.003740865,0.095106153,0.001293667,3052.943916,8514688.859,16356.35378,23975077.32,1253.947368,0.623829576,,,,,,,,,,,,
1551,2024-06-04,13,4.71,4.71,905,D7,45.43287695,-73.93887061,39.021,0,,1,500938ad2f841179,1,4,24111,302,302,66,0.020336895,0.219426499,0.004749789,0.014484674,0.978618421,0.356769229,0.00302038,0.089993611,0.000951212,2759.827269,2192135.886,16430.49815,17636400.37,924.8106547,0.599865303,,,,,,,,,,,,
1564,2024-06-04,13,4.71,4.71,905,D5,45.43285247,-73.9389516,39.021,0,,1,500938ba669012e1,1,3,24111,209,209,47,0.026845262,0.226901684,0.005106422,0.014447963,0.952210526,0.354391089,0.00297863,0.089167976,0.001177348,2735.000406,5566581.83,16830.02173,20539294.29,763.1418485,0.488269603,,,,,,,,,,,,
1567,2024-06-04,13,4.71,4.71,905,D3,45.43282726,-73.9390323,39.021,0,,1,500938c669fc4194,1,2,24110,202,202,83,0.009461426,0.221048763,0.003082186,0.013970478,0.981078947,0.354592867,0.002794081,0.091677604,0.000879251,2648.10374,1527173.123,16931.28169,15930185.29,2682.759949,0.523637338,,,,,,,,,,,,
1520,2024-06-04,13,4.71,4.71,905,D1,45.43300365,-73.93911321,39.021,0,,1,500938d31d4cc688,1,1,24110,109,109,67,0.017040604,0.224773423,0.003510903,0.014396737,0.921684211,0.375955922,0.002537491,0.112003811,0.000930058,2573.182765,2109623.752,16866.20409,16068825.47,2407.124519,0.580235128,,,,,,,,,,,,
1531,2024-06-04,13,4.71,4.71,905,D-1,45.43297856,-73.93919406,39.021,0,,1,500938e02a9ec38d,1,0,24110,102,102,85,0.018755161,0.236583605,0.003684161,0.015577886,0.980381579,0.38132024,0.002679666,0.117971469,0.000745964,2796.392529,1532110.154,16813.70633,13485482.63,2754.159178,0.57049727,,,,,,,,,,,,
1536,2024-06-04,13,4.71,4.71,905,U-1,45.43295377,-73.93917769,39.021,0,,1,5009391a2cd19750,2,0,24110,103,103,74,0.018587725,0.236035103,0.003398147,0.015621081,0.974407558,0.371575906,0.002147166,0.105827472,0.000702344,2594.684785,1397244.633,16821.6806,10851063.16,2085.887356,0.575972956,,,,,,,,,,,,
1547,2024-06-04,13,4.71,4.71,905,U1,45.43292895,-73.93909621,39.021,0,,1,500939272161cf8e,2,1,24110,110,110,64,0.007726007,0.216760136,0.00229156,0.014236069,0.964921053,0.357046778,0.001839027,0.094820522,0.000816215,2586.822162,1331290.242,17033.32493,13636343.65,2359.646983,0.512518226,,,,,,,,,,,,
1552,2024-06-04,13,4.71,4.71,905,U3,45.43290416,-73.93901557,39.021,0,,1,500939332035b4b3,2,2,24110,203,203,86,0.016033312,0.222132396,0.003735908,0.014022989,0.981947368,0.344896053,0.002649588,0.085278851,0.0007655,2839.815189,1543600.046,16913.15724,15348451.53,2515.301669,0.569375425,,,,,,,,,,,,
1563,2024-06-04,13,4.71,4.71,905,U5,45.43287938,-73.93893478,39.02,0,,1,5009394f377e7978,2,3,24111,210,210,48,0.081383143,0.258133709,0.012564457,0.016973378,0.967657469,0.360046267,0.004268841,0.090024099,0.001106794,3412.387111,14189436.46,16182.78161,28033434.89,1123.916881,0.618389392,,,,,,,,,,,,
