Plot Range,Plot Column,Experiment Name,Experiment,Plot,Mason Plot Number,Planter,Cone,Pass,Harvester,Harvester Pass,Type,Is Perennial,Check,ENTRY,BLOCK,Variety,Origin,Selection,Identity1,Description1,Fn,Clone,100 Seed weight,Actual Plants per ha,Moisture,Plot Area,Stand %,Total weight,Plot Weight,Yield,AdjustedYield,2RowHA,Adjusted2Row,Algo2Row,Flowering Date,Maturity Date,Field Plan,Location
2,7,24110McGill Farm,24110,48,207,50,1,7,50,7,Experiment,FALSE,1,3,2,Zorro,MDP-8111,,BC088,Phaseolus vulgaris,0,0,23,,16.8,,,,1577,2105.365854,2281.380863,0.908163869,2318.266477,2105.365854,2024-07-24,2024-08-29,reg,McGill Farm
3,1,24110McGill Farm,24110,55,301,3,1,1,3,1,Experiment,FALSE,2,4,3,black bear,,,black,TV,0,0,25,,18.3,,,,1884,2469.878049,2643.033819,0.975499839,2531.910258,2469.878049,2024-07-26,2024-08-31,reg,McGill Farm
3,2,24110McGill Farm,24110,56,302,14,1,2,14,2,Experiment,FALSE,0,1,4,PVBLPI19 1,2019 field trial,,,black,0,0,25,,17.6,,,,2029,2682.759949,2977.379529,0.948671728,2827.911774,2682.759949,2024-07-24,2024-08-30,reg,McGill Farm
3,3,24110McGill Farm,24110,57,303,19,1,3,19,3,Experiment,FALSE,0,2,4,PVBLPI19 10,,,,black,0,0,26,,18.4,,,,1921,2515.301669,2639.534249,0.918479191,2738.550525,2515.301669,2024-07-21,2024-08-28,reg,McGill Farm
3,4,24110McGill Farm,24110,58,304,30,1,4,30,4,Experiment,FALSE,1,3,4,Zorro,MDP-8111,,BC088,Phaseolus vulgaris,0,0,26,,18.3,,,,1553,2035.945122,2226.658875,0.964243186,2111.443619,2035.945122,2024-07-25,2024-08-28,reg,McGill Farm
3,5,24110McGill Farm,24110,59,305,35,1,5,35,5,Experiment,FALSE,3,5,4,Blizzard,,,navy,TV,0,0,24,,18.4,,,,1772,2320.205392,2513.032289,0.950573019,2440.8492,2320.205392,2024-07-27,2024-08-28,reg,McGill Farm
3,6,24110McGill Farm,24110,60,306,46,1,6,46,6,Experiment,FALSE,2,4,4,black bear,,,black,TV,0,0,25,,18.8,,,,1549,2018.273427,3028.346538,0.936420634,2155.306443,2018.273427,2024-07-24,2024-08-30,reg,McGill Farm
3,7,24111McGill Farm,24111,41,307,51,1,7,51,7,Experiment,FALSE,0,1,1,PVKIPI19 4,2019 field trial,,,white kidney,0,0,53,,17.2,,,,1091,1449.531451,2117.401011,0.940657895,1540.976224,1449.531451,2024-07-20,2024-08-24,reg,McGill Farm
4,1,24111McGill Farm,24111,48,401,4,1,1,4,1,Experiment,FALSE,0,1,2,PVKIPI19 4,2019 field trial,,,white kidney,0,0,62,,17.3,,,,1030,1366.832478,1431.444835,0.936287797,1459.842243,1366.832478,2024-07-17,2024-08-24,reg,McGill Farm
4,2,24111McGill Farm,24111,47,402,13,1,2,13,2,Experiment,FALSE,2,4,2,Snowdon,2019 field trial,,Snowdon,Control-01,0,0,60,,17,,,,573,763.1418485,774.9807775,0.945790187,806.882815,763.1418485,2024-07-15,2024-08-23,reg,McGill Farm
4,3,24111McGill Farm,24111,46,403,20,1,3,20,3,Experiment,FALSE,0,2,2,PVKIPI19 10,,,,red kidney,0,0,58,,17.5,,,,849,1123.916881,1208.255161,0.913006579,1231.006333,1123.916881,2024-07-19,2024-08-22,reg,McGill Farm
4,4,24111McGill Farm,24111,45,404,29,1,4,29,4,Experiment,FALSE,3,5,1,Coho,,,,red kidney,0,0,56,,18.2,,,,733,962.1213094,1339.474066,0.951900683,1010.737072,962.1213094,2024-07-20,2024-08-24,reg,McGill Farm
4,5,24111McGill Farm,24111,44,405,36,1,5,36,5,Experiment,FALSE,2,4,1,Snowdon,2019 field trial,,Snowdon,Control-01,0,0,59,,16.5,,,,678,908.4242619,1547.158003,0.896698728,1013.076336,957.9004284,2024-07-15,2024-08-22,reg,McGill Farm
4,6,24111McGill Farm,24111,43,406,45,1,6,45,6,Experiment,FALSE,1,3,1,Redhawk,,,,dark red kidney,0,0,54,,18,,,,475,625,685.617296,0.822264327,760.0962115,685.9597597,2024-07-18,2024-08-24,reg,McGill Farm
4,7,24111McGill Farm,24111,42,407,52,1,7,52,7,Experiment,FALSE,0,2,1,PVKIPI19 10,,,,red kidney,0,0,60,,17.5,,,,817,1081.554878,1153.567973,0.895248622,1208.105605,1141.332979,2024-07-17,2024-08-23,reg,McGill Farm
5,1,24111McGill Farm,24111,49,501,5,1,1,5,1,Experiment,FALSE,3,5,2,Coho,,,,red kidney,0,0,57,,18.2,,,,598,784.9229782,824.3334504,0.705855263,1112.016895,920.2691402,2024-07-15,2024-08-24,reg,McGill Farm
5,2,24111McGill Farm,24111,50,502,12,1,2,12,2,Experiment,FALSE,1,3,2,Redhawk,,,,dark red kidney,0,0,57,,17.9,,,,702,924.8106547,972.9462046,0.911954527,1014.097335,924.8106547,2024-07-16,2024-08-24,reg,McGill Farm
5,3,24111McGill Farm,24111,51,503,21,1,3,21,3,Experiment,FALSE,1,3,3,Redhawk,,,,dark red kidney,0,0,57,,17.3,,,,546,724.5539153,770.7595287,0.927887209,780.8642131,724.5539153,2024-07-16,2024-08-23,reg,McGill Farm
5,4,24111McGill Farm,24111,52,504,28,1,4,28,4,Experiment,FALSE,3,5,3,Coho,,,,red kidney,0,0,61,,18.3,,,,718,941.2804878,1057.855703,0.759503164,1239.337151,1069.938954,2024-07-18,2024-08-26,reg,McGill Farm
5,5,24111McGill Farm,24111,53,505,37,1,5,37,5,Experiment,FALSE,2,4,3,Snowdon,2019 field trial,,Snowdon,Control-01,0,0,61,,16.6,,,,792,1059.897304,1102.624276,0.905492799,1170.519859,1059.897304,2024-07-16,2024-08-22,reg,McGill Farm
5,6,24111McGill Farm,24111,54,506,44,1,6,44,6,Experiment,FALSE,0,1,3,PVKIPI19 4,2019 field trial,,,white kidney,0,0,57,,16.9,,,,862,1149.425546,1182.633074,0.967183995,1188.424904,1149.425546,2024-07-16,2024-08-22,reg,McGill Farm
5,7,24111McGill Farm,24111,55,507,53,1,7,53,7,Experiment,FALSE,0,2,3,PVKIPI19 10,,,,red kidney,0,0,59,,17.5,,,,856,1133.183569,1211.842213,0.920179207,1231.48139,1133.183569,2024-07-18,2024-08-24,reg,McGill Farm
6,1,24112McGill Farm,24112,34,601,6,1,1,6,1,Experiment,FALSE,1,2,1,ETNA,2019 field trial,,,cran,0,0,56,,18.6,,,,465,607.3652118,638.3947613,0.584861842,1038.476385,766.4582434,2024-07-17,2024-08-19,reg,McGill Farm
6,2,24112McGill Farm,24112,33,602,11,1,2,11,2,Experiment,FALSE,0,1,1,PVCRPI19 3,2019 field trial,,,cran,0,0,48,,18,,,,953,1253.947368,1342.800738,0.966921053,1296.845657,1253.947368,2024-07-16,2024-08-22,reg,McGill Farm
6,3,24111McGill Farm,24111,60,603,22,1,3,22,3,Experiment,FALSE,3,5,4,Coho,,,,red kidney,0,0,59,,18.6,,,,586,765.4107831,814.9630044,0.833834433,917.9409637,834.7654175,2024-07-18,2024-09-01,reg,McGill Farm
6,4,24111McGill Farm,24111,59,604,27,1,4,27,4,Experiment,FALSE,2,4,4,Snowdon,2019 field trial,,Snowdon,Control-01,0,0,61,,16.9,,,,687,916.0734917,1127.36952,0.889507306,1029.866181,969.6427093,2024-07-15,2024-08-21,reg,McGill Farm
6,5,24111McGill Farm,24111,58,605,38,1,5,38,5,Experiment,FALSE,0,2,4,PVKIPI19 10,,,,red kidney,0,0,55,,17.8,,,,689,908.7901155,1081.699494,0.956407895,950.2118505,908.7901155,2024-07-17,2024-08-22,reg,McGill Farm
6,6,24111McGill Farm,24111,57,606,43,1,6,43,6,Experiment,FALSE,0,1,4,PVKIPI19 4,2019 field trial,,,white kidney,0,0,57,,16.8,,,,726,969.2426187,1131.850377,0.972414111,996.7385376,969.2426187,2024-07-15,2024-08-22,reg,McGill Farm
6,7,24111McGill Farm,24111,56,607,54,1,7,54,7,Experiment,FALSE,1,3,4,Redhawk,,,,dark red kidney,0,0,57,,17.9,,,,865,1139.545892,2125.861897,0.932876325,1221.540157,1139.545892,2024-07-15,2024-08-24,reg,McGill Farm
7,1,24112McGill Farm,24112,35,701,7,1,1,7,1,Experiment,FALSE,2,3,1,Krimson,,,cran,TV,0,0,45,,20,,,,186,238.7676508,258.0629497,0.8475901,281.7017929,258.4638777,2024-07-16,2024-08-18,reg,McGill Farm
7,2,24112McGill Farm,24112,36,702,10,1,2,10,2,Experiment,FALSE,3,4,1,Navabi,,,,Cran,0,0,47,,17.9,,,,897,1181.702503,1390.938014,0.975125164,1211.846999,1181.702503,2024-07-14,2024-08-20,reg,McGill Farm
7,3,24112McGill Farm,24112,37,703,23,1,3,23,3,Experiment,FALSE,0,1,2,PVCRPI19 3,2019 field trial,,,cran,0,0,46,,18.1,,,,562,738.571887,783.4286251,0.906572368,814.6860777,738.571887,2024-07-16,2024-08-18,reg,McGill Farm
7,4,24112McGill Farm,24112,38,704,26,1,4,26,4,Experiment,FALSE,1,2,2,ETNA,2019 field trial,,,cran,0,0,55,,18.4,,,,368,481.8485237,538.5928632,0.674278609,714.6133917,575.5894164,2024-07-19,2024-08-21,reg,McGill Farm
7,5,24112McGill Farm,24112,39,705,39,1,5,39,5,Experiment,FALSE,2,3,2,Krimson,,,cran,TV,0,0,45,,18.6,,,,273,356.5821566,398.8494211,0.963263641,370.1812685,356.5821566,2024-07-16,2024-08-19,reg,McGill Farm
7,6,24112McGill Farm,24112,40,706,42,1,6,42,6,Experiment,FALSE,3,4,2,Navabi,,,,Cran,0,0,48,,17.5,,,,830,1098.764442,1189.164407,0.962730018,1141.300699,1098.764442,2024-07-15,2024-08-21,reg,McGill Farm
7,7,24112McGill Farm,24112,41,707,55,1,7,55,7,Experiment,FALSE,3,4,3,Navabi,,,,Cran,0,0,46,,18,,,,804,1057.894737,1133.776726,0.958901045,1103.236608,1057.894737,2024-07-15,2024-08-24,reg,McGill Farm
8,1,24112McGill Farm,24112,48,801,8,1,1,8,1,Experiment,FALSE,2,3,4,Krimson,,,cran,TV,0,0,47,,17.7,,,,311,410.707638,456.7150661,0.933243421,440.0862934,410.707638,2024-07-16,2024-08-18,reg,McGill Farm
8,2,24112McGill Farm,24112,47,802,9,1,2,9,2,Experiment,FALSE,1,2,4,ETNA,2019 field trial,,,cran,0,0,51,,17.9,,,,366,482.1662388,514.8709192,0.689859458,698.9340125,570.6583901,2024-07-18,2024-08-21,reg,McGill Farm
8,3,24112McGill Farm,24112,46,803,24,1,3,24,3,Experiment,FALSE,3,4,4,Navabi,,,,Cran,0,0,46,,18.1,,,,780,1025.064185,1124.272534,0.943473684,1086.47883,1025.064185,2024-07-16,2024-08-23,reg,McGill Farm
8,4,24112McGill Farm,24112,45,804,25,1,4,25,4,Experiment,FALSE,0,1,4,PVCRPI19 3,2019 field trial,,,cran,0,0,46,,18.5,,,,550,719.2715019,758.956962,0.938927632,766.0563793,719.2715019,2024-07-16,2024-08-23,reg,McGill Farm
8,5,24112McGill Farm,24112,44,805,40,1,5,40,5,Experiment,FALSE,2,3,3,Krimson,,,cran,TV,0,0,50,,18,,,,475,625,657.7262059,0.547247643,1142.078925,807.8861879,2024-07-17,2024-08-23,reg,McGill Farm
8,6,24112McGill Farm,24112,43,806,41,1,6,41,6,Experiment,FALSE,0,1,3,PVCRPI19 3,2019 field trial,,,cran,0,0,48,,18.1,,,,902,1185.394737,1228.145804,0.927494375,1278.061376,1185.394737,2024-07-15,2024-08-23,reg,McGill Farm
8,7,24112McGill Farm,24112,42,807,56,1,7,56,7,Experiment,FALSE,1,2,3,ETNA,2019 field trial,,,cran,0,0,53,,18.3,,,,466,610.9146341,660.7934881,0.924570274,660.755219,610.9146341,2024-07-16,2024-08-22,reg,McGill Farm
